rate,pattern,MSE
rate_10,pattern_1,4.309858735552206
rate_10,pattern_2,4.020701152445086
rate_10,pattern_3,3.460461661675295
rate_30,pattern_1,4.592617500448397
rate_30,pattern_2,4.2468423066430985
rate_30,pattern_3,4.06621097685479
rate_50,pattern_1,4.66554078589723
rate_50,pattern_2,4.633097464132674
rate_50,pattern_3,4.531814163009442
rate_70,pattern_1,5.638402097432902
rate_70,pattern_2,5.230951337116866
rate_70,pattern_3,5.22043654940378
rate_90,pattern_1,6.099497958275349
rate_90,pattern_2,5.914315124898262
rate_90,pattern_3,5.887881472619745
