rate,pattern,MSE
rate_10,pattern_1,0.2014371161101006
rate_10,pattern_2,0.1762018919251242
rate_10,pattern_3,0.2355411391171325
rate_30,pattern_1,0.20786583720993138
rate_30,pattern_2,0.17876276312636824
rate_30,pattern_3,0.23093083321140678
rate_50,pattern_1,0.2055889694899163
rate_50,pattern_2,0.17552977326446847
rate_50,pattern_3,0.24103075730202586
rate_70,pattern_1,0.2031912780478229
rate_70,pattern_2,0.17363722594178221
rate_70,pattern_3,0.24440000946277035
rate_90,pattern_1,0.206023672979972
rate_90,pattern_2,0.17363722594178221
rate_90,pattern_3,0.24440000946277035
