rate,pattern,MSE
rate_10,pattern_1,0.2658223936807025
rate_10,pattern_2,1.591496959778955
rate_10,pattern_3,0.22519449864435895
rate_30,pattern_1,0.6025764910265496
rate_30,pattern_2,3.558848556004403
rate_30,pattern_3,0.6193131472806506
rate_50,pattern_1,0.7635207172121059
rate_50,pattern_2,3.558848556004403
rate_50,pattern_3,0.6193131472806506
rate_70,pattern_1,1.4563875271368634
rate_70,pattern_2,3.558848556004403
rate_70,pattern_3,0.6193131472806506
rate_90,pattern_1,1.8789515668062116
rate_90,pattern_2,3.558848556004403
rate_90,pattern_3,0.6193131472806506
