rate,pattern,MSE
rate_10,pattern_1,0.0012614708134128082
rate_10,pattern_2,0.00015551952810140466
rate_10,pattern_3,0.0018304652026351258
rate_30,pattern_1,0.001956641684768357
rate_30,pattern_2,0.0001711116862504072
rate_30,pattern_3,0.0018463251058450836
rate_50,pattern_1,0.0027406524095820173
rate_50,pattern_2,0.0001711116862504072
rate_50,pattern_3,0.0018463251058450836
rate_70,pattern_1,0.007275599784397734
rate_70,pattern_2,0.0001711116862504072
rate_70,pattern_3,0.0018463251058450836
rate_90,pattern_1,0.014078487599821946
rate_90,pattern_2,0.0001711116862504072
rate_90,pattern_3,0.0018463251058450836
