name,tau,min_m,epsilon,RR,DET,DEratio,L,L_max,DIV,L_entr,LAM,TT,W,W_max,W_div,base_name,missing_rate,block_len
Lorenz attractor (x) (missing 0%),37,2,0.17296730561803045,0.04977514481483605,0.9916789188851003,19.923174961602903,10.192155181652556,530,0.0018867924528301887,2.842003900308202,0.9934098705957185,10.541521438450898,188.7599030328038,1963,0.0005094243504839531,Lorenz attractor (x),0.0,10
Lorenz attractor (x) (missing 20%),39,2,0.1847552837195093,0.049810155763029246,0.9917513286625667,19.91062492116673,11.596020021975338,638,0.001567398119122257,2.9810816242494895,0.9942781368444134,10.923429882420418,197.0673429743147,1961,0.0005099439061703213,Lorenz attractor (x),0.2,10
Lorenz attractor (x) (missing 50%),42,2,0.19991801053036884,0.04971563194813244,0.9920985529753722,19.955464993594237,13.498857795545403,637,0.0015698587127158557,3.1147287493488482,0.9951468535871311,11.217280738068483,204.51583913727254,1947,0.0005136106831022085,Lorenz attractor (x),0.5,10
Lorenz attractor (x) (missing 70%),89,2,0.201028527285791,0.04968398823523291,0.9926918794986828,19.980116628292837,10.728853943292828,589,0.001697792869269949,3.039781290507346,0.9953483757895085,11.10893768838039,203.4568864382919,1911,0.0005232862375719519,Lorenz attractor (x),0.7,10
Lorenz attractor (x) (missing 90%),89,2,0.19439439105120573,0.04956021775936555,0.9930382894082546,20.03700415986564,10.172628480869369,883,0.0011325028312570782,3.0041181282936607,0.9951212774186419,10.83937168993741,199.352853284294,1911,0.0005232862375719519,Lorenz attractor (x),0.9,10
Sine wave (missing 0%),20,2,0.22135952214731422,0.05033006836037139,1.0,19.868838501069362,109.98550724637681,1979,0.0005053057099545225,0.8373062720674382,0.999797277435965,4.784255711306203,90.66924951267056,95,0.010526315789473684,Sine wave,0.0,10
Sine wave (missing 20%),20,2,0.22441240685734176,0.05004438322620141,0.9996839862584992,19.97594778498741,66.0822102425876,1979,0.0005053057099545225,3.8790388562197204,0.9991538986921109,4.802489097946984,91.33974626389536,1196,0.0008361204013377926,Sine wave,0.2,10
Sine wave (missing 50%),20,2,0.26180644842988066,0.0500428527701255,0.9988174608029033,19.959243038981498,32.36802114304592,1979,0.0005053057099545225,3.8846981684402784,0.9989194038371358,5.140219272937103,97.66929939648386,1825,0.000547945205479452,Sine wave,0.5,10
Sine wave (missing 70%),20,2,0.2917598299152459,0.0500719314355678,0.9979827001253171,19.930980721395063,24.88011176022352,1979,0.0005053057099545225,3.7905968477881644,0.9987977707817547,5.638455123227792,107.10053808304319,1831,0.0005461496450027307,Sine wave,0.7,10
Sine wave (missing 90%),19,2,0.3166725408275541,0.0500866255678313,0.9979751523723278,19.92498278848493,22.91588785046729,1980,0.000505050505050505,3.7866354319438194,0.9985042582850864,6.027393894723911,114.40955013050821,1822,0.0005488474204171241,Sine wave,0.9,10
