radius,recurence_rate
1.000000000000000021e-02,2.378053729405080891e-02
3.020408163265306256e-02,1.903903903903903794e-01
5.040816326530612318e-02,3.136725915104293660e-01
7.061224489795918380e-02,4.408051294537780884e-01
9.081632653061223748e-02,5.607109812515217451e-01
1.110204081632652912e-01,6.497232367502637773e-01
1.312244897959183587e-01,7.072834997159321846e-01
1.514285714285714401e-01,7.455985715445174744e-01
1.716326530612244938e-01,7.778816654492329841e-01
1.918367346938775475e-01,8.097102507913318536e-01
2.120408163265306012e-01,8.335589643697751683e-01
2.322448979591836826e-01,8.500835971106240896e-01
2.524489795918367085e-01,8.620566512458404107e-01
2.726530612244897900e-01,8.759905851797743503e-01
2.928571428571428714e-01,8.914698482266050217e-01
3.130612244897958973e-01,9.083451018586153891e-01
3.332653061224489788e-01,9.237594351107865087e-01
3.534693877551020602e-01,9.384270757243730054e-01
3.736734693877550861e-01,9.518740361983605291e-01
3.938775510204081676e-01,9.664183102020940108e-01
4.140816326530611935e-01,9.711257203149095130e-01
4.342857142857142749e-01,9.715412710007305108e-01
4.544897959183673564e-01,9.720217514812109494e-01
4.746938775510203823e-01,9.728074019965912145e-01
4.948979591836734637e-01,9.740280821361902985e-01
5.151020408163264896e-01,9.757097638178718890e-01
5.353061224489795711e-01,9.790017044071097629e-01
5.555102040816326525e-01,9.836831426020614666e-01
5.757142857142857340e-01,9.854492330168005410e-01
5.959183673469388154e-01,9.855271487703920474e-01
6.161224489795917858e-01,9.855985715445174655e-01
6.363265306122448672e-01,9.857089521954386369e-01
6.565306122448979487e-01,9.857089521954386369e-01
6.767346938775510301e-01,9.857608960311663449e-01
6.969387755102041115e-01,9.857738819900981886e-01
7.171428571428570820e-01,9.858063468874279645e-01
7.373469387755101634e-01,9.858582907231555614e-01
7.575510204081632448e-01,9.858907556204853373e-01
7.777551020408163263e-01,9.859426994562129343e-01
7.979591836734694077e-01,9.859686713740767328e-01
8.181632653061223781e-01,9.860336011687362845e-01
8.383673469387754595e-01,9.861180099017936573e-01
8.585714285714285410e-01,9.862024186348510302e-01
8.787755102040816224e-01,9.862868273679084030e-01
8.989795918367347038e-01,9.864231799366934839e-01
9.191836734693877853e-01,9.868127587046505722e-01
9.393877551020407557e-01,9.876308741173606132e-01
9.595918367346938371e-01,9.890658225793360625e-01
9.797959183673469186e-01,9.910656602548494343e-01
1.000000000000000000e+00,9.956691826962097425e-01
