radius,recurence_rate
1.000000000000000021e-02,1.123595505617977497e-02
3.020408163265306256e-02,1.123595505617977497e-02
5.040816326530612318e-02,1.123595505617977497e-02
7.061224489795918380e-02,1.148844842822875981e-02
9.081632653061223748e-02,1.451836889281656398e-02
1.110204081632652912e-01,2.487059714682489722e-02
1.312244897959183587e-01,4.910996086352733409e-02
1.514285714285714401e-01,9.026638050751167874e-02
1.716326530612244938e-01,1.543996970079535291e-01
1.918367346938775475e-01,2.397424567605100365e-01
2.120408163265306012e-01,3.462946597651811453e-01
2.322448979591836826e-01,4.581492235828809600e-01
2.524489795918367085e-01,5.700037874005807748e-01
2.726530612244897900e-01,6.765559904052518281e-01
2.928571428571428714e-01,7.631612170180532839e-01
3.130612244897958973e-01,8.401716954929933090e-01
3.332653061224489788e-01,8.914278500189369847e-01
3.534693877551020602e-01,9.252619618735008489e-01
3.736734693877550861e-01,9.462189117535664273e-01
3.938775510204081676e-01,9.585910869839666670e-01
4.140816326530611935e-01,9.676808483777300518e-01
4.342857142857142749e-01,9.727307158187097347e-01
4.544897959183673564e-01,9.760131296553465896e-01
4.746938775510203823e-01,9.777805832596894176e-01
4.948979591836734637e-01,9.777805832596894176e-01
5.151020408163264896e-01,9.777805832596894176e-01
5.353061224489795711e-01,9.777805832596894176e-01
5.555102040816326525e-01,9.780330766317384406e-01
5.757142857142857340e-01,9.780330766317384406e-01
5.959183673469388154e-01,9.780330766317384406e-01
6.161224489795917858e-01,9.780330766317384406e-01
6.363265306122448672e-01,9.780330766317384406e-01
6.565306122448979487e-01,9.780330766317384406e-01
6.767346938775510301e-01,9.782855700037873525e-01
6.969387755102041115e-01,9.785380633758363755e-01
7.171428571428570820e-01,9.795480368640323565e-01
7.373469387755101634e-01,9.795480368640323565e-01
7.575510204081632448e-01,9.800530236081302915e-01
7.777551020408163263e-01,9.813154904683751845e-01
7.979591836734694077e-01,9.823254639565711654e-01
8.181632653061223781e-01,9.838404241888650814e-01
8.383673469387754595e-01,9.851028910491099744e-01
8.585714285714285410e-01,9.883853048857467183e-01
8.787755102040816224e-01,9.909102386062366152e-01
8.989795918367347038e-01,9.931826789546774892e-01
9.191836734693877853e-01,9.957076126751672751e-01
9.393877551020407557e-01,9.974750662795102141e-01
9.595918367346938371e-01,9.992425198838530420e-01
9.797959183673469186e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
