epsilon,TT,L
0.1,3.5492957746478875,6.428571428571429
0.2,4.098765432098766,7.492753623188406
0.3,4.633187772925764,5.734806629834254
0.4,4.987405541561713,5.877813504823151
0.5,5.1372251705837755,5.176271186440678
0.6,5.167582417582418,4.681945743685688
0.7,5.451280449718926,4.678960096735188
0.7999999999999999,6.072969696969697,5.151806127114769
0.8999999999999999,6.378123798539024,5.359094176851186
0.9999999999999999,6.60578434454574,5.454650158364526
1.0999999999999999,7.013020134228188,5.6617189370361505
1.2,7.521909047844623,5.907321030216995
1.3,8.01186817844654,6.1456140350877195
1.4,8.470336925915138,6.44793152639087
1.5,8.89376130198915,6.65806916426513
1.5999999999999999,9.29991532599492,6.838824459673168
1.7,9.78737406564836,7.138081576649619
1.8,10.315797788309636,7.496150144369586
1.9,10.849853327157634,7.810136859197402
2.0,11.43649278240281,8.189029247752362
