epsilon,TT,L
0.1,0.0,0.0
0.2,2.2222222222222223,2.25
0.3,2.212121212121212,2.3846153846153846
0.4,2.3642857142857143,2.736842105263158
0.5,2.5555555555555554,2.932584269662921
0.6,2.7141176470588237,2.9458128078817736
0.7,2.9764089121887287,3.252032520325203
0.7999999999999999,3.1680946552427582,3.4618834080717487
0.8999999999999999,3.3622589531680442,3.6792452830188678
0.9999999999999999,3.5582130855900376,3.9080385852090034
1.0999999999999999,3.783629250677099,4.181124880838894
1.2,4.023720650210716,4.442893867058391
1.3,4.303176517893044,4.6558574349985395
1.4,4.590522478736331,4.932178580141498
1.5,4.897583429228999,5.216729244889446
1.5999999999999999,5.238901220865705,5.574084299650285
1.7,5.623180002576987,5.953759148369927
1.8,6.008733624454148,6.30470534490635
1.9,6.420693641618497,6.80583646344987
2.0,6.830507532380899,7.267564966313763
