epsilon,TT,L
0.1,3.5714285714285716,9.533333333333333
0.2,5.446153846153846,8.666666666666666
0.3,8.306451612903226,8.224719101123595
0.4,7.773291925465839,7.839160839160839
0.5,5.859649122807017,5.757679180887372
0.6,5.3889891696750905,4.7848605577689245
0.7,5.310532687651332,4.444155844155844
0.7999999999999999,5.159552424368006,4.174468085106383
0.8999999999999999,4.9783986175115205,3.9684270952927667
0.9999999999999999,4.985812458434937,3.979546465095598
1.0999999999999999,4.968948361640075,3.982776438167413
1.2,4.979404397439466,3.9258353708231457
1.3,5.066643117861768,3.9591145245086965
1.4,5.196522442377679,4.0083128660495
1.5,5.297868608016841,4.062348570505573
1.5999999999999999,5.423426926965855,4.069850911098841
1.7,5.542922469341093,4.0851139601139606
1.8,5.719964885879107,4.141849123171111
1.9,5.99377472655341,4.304752066115703
2.0,6.241412937479684,4.482422043707351
