epsilon,TT,L
0.1,4.21505376344086,4.690476190476191
0.2,3.8,3.8524590163934427
0.3,3.978165938864629,3.885294117647059
0.4,4.311030741410488,4.082882882882883
0.5,4.81806534272902,4.223809523809524
0.6,5.260085429520646,4.330845771144278
0.7,5.699029126213592,4.529117094552285
0.7999999999999999,6.2630128597673,4.788076152304609
0.8999999999999999,6.60590405904059,4.880015432098766
0.9999999999999999,7.120110544217687,5.122053600258314
1.0999999999999999,7.618041139837705,5.371636771300448
1.2,8.127429062768702,5.649675162418791
1.3,8.538607895988584,5.896065499204003
1.4,8.834204413472706,6.001220256253814
1.5,9.547017045454545,6.358589793533308
1.5999999999999999,10.233911583659765,6.733660748016622
1.7,10.869958275382476,7.090909090909091
1.8,11.49337382661513,7.43869906815275
1.9,12.149757113115891,7.791674241047082
2.0,12.765304699484034,8.182283105022831
