epsilon,TT,L
0.1,0.0,0.0
0.2,2.0,2.0
0.3,2.0,2.076923076923077
0.4,2.25,2.054054054054054
0.5,2.36,2.2051282051282053
0.6,2.4955277280858676,2.272727272727273
0.7,2.6926877470355732,2.452991452991453
0.7999999999999999,2.917799752781211,2.525502318392581
0.8999999999999999,3.1028979420411593,2.5894538606403015
0.9999999999999999,3.3064466849984724,2.7580117724002617
1.0999999999999999,3.4885962849753116,2.864011656143759
1.2,3.7030951471150173,3.017060876308647
1.3,3.8492075945394633,3.1088372093023255
1.4,3.9828685258964143,3.1767109295199183
1.5,4.162554761355776,3.283112941686538
1.5999999999999999,4.312493717961604,3.3597718071402283
1.7,4.458252598203276,3.4565804095888235
1.8,4.641270091396155,3.5833917800533035
1.9,4.813489819004525,3.688340530536706
2.0,5.04270462633452,3.833666444592494
