epsilon,TT,L
0.1,2.1176470588235294,3.9166666666666665
0.2,2.6973684210526314,4.5
0.3,3.7374517374517375,4.526315789473684
0.4,4.55,4.494845360824742
0.5,4.907692307692308,4.155172413793103
0.6,5.411668036154478,4.0849315068493155
0.7,5.71873165002936,4.153345724907063
0.7999999999999999,6.19364448857994,4.430448222565688
0.8999999999999999,6.306774605879847,4.4186046511627906
0.9999999999999999,6.3657442034405385,4.330790190735695
1.0999999999999999,6.57537517053206,4.374093765103915
1.2,6.930016051364366,4.4982363315696645
1.3,7.495723788406715,4.8699434536755115
1.4,7.738760631834751,5.026655560183257
1.5,8.092046470062556,5.223167274200081
1.5999999999999999,8.66208544965641,5.544614147909968
1.7,9.087097726601712,5.809015421115065
1.8,9.556565064478312,6.119168953351627
1.9,9.840902599257355,6.3528055342044585
2.0,10.245554614733276,6.607791225416037
