epsilon,TT,L
0.1,2.6666666666666665,2.75
0.2,3.590909090909091,3.5
0.3,3.1411764705882352,3.433333333333333
0.4,3.3660714285714284,3.4578313253012047
0.5,3.4307692307692306,3.5481927710843375
0.6,3.3580470162748646,3.4761904761904763
0.7,3.3591718825228694,3.624590163934426
0.7999999999999999,3.476163610719323,3.82046511627907
0.8999999999999999,3.701011257393627,4.14134495641345
0.9999999999999999,3.96486562150056,4.534560143626571
1.0999999999999999,4.324601493701929,4.903819918144611
1.2,4.6879579184670295,5.242665204277488
1.3,5.169163648337175,5.7336868803320264
1.4,5.768274188656354,6.270799676898223
1.5,6.496814825539308,6.845695722793719
1.5999999999999999,7.2876421960008475,7.52248322147651
1.7,8.266404574696212,8.313229571984436
1.8,9.326256244490155,9.118313907073288
1.9,10.364867933096193,9.859679720944982
2.0,11.4249863185052,10.574703557312253
