epsilon,TT,L
0.1,9.938775510204081,16.29512893982808
0.2,17.21461824953445,14.327856025039123
0.3,23.09079754601227,18.781270903010032
0.4,25.9650067294751,19.446700507614214
0.5,27.15776633233939,19.087039877300615
0.6,29.295050911674164,19.977604673807207
0.7,30.7937106918239,19.989606126914662
0.7999999999999999,33.79162451952256,21.240173557937723
0.8999999999999999,36.7515114873035,22.761523046092183
0.9999999999999999,39.11225519886937,23.945134061569018
1.0999999999999999,40.56254996003197,24.467652047492123
1.2,41.00175301908843,24.534785664089952
1.3,44.55222968845449,26.868180696124412
1.4,49.787337304213544,30.297246220302377
1.5,57.2296828543112,35.122361578464364
1.5999999999999999,65.09131156613171,40.57306490801805
1.7,72.32959028831563,45.55290496344748
1.8,75.90192368338063,47.96110665597434
1.9,81.20320855614973,51.90631714654061
2.0,84.75822653273293,54.53787539220081
