epsilon,TT,L
0.1,62.02044293015332,94.58333333333333
0.2,71.07397959183673,70.50253807106598
0.3,51.83220973782772,36.97851772287863
0.4,37.317629917435646,23.199514857489387
0.5,40.29446064139942,25.53134698944755
0.6,42.7935,28.16079734219269
0.7,45.72910372608258,31.33263305322129
0.7999999999999999,34.4705459770115,21.893302540415704
0.8999999999999999,28.4390919158361,17.401504787961695
0.9999999999999999,27.539890981169474,16.90353302611367
1.0999999999999999,29.71890303623898,18.457768187422936
1.2,28.957689724647416,17.757651641624932
1.3,26.335858585858585,15.725692813527477
1.4,26.07247451343837,15.556077904633982
1.5,26.43006488824802,15.634025075659316
1.5999999999999999,26.99649061238814,15.84509394572025
1.7,29.51538603279897,17.40215006581834
1.8,33.300281011641914,19.847915160279584
1.9,35.446675031367626,21.060886995740415
2.0,35.15736040609137,20.821497584541063
