file,tau,m,mLAM,mTT,mDEratio,rank,group
pks0346-27_lc_liner.csv,27,3,0.9440763318314339,6.310008857395926,32.57818996399783,1,High
oq334_lc_liner.csv,15,4,0.9943359845745963,11.412171507607193,31.208915824789077,2,High
pks1454-354_lc_liner.csv,21,4,0.8940688940688941,7.818799546998868,28.337188855059875,3,High
pks1830-211_lc_liner.csv,20,6,0.518590240123935,2.662027833001988,27.32618809478238,4,High
pmn_j1913-3630_lc_liner.csv,24,4,0.9719598583234947,6.90356394129979,27.116425916039525,5,High
pks0920-39_lc_liner.csv,16,5,0.9612051176227817,17.125,25.536646755564576,6,High
pks_b1406-076_lc_liner.csv,26,5,0.8445451886516525,5.734856007944389,24.850564319737924,7,High
pks0235+164_lc_liner.csv,11,4,0.905955243203255,21.390829694323145,22.74132202435458,8,High
b3_0650+453_lc_liner.csv,6,4,0.9872909698996656,10.052213393870602,22.71913155333833,9,High
op313_lc_liner.csv,6,4,0.9442440401505646,6.536916395222584,22.686674053835038,10,High
pmn_j1717-5155_lc_liner.csv,23,2,0.984055459272097,13.551312649164677,22.58596187175043,11,High
nvss_J090442_lc_liner.csv,55,3,0.9769799945190463,10.185714285714285,22.26866196011611,12,High
pks1510-324_lc_liner.csv,44,3,0.9957191780821918,8.351885098743267,21.44432301806741,13,Mid
pks0528+134_lc_liner.csv,4,4,0.9877529286474973,10.027027027027026,21.40530167706111,14,Mid
3c446_lc_liner.csv,8,5,0.9930675909878682,20.631751227495908,20.905550035498845,15,Mid
pks1004-217_lc_liner.csv,20,5,0.9540921919096895,9.313131313131313,20.801981558786125,16,Mid
pks2144+092_lc_liner.csv,7,4,0.9715052204176334,9.903178122690317,20.498726858705542,17,Mid
s4_1849+67_lc_liner.csv,8,5,0.8937104708362614,5.922002328288708,20.470031619009852,18,Mid
txs0646-176_lc_liner.csv,12,5,0.9974615499477378,26.93548387096774,20.466253668995556,19,Mid
mg2_j071354+1934_lc_liner.csv,10,3,0.987375415282392,19.39947780678851,20.408207167691305,20,Mid
pks0438-43_lc_liner.csv,5,4,0.999368553988634,16.957142857142856,20.185605166329736,21,Mid
nrao676_lc_liner.csv,4,5,0.9909934497816594,31.391930835734872,19.970956861705957,22,Mid
pks1329-049_lc_liner.csv,4,4,0.9995359628770302,38.01176470588236,19.952371679499763,23,Mid
gb1310+487_lc_liner.csv,2,3,0.9894595359366157,16.974514563106798,19.9251936640074,24,Mid
pks0035-252_lc_liner.csv,8,4,0.996272630457934,20.172506738544474,19.878285991969115,25,Mid
pks2123-463_lc_liner.csv,5,4,0.9897492625368731,21.168769716088327,19.861450681337615,26,Mid
pmn_j2141-6411_lc_liner.csv,8,5,0.9604264254563075,11.88011988011988,19.850032121022483,27,Mid
pks2142-75_lc_liner.csv,4,4,0.9945768282662284,26.086206896551722,19.82674922303791,28,Mid
1ES2322-409_lc_liner.csv,11,4,0.9030569160614761,7.143620574482298,19.81596317111289,29,Mid
pks0235-618_lc_liner.csv,4,3,0.9806853582554517,12.45910290237467,19.73178915836091,30,Mid
pks0507+17_lc_liner.csv,3,3,0.9788434414668548,10.605539637058262,19.7090990608358,31,Mid
pmn_j0852-5755_lc_liner.csv,3,4,0.9835280753002272,14.78170731707317,19.646859050997932,32,Mid
pks1824-582_lc_liner.csv,5,4,0.9936203028603477,28.346,19.63596520890104,33,Mid
pmn_j0017-0512_lc_liner.csv,8,4,0.9718809482609448,13.902227722772277,19.598823253971833,34,Mid
4c+31.03_lc_liner.csv,7,5,0.9659849144183348,22.88487972508591,19.553194803922533,35,Mid
s4_1800+44_lc_liner.csv,3,5,0.9827817531305904,15.75268817204301,19.54437869822485,36,Mid
pks0131-522_lc_liner.csv,2,4,0.983640081799591,8.33228346456693,19.445820316910687,37,Mid
ok630_lc_liner.csv,4,4,0.9318336278374337,9.39753255654558,19.339667445530104,38,Mid
mrc_1036-529_lc_liner.csv,11,4,0.9947322212467077,13.251461988304094,19.32706573777808,39,Mid
txs2241+406_lc_liner.csv,10,5,0.9852088167053364,16.590964590964592,19.292905685935153,40,Mid
pks1346-112_lc_liner.csv,9,3,0.9770089933275312,9.663558106169297,19.282815320882534,41,Mid
pks1451-375_lc_liner.csv,9,5,0.9956709956709957,12.02200825309491,19.23490832655491,42,Mid
pks0403-13_lc_liner.csv,24,4,0.9807923169267707,9.0347551342812,19.17709534263273,43,Mid
pks2155-83_lc_liner.csv,6,4,0.9655303606756962,10.40935192780968,19.168548857971576,44,Mid
txs1700+685_lc_liner.csv,3,5,0.9523532829750145,10.357030015797788,19.140270886418282,45,Mid
4c+40.25_lc_liner.csv,6,3,0.9706154864328259,10.27750525578136,19.10034924999595,46,Mid
txs2358+209_lc_liner.csv,3,5,0.9693603296900197,9.566755083996464,18.985412694111105,47,Mid
b2_1846+32a_lc_liner.csv,11,5,0.9801306840912122,15.28066528066528,18.684661799863754,48,Mid
