epsilon,TT,L
0.1,0.0,0.0
0.2,2.0,2.0
0.3,2.0963855421686746,2.0
0.4,2.203804347826087,2.041095890410959
0.5,2.2933333333333334,2.1407942238267146
0.6,2.4485651214128037,2.2142857142857144
0.7,2.648201627723812,2.2984148862853204
0.7999999999999999,2.87920206871075,2.4201208981001727
0.8999999999999999,3.0943769426391636,2.545427196149218
0.9999999999999999,3.3353665554148924,2.6802721088435373
1.0999999999999999,3.598848555815769,2.8394412191582004
1.2,3.8553658745817962,3.0069113807402856
1.3,4.150117096018735,3.180281309169597
1.4,4.460765027322404,3.3710490714549257
1.5,4.7972832490124055,3.586407766990291
1.5999999999999999,5.140496968889481,3.7839050977877524
1.7,5.457170233152348,3.9904050095949906
1.8,5.879663358874513,4.256592390775518
1.9,6.298941635204556,4.544945420028476
2.0,6.811014851485148,4.9030621829795225
