file,tau,m,mD,mL,mEN,mTT,mLAM,rank,group
1ES2344+514_lc_liner.csv,3,4,0.8339205819053814,6.216477482812413,2.311076715250894,7.184097463855535,0.8410783055198973,91,Mid
pks0736+01_lc_liner.csv,8,4,0.8318899569031768,6.429646742511215,1.9342855435293345,9.157672471012686,0.7218685341397422,92,Mid
pks0250-225_lc_liner.csv,7,5,0.826565321870403,4.867449230728328,1.88537136241413,6.159249053788267,0.8668322506687046,93,Mid
pks2023-07_lc_liner.csv,5,4,0.8262952880710145,8.200295207722471,2.0574679054017997,11.992379545017087,0.7573063973063973,94,Mid
3c279_lc_liner.csv,3,6,0.8172480034614236,7.432177758382332,1.5172083362747382,10.640443601696013,0.83818271483171,95,Mid
s3_0458-02_lc_liner.csv,4,5,0.8170165549249042,7.92010687916722,2.2545853897863086,10.509434993242946,0.8581440986823662,96,Mid
3c273_lc_liner.csv,8,5,0.813030493281737,6.851768961124653,1.8935843955788427,10.375092904156663,0.6894944189100459,97,Mid
pks0226-559_lc_liner.csv,10,3,0.811808871856989,8.10692985288525,2.1803414442106286,9.421175629593487,0.8103549141965679,98,Mid
s4_1030+61_lc_liner.csv,5,4,0.8113149424322694,5.881005675790718,1.9948050129556143,7.634879792888365,0.8108857250850448,99,Mid
pmn_j2345-1555_lc_liner.csv,4,4,0.8075454611966126,6.804132948735952,2.119096970352877,8.986142520472994,0.8586525759577279,100,Mid
pks1954-388_lc_liner.csv,5,4,0.8066384603439675,5.927533864786248,2.099702416280233,7.615723817469335,0.8423684210526315,101,Mid
pks1502+106_lc_liner.csv,28,3,0.8018167572941726,6.872509633953202,2.220370386394429,9.580068536598713,0.7316870144284129,102,Mid
pks2233-148_lc_liner.csv,6,5,0.8009383954809579,6.046734273342854,1.8968502055268979,9.02024904382484,0.7956730769230769,103,Mid
txs0059+581_lc_liner.csv,12,5,0.7916637169531034,5.144669907343942,1.9718186526873105,6.689147140718978,0.7639296187683284,104,Mid
b2_2308+34_lc_liner.csv,15,5,0.78617837471167,4.849932690910764,1.8324668074621246,6.483063931447065,0.8421693264809305,105,Mid
pks1830-211_lc_liner.csv,20,6,0.7798567876362283,5.845985087188335,1.969803963509398,8.776695892576479,0.518590240123935,106,Mid
pks0336-01_lc_liner.csv,4,4,0.77454444222511,5.453761841537836,1.7809041367246035,6.926400561394651,0.7725866336633663,107,Mid
pks0301-243_lc_liner.csv,2,4,0.7628852210010794,8.909692036969156,2.8140238424892288,8.564319151451576,0.800498298492951,108,Mid
ton599_lc_liner.csv,8,4,0.75254670476616,5.729442669684781,1.8328413716493046,8.197460199480426,0.6266364225534673,109,Mid
og050_lc_liner.csv,4,5,0.748970531287135,4.288324403088447,1.5195637716538541,5.137172114454749,0.7749793559042114,110,Mid
b2_1215+30_lc_liner.csv,1,4,0.7484976719355301,3.6636160386734873,1.6321828112639427,3.9720956808433754,0.6603191875226696,111,Mid
4c+28.07_lc_liner.csv,16,4,0.7479825407211237,7.102385035769393,2.023967329199027,9.967217678363019,0.6915230875258442,112,Mid
b2_0619+33_lc_liner.csv,14,10,0.7427178583705146,3.876455411449883,1.3968631661719766,5.181470202883951,0.8904645476772616,113,Mid
mg1_j123931+0443_lc_liner.csv,12,6,0.7351527929972334,5.997585450350428,1.8337985804597925,8.201580112045752,0.7905703218912782,114,Mid
pks1244-255_lc_liner.csv,3,5,0.7255691357591304,4.543921819304542,1.5674637674915417,5.677231638292532,0.75052076951354,115,Mid
4c+01.02_lc_liner.csv,24,5,0.7196238836611023,5.193912495730323,1.7814545238853938,7.29319832104026,0.766317960807426,116,Mid
s4_1749+70_lc_liner.csv,3,4,0.7188725985875053,4.765342051450856,1.4320736076748706,6.690361096369432,0.6482384493477996,117,Mid
4c+38.41_lc_liner.csv,18,4,0.6981222234317739,4.811996900414917,1.7152913621411858,6.793683920734677,0.707469745444429,118,Mid
s4_1144+40_lc_liner.csv,16,5,0.6781100553823156,4.181960016703858,1.7824692455378088,5.492441921793873,0.7776637842591235,119,Mid
mg1_j021114+1051_lc_liner.csv,3,4,0.6752594147012629,5.11976965214263,1.7653015210511533,5.560557465497718,0.7107303651825913,120,Mid
mkn501_lc_liner.csv,1,4,0.6743462713000181,3.3464552969312558,1.4782199902371043,3.3195610870060386,0.5710727736605515,121,Mid
pks1510-089_lc_liner.csv,5,5,0.6649332315443449,5.259130885221617,1.592873033672999,7.645468318151033,0.7194262396438729,122,Mid
b3_1343+451_lc_liner.csv,14,4,0.6532579970506616,3.83667824943167,1.5972358532272808,4.861187750280871,0.6914796152084288,123,Mid
4c+01.28_lc_liner.csv,7,4,0.6531847915848892,3.9247859926675672,1.6417851951946443,4.84743691424028,0.6902844198338787,124,Mid
pg1553+113_lc_liner.csv,1,4,0.6502959469846601,3.138158196912644,1.372694135115188,3.035216282503112,0.35562697065243754,125,Mid
w_comae_lc_liner.csv,3,4,0.6410789006090053,4.007857335113789,1.6132800552983002,4.433216123784969,0.649390243902439,126,Mid
pks1424-41_lc_liner.csv,19,4,0.624198661863047,3.7677510435679364,1.5126966262252375,4.995104523911413,0.7491958952366365,127,Mid
