epsilon,TT,L
0.1,3.782608695652174,9.5
0.2,3.7925925925925927,9.133333333333333
0.3,3.68978102189781,8.666666666666666
0.4,3.5147347740667976,8.843478260869565
0.5,3.8614008941877795,7.988571428571428
0.6,4.128680479825518,7.0359712230215825
0.7,4.534924845269673,6.847593582887701
0.7999999999999999,4.859135285913529,6.943089430894309
0.8999999999999999,5.288659793814433,6.596182085168869
0.9999999999999999,5.7007125890736345,6.302702702702702
1.0999999999999999,6.032488114104596,6.200167504187605
1.2,6.452729693741678,6.235992089650626
1.3,6.957366589327147,6.46523178807947
1.4,7.4945278696869435,6.645101663585952
1.5,8.125660464047783,6.95569875151027
1.5999999999999999,8.589010084379503,7.2
1.7,9.251339969372129,7.605787781350482
1.8,9.838881019830028,7.903590040532715
1.9,10.385587655942219,8.133751306165099
2.0,11.001226805704647,8.467529355379822
