epsilon,TT,L
0.1,0.0,0.0
0.2,2.0,2.0
0.3,2.1818181818181817,2.0
0.4,2.1818181818181817,2.0588235294117645
0.5,2.2433862433862433,2.056603773584906
0.6,2.334061135371179,2.088888888888889
0.7,2.4095982142857144,2.124513618677043
0.7999999999999999,2.4977945809703845,2.198501872659176
0.8999999999999999,2.592236598890943,2.260869565217391
0.9999999999999999,2.7062634989200864,2.3323442136498516
1.0999999999999999,2.790790127546795,2.3797418850215095
1.2,2.892245480494767,2.451147891083823
1.3,3.0599561963862016,2.5569938176197837
1.4,3.249007790680582,2.677144535840188
1.5,3.4919845905306324,2.8155728063984946
1.5999999999999999,3.7868483217052136,2.9825250343608873
1.7,4.145647600921567,3.206540300546448
1.8,4.558093626621545,3.4912267080745343
1.9,5.035782226650965,3.793133294864397
2.0,5.621423429908224,4.189514155889549
