epsilon,TT,L
0.1,2.9553072625698324,7.714285714285714
0.2,4.950391644908616,6.937984496124031
0.3,6.267090620031796,6.555956678700361
0.4,6.475117370892018,5.727927927927928
0.5,7.133289560078792,5.4833153928955864
0.6,8.176016469377252,5.978689818468824
0.7,9.928835489833642,7.114697802197802
0.7999999999999999,12.056654676258994,8.541530412034009
0.8999999999999999,13.830560420315237,9.581582200247219
0.9999999999999999,15.757443082311735,10.806825106642291
1.0999999999999999,17.619588981198078,12.137804878048781
1.2,20.21975992613112,13.702583490863264
1.3,24.413249211356465,16.667388167388168
1.4,27.64004563605248,18.996850393700786
1.5,31.129353233830845,21.3267750213858
1.5999999999999999,36.055516514406186,24.852140077821012
1.7,40.11008468052348,27.923491379310345
1.8,43.651239669421486,30.83450704225352
1.9,47.904035874439465,34.81758530183727
2.0,53.14990138067061,39.897014925373135
