epsilon,TT,L
0.1,2.3333333333333335,3.0
0.2,2.6666666666666665,3.473684210526316
0.3,2.789808917197452,4.159090909090909
0.4,3.0980392156862746,3.6869565217391305
0.5,3.423337856173677,3.8078817733990147
0.6,3.694467382328654,3.9327485380116958
0.7,3.972375690607735,3.8644628099173555
0.7999999999999999,4.268012668250198,4.140877598152425
0.8999999999999999,4.562575210589651,4.420068027210885
0.9999999999999999,4.801008161305809,4.69750656167979
1.0999999999999999,5.03676327562731,4.943958868894602
1.2,5.283903884134299,5.3393248575186325
1.3,5.551157473563875,5.631362275449102
1.4,5.842198581560283,5.949185667752443
1.5,6.155097860719162,6.345311130587204
1.5999999999999999,6.479676482787225,6.762370997618418
1.7,6.768206883437916,7.131700218287655
1.8,7.071625344352617,7.4330127488257665
1.9,7.383640456933211,7.7158176943699734
2.0,7.742902458366376,7.986222732491389
