epsilon,TT,L
0.1,0.0,0.0
0.2,0.0,2.25
0.3,2.0,2.3636363636363638
0.4,2.2083333333333335,2.4838709677419355
0.5,2.2266666666666666,2.4726027397260273
0.6,2.3508771929824563,2.5433526011560694
0.7,2.46875,2.6503164556962027
0.7999999999999999,2.571127502634352,2.7263969171483624
0.8999999999999999,2.611885991510006,2.8168035375868605
0.9999999999999999,2.697798025816249,2.947982062780269
1.0999999999999999,2.806451612903226,3.075862068965517
1.2,2.91701244813278,3.214412585638163
1.3,3.0203376312641232,3.390698627330465
1.4,3.1575934214635164,3.5535896563456957
1.5,3.3184503713706954,3.736064861734472
1.5999999999999999,3.4977302884279626,3.946047678795483
1.7,3.7416621269898918,4.204040404040404
1.8,4.019789061650538,4.475305472841154
1.9,4.33185111166625,4.782954654395552
2.0,4.687576298243966,5.129226282693885
