epsilon,TT,L
0.1,0.0,0.0
0.2,2.0,2.0
0.3,2.0491803278688523,2.4545454545454546
0.4,2.131868131868132,2.2280701754385963
0.5,2.249394673123487,2.2577319587628866
0.6,2.424507658643326,2.231638418079096
0.7,2.61197270471464,2.292812777284827
0.7999999999999999,2.82136463099264,2.370975730559683
0.8999999999999999,3.079195205479452,2.51842598376015
0.9999999999999999,3.383184943085766,2.6994141505182516
1.0999999999999999,3.6542334949645654,2.863157894736842
1.2,3.9644176706827308,3.0748328974135424
1.3,4.274657924743444,3.3169350780070457
1.4,4.626664069095396,3.5561485434734266
1.5,4.994863737990211,3.783705334801321
1.5999999999999999,5.446492545937825,4.052602333765512
1.7,5.9419082465522095,4.363388458831809
1.8,6.4872320389962885,4.70315540140428
1.9,7.120024426802865,5.1027493977905145
2.0,7.834151848715778,5.583298538622129
