rate,pattern,MSE
rate_10,pattern_1,0.26352856977165817
rate_10,pattern_2,0.39429965965153746
rate_10,pattern_3,0.22393940522052827
rate_30,pattern_1,0.6148169637768455
rate_30,pattern_2,0.471510751475382
rate_30,pattern_3,0.3818943253328561
rate_50,pattern_1,0.7774850770481978
rate_50,pattern_2,0.8160758711910198
rate_50,pattern_3,0.6661481741974993
rate_70,pattern_1,1.626685930298826
rate_70,pattern_2,1.4994465421536043
rate_70,pattern_3,1.2470262011292081
rate_90,pattern_1,1.925424919054384
rate_90,pattern_2,2.106836910739825
rate_90,pattern_3,1.8022075847750445
