rate,pattern,MSE
rate_10,pattern_1,0.0014498316121881254
rate_10,pattern_2,0.0011727930844622394
rate_10,pattern_3,0.0013304757998948164
rate_30,pattern_1,0.002180945236964218
rate_30,pattern_2,0.0024012188731791597
rate_30,pattern_3,0.002211903310779478
rate_50,pattern_1,0.00333212625971477
rate_50,pattern_2,0.0036912409834179167
rate_50,pattern_3,0.004027514744414426
rate_70,pattern_1,0.010200150105702821
rate_70,pattern_2,0.00954681536910113
rate_70,pattern_3,0.009071706726649248
rate_90,pattern_1,0.015043549058671182
rate_90,pattern_2,0.01579571237823211
rate_90,pattern_3,0.012906088142033307
