time,data
0,2.53319e-07
1,2.48691e-07
2,2.0672600000000002e-07
3,1.0186600000000001e-07
4,6.844160000000001e-07
5,9.88962e-07
6,1.12048e-06
7,9.444710000000001e-07
8,1.29186e-06
9,7.8777e-07
10,9.90829e-07
11,5.69784e-07
12,7.230150000000001e-07
13,7.058580000000001e-07
14,5.829430000000001e-07
15,3.2443900000000004e-07
16,4.1755200000000003e-07
17,3.66103e-07
18,7.6926e-07
19,4.777760000000001e-07
20,1.42164e-07
21,3.13184e-07
22,1.7374700000000003e-07
23,1.45697e-07
24,2.46955e-07
25,1.19589e-07
26,2.2427700000000002e-07
27,2.88454e-07
28,1.8028100000000002e-07
29,2.4825100000000004e-07
30,4.6920000000000005e-07
31,4.6480600000000004e-07
32,4.6713400000000003e-07
33,2.5641100000000003e-07
34,1.41465e-07
35,2.79724e-07
36,5.96013e-07
37,1.07845e-06
38,8.389169999999999e-07
39,7.21107e-07
40,4.847640000000001e-07
41,4.5516900000000004e-07
42,5.32589e-07
43,3.9535100000000003e-07
44,2.44389e-07
45,2.2370600000000003e-07
46,9.20076e-08
47,3.13234e-07
48,4.03929e-07
49,1.59096e-07
50,2.42634e-07
51,3.71276e-07
52,1.06673e-06
53,8.523930000000001e-07
54,2.86572e-06
55,1.52079e-06
56,1.05676e-06
57,1.31382e-06
58,4.22326e-06
59,3.49431e-06
60,2.42776e-06
61,1.46271e-06
62,1.24151e-06
63,1.1703e-06
64,8.13999e-07
65,2.05142e-06
66,1.53849e-06
67,8.10006e-07
68,1.14657e-06
69,1.06971e-06
70,1.01585e-06
71,8.84899e-07
72,3.1377800000000005e-07
73,3.0509400000000005e-07
74,1.18685e-06
75,2.79973e-07
76,6.971320000000001e-07
77,4.75829e-07
78,6.35823e-07
79,6.218670000000001e-07
80,3.40443e-07
81,7.89838e-07
82,1.63099e-06
83,2.40958e-06
84,1.76138e-06
85,9.335980000000002e-07
86,5.937480000000001e-07
87,1.8170700000000003e-07
88,1.9689400000000002e-07
89,2.58819e-07
90,2.5784600000000004e-07
91,3.64592e-07
92,4.49773e-07
93,5.017220000000001e-07
94,3.0537200000000004e-07
95,3.7324600000000003e-07
96,4.3182900000000005e-07
97,2.54475e-07
98,3.9824900000000003e-07
99,6.396990000000001e-07
100,2.99677e-07
101,1.3977300000000002e-07
102,1.59419e-07
103,1.7906500000000002e-07
104,6.25334e-08
105,2.9249200000000005e-07
106,4.6601700000000006e-07
