time,data
0,2.14113e-07
1,2.81166e-07
2,2.5939e-07
3,1.45349e-07
4,1.9655200000000003e-07
5,1.0408400000000001e-07
6,1.1085e-07
7,1.40159e-07
8,1.22856e-07
9,1.21793e-07
10,1.8753100000000001e-07
11,1.9692400000000002e-07
12,3.59094e-07
13,1.33676e-07
14,1.19531e-07
15,2.0725700000000001e-07
16,1.70532e-07
17,9.04591e-08
18,1.3711700000000002e-07
19,1.1147e-07
20,1.74178e-07
21,1.0118200000000001e-07
22,1.45741e-07
23,2.4124e-07
24,1.5427400000000002e-07
25,1.4047900000000002e-07
26,1.4817900000000002e-07
27,9.23395e-08
28,2.56418e-07
29,1.46323e-07
30,2.13509e-07
31,1.0952500000000001e-07
32,6.24964e-08
33,1.44804e-07
34,1.1349500000000001e-07
35,3.04702e-07
36,1.94649e-07
37,2.70472e-07
38,2.35852e-07
39,1.8283900000000001e-07
40,2.65929e-07
41,2.3203700000000003e-07
42,1.24608e-07
43,1.32877e-07
44,9.43388e-08
45,1.6979300000000002e-07
46,8.04525e-08
47,2.1725300000000002e-07
48,2.3209900000000002e-07
49,1.90396e-07
50,2.6097000000000004e-07
51,1.03136e-07
52,2.1202200000000002e-07
53,1.15965e-07
54,1.2628100000000002e-07
55,9.28294e-08
56,1.23652e-07
57,8.380859999999998e-08
58,8.10997e-08
59,7.09527e-08
60,8.519119999999998e-08
61,5.07385e-08
62,4.2724e-08
63,7.407059999999998e-08
64,7.59052e-08
65,1.0241600000000001e-07
66,2.00626e-07
67,1.08095e-07
68,2.2382200000000003e-07
69,1.31913e-07
70,9.72748e-08
71,4.82943e-08
72,9.96648e-08
73,6.640260000000001e-08
74,1.35569e-07
75,1.99758e-07
76,7.781369999999998e-08
77,8.29293e-08
78,1.52912e-08
79,6.23386e-08
80,3.30297e-08
81,3.5248e-08
82,1.4512500000000002e-07
83,1.0741400000000001e-07
84,9.393170000000001e-08
85,7.37371e-08
86,1.33609e-07
87,5.99748e-08
88,1.4761800000000002e-07
89,6.17472e-08
90,3.09968e-08
91,5.65309e-08
92,8.12793e-08
93,2.0549300000000003e-07
94,1.91306e-07
95,2.3497900000000003e-07
96,1.4196800000000002e-07
97,1.9698500000000001e-07
98,9.69369e-08
99,1.5511100000000002e-07
100,1.0155500000000001e-07
101,4.62889e-08
102,1.6192600000000002e-07
