Data,Run,Original λ,FT Z-score,FT Significance,RS Z-score,RS Significance
1ES1959+650_lc_liner,1,0.714558,4.494,1%,2.013,5%
1ES1959+650_lc_liner,2,0.714558,3.34,1%,2.5,5%
1ES1959+650_lc_liner,3,0.714558,4.31,1%,2.052,5%
1ES1959+650_lc_liner,4,0.714558,3.631,1%,1.988,5%
1ES1959+650_lc_liner,5,0.714558,3.388,1%,1.891,NS
3c273_lc_liner,1,1.870702,3.526,1%,3.364,1%
3c273_lc_liner,2,1.870702,2.685,1%,3.203,1%
3c273_lc_liner,3,1.870702,2.802,1%,3.787,1%
3c273_lc_liner,4,1.870702,3.69,1%,3.405,1%
3c273_lc_liner,5,1.870702,3.621,1%,2.276,5%
3c279_lc_liner,1,1.391538,10.391,1%,2.784,1%
3c279_lc_liner,2,1.391538,8.916,1%,2.998,1%
3c279_lc_liner,3,1.391538,9.063,1%,2.416,5%
3c279_lc_liner,4,1.391538,10.215,1%,2.85,1%
3c279_lc_liner,5,1.391538,9.19,1%,2.756,1%
3c454.3_lc_liner,1,1.394798,0.723,NS,1.263,NS
3c454.3_lc_liner,2,1.394798,0.84,NS,0.869,NS
3c454.3_lc_liner,3,1.394798,0.588,NS,0.808,NS
3c454.3_lc_liner,4,1.394798,0.495,NS,1.032,NS
3c454.3_lc_liner,5,1.394798,0.835,NS,1.086,NS
3c66a_lc_liner,1,0.680544,3.087,1%,1.128,NS
3c66a_lc_liner,2,0.680544,3.308,1%,1.363,NS
3c66a_lc_liner,3,0.680544,2.564,5%,1.149,NS
3c66a_lc_liner,4,0.680544,2.494,5%,0.987,NS
3c66a_lc_liner,5,0.680544,3.686,1%,1.502,NS
4c+21.35_lc_liner,1,2.067917,4.625,1%,4.51,1%
4c+21.35_lc_liner,2,2.067917,4.175,1%,4.602,1%
4c+21.35_lc_liner,3,2.067917,4.786,1%,3.637,1%
4c+21.35_lc_liner,4,2.067917,3.781,1%,4.032,1%
4c+21.35_lc_liner,5,2.067917,4.361,1%,4.332,1%
4c+38.41_lc_liner,1,1.340495,1.795,NS,11.049,1%
4c+38.41_lc_liner,2,1.340495,1.697,NS,9.187,1%
4c+38.41_lc_liner,3,1.340495,1.438,NS,10.522,1%
4c+38.41_lc_liner,4,1.340495,1.46,NS,8.775,1%
4c+38.41_lc_liner,5,1.340495,1.621,NS,8.665,1%
bl_lac_lc_liner,1,0.696209,2.543,5%,4.005,1%
bl_lac_lc_liner,2,0.696209,2.4,5%,3.99,1%
bl_lac_lc_liner,3,0.696209,2.866,1%,4.157,1%
bl_lac_lc_liner,4,0.696209,2.192,5%,3.973,1%
bl_lac_lc_liner,5,0.696209,2.089,5%,4.595,1%
cta102_lc_liner,1,2.379394,4.821,1%,4.92,1%
cta102_lc_liner,2,2.379394,4.394,1%,5.211,1%
cta102_lc_liner,3,2.379394,4.289,1%,5.427,1%
cta102_lc_liner,4,2.379394,4.448,1%,4.54,1%
cta102_lc_liner,5,2.379394,5.974,1%,7.21,1%
mkn421_lc_liner,1,0.544826,0.146,NS,0.356,NS
mkn421_lc_liner,2,0.544826,0.051,NS,0.137,NS
mkn421_lc_liner,3,0.544826,0.261,NS,-0.186,NS
mkn421_lc_liner,4,0.544826,0.253,NS,-0.009,NS
mkn421_lc_liner,5,0.544826,0.281,NS,-0.014,NS
mkn501_lc_liner,1,0.582363,1.488,NS,1.771,NS
mkn501_lc_liner,2,0.582363,2.322,5%,1.548,NS
mkn501_lc_liner,3,0.582363,2.45,5%,1.624,NS
