time,data
0,1.1481100000000001e-07
1,1.5294600000000003e-07
2,1.6921200000000002e-07
3,2.17494e-08
4,1.2951e-07
5,1.22233e-07
6,9.382e-08
7,7.159303166283827e-08
8,5.297754916475247e-08
9,4.51726e-08
10,1.4221e-07
11,5.67713e-08
12,7.33578e-08
13,7.32513e-08
14,1.0352400000000001e-07
15,1.35561e-07
16,1.09871e-07
17,6.79562e-08
18,1.77442e-07
19,1.1593400000000001e-07
20,1.47684e-07
21,1.63604e-07
22,1.0644100000000001e-07
23,1.03019e-07
24,9.192768903036544e-08
25,7.639758895962717e-08
26,6.85314e-08
27,1.1380700000000001e-07
28,8.05088e-08
29,4.72106e-08
30,1.3713900000000002e-07
31,9.88481e-08
32,9.93557e-08
33,1.0371300000000001e-07
34,5.44348e-08
35,1.6132100000000002e-07
36,2.2017000000000002e-07
37,1.3613500000000002e-07
38,6.67239e-08
39,4.45892e-08
40,8.31506e-08
41,1.21712e-07
42,4.11639e-08
43,4.36318e-08
44,3.73813e-08
45,4.68433e-08
46,6.224320148984618e-08
47,8.148333073776949e-08
48,9.920230000000001e-08
49,1.1524704478205593e-07
50,1.3237632689914346e-07
51,1.4959649807202442e-07
52,1.6591391002146083e-07
53,1.8033491446821465e-07
54,1.9186586313304782e-07
55,1.995131077367223e-07
56,2.02283e-07
57,3.53006e-08
58,4.1378e-08
59,4.74554e-08
60,4.69041e-08
61,4.63528e-08
62,4.93385e-08
63,5.30095e-08
64,4.3968300000000003e-08
65,1.0878000000000001e-07
66,1.06498e-07
67,1.4488600000000002e-07
68,1.55965e-07
69,4.28558e-08
70,6.624620000000001e-08
71,1.3667000000000002e-07
72,1.35049e-07
73,9.994644989242612e-08
74,6.62498e-08
75,8.23416e-08
76,1.53605e-07
77,2.82264e-08
78,1.0663500000000001e-07
79,1.0274e-07
80,1.1076200000000001e-07
81,1.4030627667113198e-07
82,1.92642e-07
83,2.79913e-07
84,1.19383e-07
85,1.3753500000000002e-07
86,2.06271e-07
87,1.3648300000000002e-07
88,1.1501133294732149e-07
89,9.29374e-08
90,1.38317e-08
91,6.92364e-08
92,2.1140000000000003e-07
93,1.4824e-07
94,3.1529900000000005e-07
95,2.9050500000000005e-07
96,5.15766e-07
97,3.2767600000000003e-07
98,4.0356900000000003e-07
99,1.2089000000000002e-07
100,8.91603e-08
101,1.2367100000000002e-07
102,1.58417e-07
103,1.65975e-07
104,4.2388100000000004e-07
105,7.14632e-07
106,9.56101e-07
107,5.64928e-07
108,3.4966100000000005e-07
109,2.28054e-07
110,2.77336e-07
111,2.98704e-07
112,3.1296500000000005e-07
113,2.3310200000000002e-07
114,2.1292900000000001e-07
115,1.48164e-07
116,1.95623e-07
117,1.79706e-07
118,2.3618900000000002e-07
119,1.80128e-07
120,2.2337800000000003e-07
121,3.5708800000000003e-07
122,2.6712600000000003e-07
123,3.65321e-07
124,3.28703e-07
125,1.9376800000000002e-07
126,1.44137e-07
127,2.8596300000000003e-07
128,1.90866e-07
129,5.33951e-08
130,3.36017e-08
131,9.63118e-08
132,1.31239e-07
133,1.0967798888888889e-07
134,6.963611111111112e-08
135,4.8075100000000004e-08
136,9.27318e-08
137,4.55609e-08
138,1.90184e-08
139,2.3362360448568323e-08
140,3.43948e-08
141,6.71772e-08
142,7.841280817404426e-08
143,8.56841318647999e-08
144,8.826849999999998e-08
145,4.00012e-08
146,2.49816e-08
147,3.744455639056465e-08
148,5.71178e-08
149,6.80963465992407e-08
150,7.623411649356712e-08
151,8.759602814110998e-08
152,1.08247e-07
153,2.2116100000000003e-07
154,1.6174500000000002e-07
155,4.3598e-08
156,6.0679e-08
157,1.74402e-07
158,5.44085e-08
159,6.807945e-08
160,8.175039999999998e-08
161,6.600485e-08
162,5.02593e-08
163,1.7357500000000002e-07
164,1.69088e-07
165,3.6138e-07
166,2.1321900000000002e-07
167,1.2285200000000002e-07
168,1.41091e-07
169,1.5933e-07
170,4.98731e-08
171,4.65197e-08
172,3.88657e-08
173,4.092249355281207e-08
174,4.643470027434842e-08
175,5.441505925925926e-08
176,6.387630960219478e-08
177,7.383119039780523e-08
178,8.329244074074075e-08
179,9.12727997256516e-08
180,9.678500644718792e-08
181,9.88418e-08
182,9.401311250000001e-08
183,8.339000000000001e-08
184,7.276688749999998e-08
185,6.79382e-08
186,1.6015200000000002e-07
187,1.337193259259259e-07
188,8.463007407407406e-08
189,5.8197400000000003e-08
190,1.20412e-07
191,1.1886400000000001e-07
192,1.0529900000000001e-07
193,7.8487e-08
194,1.0083200000000001e-07
195,5.0661200000000004e-08
196,7.586789999999998e-08
197,1.7565700000000002e-07
198,2.0045400000000003e-07
199,4.48485e-08
200,8.44522e-08
201,3.90464e-07
202,1.0538200000000001e-07
203,8.484389999999999e-09
204,3.63595e-08
205,1.48731e-07
206,1.11353e-07
207,5.32047e-08
208,3.99461e-08
209,2.2641048040600376e-08
210,1.21081e-08
211,1.5090425629962753e-08
212,2.210392667990067e-08
213,3.024838938988826e-08
214,3.66236e-08
215,4.009374160970566e-08
216,4.41041e-08
217,5.477904039131849e-08
218,6.64484e-08
219,7.400536745360531e-08
220,8.145505275528127e-08
221,8.874498622462399e-08
222,9.582269818122961e-08
223,1.0263571894469431e-07
224,1.0913157883461417e-07
225,1.1525780817058539e-07
226,1.209619372722041e-07
227,1.2619149645906644e-07
228,1.3089401605076855e-07
229,1.350170263669065e-07
230,1.3850805772707652e-07
231,1.4131464045087477e-07
232,1.4338430485789734e-07
233,1.4466458126774036e-07
234,1.45103e-07
235,9.96438e-08
236,1.35657e-07
237,4.82081e-08
238,5.68866e-08
239,1.32135e-07
240,6.37618e-08
241,1.32871e-07
242,1.0503400000000001e-07
243,9.01234e-08
244,4.04163e-08
245,1.2338700000000002e-07
246,1.3786100000000002e-07
247,7.14448e-08
248,5.955704431065114e-08
249,5.0941221849482554e-08
250,4.523529723298837e-08
251,4.2077235077662796e-08
252,4.1105e-08
253,4.422624314078754e-08
254,5.1502997392686185e-08
255,5.98048e-08
256,7.084124079988155e-08
257,8.501931959989471e-08
258,9.72546885999605e-08
259,1.0246300000000001e-07
260,3.56333e-08
261,4.190239112863681e-08
262,5.451692670171806e-08
263,6.41878e-08
264,6.916672885383749e-08
265,7.306765331580763e-08
266,7.464479999999998e-08
267,7.345236093072476e-08
268,7.023150893654905e-08
269,6.551694183794777e-08
270,5.984335745539587e-08
271,5.37454536093683e-08
272,4.775792812033998e-08
273,4.241547880878588e-08
274,3.82528034951809e-08
275,3.58046e-08
276,3.442130340166213e-08
277,3.3098391912244523e-08
278,3.1838128052709515e-08
279,3.064277434401947e-08
280,2.951459330713676e-08
281,2.8455847463023726e-08
282,2.7468799332642727e-08
283,2.6555711436956127e-08
284,2.5718846296926266e-08
285,2.4960466433515522e-08
286,2.4282834367686226e-08
287,2.3688212620400754e-08
288,2.317886371262145e-08
289,2.275705016531068e-08
290,2.2425034499430797e-08
291,2.2185079235944143e-08
292,2.2039446895813098e-08
293,2.19904e-08
294,4.6813775e-08
295,1.014252e-07
296,1.5603662499999997e-07
297,1.8086000000000002e-07
298,8.931899999999998e-08
299,1.30677e-07
300,7.569579999999998e-08
301,2.19415e-07
302,1.68828e-07
303,2.29427e-07
304,4.37108e-08
305,2.3106800000000001e-07
306,1.4008100000000002e-07
307,1.40019e-07
308,1.24404e-07
309,1.41121e-07
310,9.49775e-08
311,8.382744788066828e-08
312,7.480722772541797e-08
313,6.776578220823797e-08
314,6.255205400311725e-08
315,5.9014985784044746e-08
316,5.700352022500934e-08
317,5.63666e-08
318,5.639404410894234e-08
319,5.649517573662857e-08
320,5.669819383434745e-08
321,5.703129735338775e-08
322,5.7522685245038254e-08
323,5.820055646058775e-08
324,5.909310995132499e-08
325,6.022854466853876e-08
326,6.163505956351784e-08
327,6.3340853587551e-08
328,6.537412569192702e-08
329,6.776307482793468e-08
330,7.053589994686275e-08
331,7.37208e-08
332,1.6255700000000002e-07
333,1.10069e-07
334,7.059530000000001e-08
335,1.09102e-07
336,1.41563e-07
337,2.1449800000000002e-07
338,1.36399e-07
339,1.56146e-07
340,7.21905e-08
341,6.32639e-08
342,5.70372e-08
343,1.1735900000000001e-07
344,9.02421e-08
345,5.22013e-08
346,8.737914999999998e-08
347,1.22557e-07
348,5.7811800000000004e-08
349,1.91962e-07
350,3.7130400000000005e-07
351,2.60449e-07
352,2.0726500000000002e-07
353,9.35021e-08
354,4.60475e-08
355,1.34505e-07
356,2.63265e-07
357,2.4024600000000005e-07
358,1.95323e-07
359,1.6006200000000002e-07
360,1.23323e-07
361,1.05834e-07
362,1.51995e-07
363,5.0117e-08
364,3.64172e-08
365,9.938010000000001e-08
366,1.0561300000000001e-07
367,2.0596400000000003e-07
368,2.0403900000000002e-07
369,9.69857e-08
370,9.50693e-08
371,7.24473e-08
372,1.09916e-07
373,1.35493e-07
374,1.2581500000000002e-07
375,4.42144e-08
376,1.60096e-08
377,7.23051e-08
378,2.6297600000000004e-07
379,6.51726e-07
380,5.683510000000001e-07
381,2.6139000000000004e-07
382,1.66913e-07
383,2.7375400000000003e-07
384,4.08068e-07
385,1.8651200000000002e-07
386,9.72772e-08
387,1.32854e-07
388,3.14068e-07
389,1.0013100000000001e-07
390,8.56245e-08
391,1.0319200000000002e-07
392,1.4353600000000002e-07
393,2.42982e-07
394,4.2162800000000005e-07
395,2.21094e-07
396,9.62735e-08
397,6.5661e-08
398,9.00235e-08
399,5.80856e-08
400,4.5027858146329977e-08
401,3.96046e-08
402,2.68654e-07
403,2.8330300000000003e-07
404,2.06669e-07
405,1.4043985834946633e-07
406,8.280033473028872e-08
407,5.81623e-08
408,1.03416e-07
409,2.7153e-07
410,1.6003900000000002e-07
411,2.55712e-07
412,1.5801450000000002e-07
413,6.0317e-08
414,2.1978400000000003e-07
415,1.1022600000000001e-07
416,9.147649939576835e-08
417,8.343579999999998e-08
418,8.03221e-08
419,4.33817e-08
420,8.288119999999998e-08
421,9.286107705420449e-08
422,1.0116597393679025e-07
423,1.0790201972582317e-07
424,1.1317534349936913e-07
425,1.1709207433549393e-07
426,1.1975834131226346e-07
427,1.212802735077435e-07
428,1.21764e-07
429,6.623690000000001e-08
430,1.0256000000000001e-07
431,1.1112900000000002e-07
432,2.2552400000000003e-07
433,2.1884900000000003e-07
434,1.89885e-07
435,1.7909100000000003e-07
436,3.7605400000000004e-07
437,3.4984500000000005e-07
438,2.38825e-07
439,1.86427e-07
440,1.276e-07
441,9.19623e-08
442,8.956399999999998e-08
443,1.4670900000000002e-07
444,1.42823e-07
445,2.0122100000000003e-07
446,7.903569999999998e-09
447,8.23646e-08
448,5.47132e-08
449,5.47472879482961e-08
450,5.487782143454756e-08
451,5.514720492079901e-08
452,5.559784286909512e-08
453,5.627213974148056e-08
454,5.7212500000000004e-08
455,1.81624e-07
456,3.93793e-07
457,2.6793000000000004e-07
458,1.8379800000000002e-07
459,1.45112e-07
460,1.8854500000000003e-07
461,1.6559600000000002e-07
462,9.70748e-08
463,2.18017e-07
464,1.2235e-07
465,7.02119e-07
466,8.3335e-07
467,3.2164900000000005e-07
468,1.56017e-07
469,1.8252000000000002e-07
470,1.92171e-07
471,8.730979999999998e-08
472,1.9708800000000002e-07
473,1.89115e-07
474,1.27439e-07
475,1.7157000000000002e-07
476,4.5387900000000006e-07
477,3.78623e-07
478,4.5158100000000005e-07
479,7.909840000000001e-07
480,9.734550000000001e-07
481,1.66806e-06
482,1.37742e-06
483,1.16753e-06
484,1.26666e-06
485,1.06429e-06
486,1.15934e-06
487,1.4556e-06
488,7.752829999999999e-07
489,4.2598900000000004e-07
490,5.150010000000001e-07
491,5.936870000000001e-07
492,5.24965e-07
493,3.4036100000000004e-07
494,2.5878233851824716e-07
495,2.2412300000000003e-07
496,3.7592600000000005e-07
497,4.7507700000000007e-07
498,4.2623800000000003e-07
499,2.9385700000000004e-07
500,3.47832e-07
501,3.999005539268867e-07
502,4.5349837599004277e-07
503,5.21229e-07
504,6.2827e-07
505,3.5523800000000005e-07
506,5.541020000000001e-07
507,5.156680000000001e-07
508,7.133590000000001e-07
509,7.69778e-07
510,6.07377e-07
511,3.8618800000000004e-07
512,2.7984500000000003e-07
513,2.55378e-07
514,1.62018e-07
515,1.4735282815671885e-07
516,1.42429e-07
517,1.44343e-07
518,1.7085100000000003e-07
519,1.38713e-07
520,3.8164800000000003e-07
521,2.5765800000000004e-07
522,1.9386432095926562e-07
523,1.4769232714629944e-07
524,1.29909e-07
525,4.4016000000000005e-07
526,2.0432100000000002e-07
527,1.8380000000000002e-07
528,1.27226e-07
