time,original,missing,interpolated,mask
0,2.13643e-08,2.13643e-08,2.13643e-08,0
1,6.82551e-08,6.82551e-08,6.82551e-08,0
2,4.56022e-09,4.56022e-09,4.56022e-09,0
3,5.306719999999999e-09,5.306719999999999e-09,5.306719999999999e-09,0
4,9.96057e-08,9.96057e-08,9.96057e-08,0
5,6.527785e-08,6.527785e-08,6.527785e-08,0
6,3.095e-08,3.095e-08,3.095e-08,0
7,3.180685e-08,3.180685e-08,3.180685e-08,0
8,3.26637e-08,3.26637e-08,3.26637e-08,0
9,2.754956016686464e-08,2.754956016686464e-08,2.754956016686464e-08,0
10,1.79297e-08,1.79297e-08,1.79297e-08,0
11,6.9592199999999995e-09,6.9592199999999995e-09,6.9592199999999995e-09,0
12,8.945269999999998e-08,8.945269999999998e-08,8.945269999999998e-08,0
13,6.916034814814815e-08,6.916034814814815e-08,6.916034814814815e-08,0
14,3.1474551851851865e-08,3.1474551851851865e-08,3.1474551851851865e-08,0
15,1.11822e-08,1.11822e-08,1.11822e-08,0
16,1.90767e-08,1.90767e-08,1.90767e-08,0
17,2.2922000000000002e-08,2.2922000000000002e-08,2.2922000000000002e-08,0
18,4.25707e-08,4.25707e-08,4.25707e-08,0
19,4.00739e-08,4.00739e-08,4.00739e-08,0
20,4.3102665625000004e-08,4.3102665625000004e-08,4.3102665625000004e-08,0
21,4.976595e-08,4.976595e-08,4.976595e-08,0
22,5.6429234375e-08,5.6429234375e-08,5.6429234375e-08,0
23,5.9458e-08,5.9458e-08,5.9458e-08,0
24,2.88213e-08,2.88213e-08,2.88213e-08,0
25,6.29059e-08,6.29059e-08,6.29059e-08,0
26,4.36474e-08,4.36474e-08,4.36474e-08,0
27,1.68857e-08,1.68857e-08,1.68857e-08,0
28,1.7521898204065186e-08,1.7521898204065186e-08,1.7521898204065186e-08,0
29,1.9734985297019266e-08,1.9734985297019266e-08,1.9734985297019266e-08,0
30,2.39817e-08,2.39817e-08,2.39817e-08,0
31,9.26883e-08,9.26883e-08,9.26883e-08,0
32,4.49664e-08,4.49664e-08,4.49664e-08,0
33,8.29805e-08,8.29805e-08,8.29805e-08,0
34,5.89153e-08,5.89153e-08,5.89153e-08,0
35,1.4049800000000001e-08,1.4049800000000001e-08,1.4049800000000001e-08,0
36,1.748763985764333e-08,1.748763985764333e-08,1.748763985764333e-08,0
37,2.5176901937508883e-08,2.5176901937508883e-08,2.5176901937508883e-08,0
38,3.31812e-08,3.31812e-08,3.31812e-08,0
39,4.04137e-08,4.04137e-08,4.04137e-08,0
40,2.53398e-08,2.53398e-08,2.53398e-08,0
41,7.127230000000001e-08,7.127230000000001e-08,7.127230000000001e-08,0
42,3.57624e-08,3.57624e-08,3.57624e-08,0
43,5.39664e-09,5.39664e-09,5.39664e-09,0
44,1.3326074074074077e-08,1.3326074074074077e-08,1.3326074074074077e-08,0
45,2.805216592592593e-08,2.805216592592593e-08,2.805216592592593e-08,0
46,3.59816e-08,3.59816e-08,3.59816e-08,0
47,2.4132e-08,2.4132e-08,2.4132e-08,0
48,1.5281602201275403e-08,1.5281602201275403e-08,1.5281602201275403e-08,0
49,1.0828700000000001e-08,1.0828700000000001e-08,1.0828700000000001e-08,0
50,2.77349e-08,2.77349e-08,2.77349e-08,0
51,7.0707e-08,7.0707e-08,7.0707e-08,0
52,1.5938e-08,1.5938e-08,1.5938e-08,0
53,2.48378e-08,2.48378e-08,2.48378e-08,0
54,2.3283022398409197e-08,2.3283022398409197e-08,2.3283022398409197e-08,0
55,2.01463e-08,2.01463e-08,2.01463e-08,0
56,1.4648333884309577e-08,1.4648333884309577e-08,1.4648333884309577e-08,0
57,7.752376386599232e-09,7.752376386599232e-09,7.752376386599232e-09,0
58,4.363669999999999e-09,4.363669999999999e-09,4.363669999999999e-09,0
59,1.19521e-08,1.19521e-08,1.19521e-08,0
60,2.0330758124458297e-08,2.0330758124458297e-08,2.0330758124458297e-08,0
61,2.5152e-08,2.5152e-08,2.5152e-08,0
62,1.5329589999999997e-08,1.5329589999999997e-08,1.5329589999999997e-08,0
63,5.50718e-09,5.50718e-09,5.50718e-09,0
64,8.088568353713398e-09,8.088568353713398e-09,8.088568353713398e-09,0
65,1.3873700000000001e-08,1.3873700000000001e-08,1.3873700000000001e-08,0
66,2.9423516260065072e-08,2.9423516260065072e-08,2.9423516260065072e-08,0
67,5.1589141463365855e-08,5.1589141463365855e-08,5.1589141463365855e-08,0
68,6.28673e-08,6.28673e-08,6.28673e-08,0
69,3.9876700000000004e-08,3.9876700000000004e-08,3.9876700000000004e-08,0
70,2.72155e-08,2.72155e-08,2.72155e-08,0
71,4.45248e-09,4.45248e-09,4.45248e-09,0
72,2.70041e-08,2.70041e-08,2.70041e-08,0
73,3.281010331297697e-08,3.281010331297697e-08,3.281010331297697e-08,0
74,3.4952300000000004e-08,3.4952300000000004e-08,3.4952300000000004e-08,0
75,4.341039999999999e-09,4.341039999999999e-09,4.341039999999999e-09,0
76,2.0955e-08,2.0955e-08,2.0955e-08,0
77,2.148591855109652e-08,2.148591855109652e-08,2.148591855109652e-08,0
78,2.1755609275548266e-08,2.1755609275548266e-08,2.1755609275548266e-08,0
79,2.18307e-08,2.18307e-08,2.18307e-08,0
80,2.02008e-08,2.02008e-08,2.02008e-08,0
81,1.53967e-08,1.53967e-08,1.53967e-08,0
82,9.45907e-08,9.45907e-08,9.45907e-08,0
83,5.0270200000000004e-08,5.0270200000000004e-08,5.0270200000000004e-08,0
84,1.36888e-08,1.36888e-08,1.36888e-08,0
85,8.004449999999998e-09,8.004449999999998e-09,8.004449999999998e-09,0
86,6.38385e-09,6.38385e-09,6.38385e-09,0
87,8.509524247966045e-09,8.509524247966045e-09,8.509524247966045e-09,0
88,1.32448e-08,1.32448e-08,1.32448e-08,0
89,2.561022355917147e-08,2.561022355917147e-08,2.561022355917147e-08,0
90,4.310684511291906e-08,4.310684511291906e-08,4.310684511291906e-08,0
91,5.1992800000000004e-08,5.1992800000000004e-08,5.1992800000000004e-08,0
92,2.50903e-08,2.50903e-08,2.50903e-08,0
93,3.02014e-08,3.02014e-08,3.02014e-08,0
94,2.245666274343644e-08,2.245666274343644e-08,2.245666274343644e-08,0
95,1.19259e-08,1.19259e-08,1.19259e-08,0
96,7.679469999999998e-09,7.679469999999998e-09,7.679469999999998e-09,0
97,2.5289e-08,2.5289e-08,2.5289e-08,0
98,1.4927332130608254e-08,1.4927332130608254e-08,1.4927332130608254e-08,0
99,3.4282399999999997e-09,3.4282399999999997e-09,3.4282399999999997e-09,0
100,2.0356199999999996e-09,2.0356199999999996e-09,2.0356199999999996e-09,0
101,1.01503e-08,1.01503e-08,1.01503e-08,0
102,1.557827146663051e-08,1.557827146663051e-08,1.557827146663051e-08,0
103,2.055707989995933e-08,2.055707989995933e-08,2.055707989995933e-08,0
104,2.465182259997289e-08,2.465182259997289e-08,2.465182259997289e-08,0
105,2.7427596866657628e-08,2.7427596866657628e-08,2.7427596866657628e-08,0
106,2.84495e-08,2.84495e-08,2.84495e-08,0
107,2.66786504e-08,2.66786504e-08,2.66786504e-08,0
108,2.24558552e-08,2.24558552e-08,2.24558552e-08,0
109,1.74157448e-08,1.74157448e-08,1.74157448e-08,0
110,1.31929496e-08,1.31929496e-08,1.31929496e-08,0
111,1.14221e-08,1.14221e-08,1.14221e-08,0
112,2.54434e-08,2.54434e-08,2.54434e-08,0
113,1.02504e-07,1.02504e-07,1.02504e-07,0
114,2.35965e-08,2.35965e-08,2.35965e-08,0
115,4.773385000000001e-08,4.773385000000001e-08,4.773385000000001e-08,0
116,7.18712e-08,7.18712e-08,7.18712e-08,0
117,1.78382e-08,1.78382e-08,1.78382e-08,0
118,2.23195e-08,2.23195e-08,2.23195e-08,0
119,1.95581e-08,1.95581e-08,1.95581e-08,0
120,7.80263e-09,7.80263e-09,7.80263e-09,0
121,2.84793e-08,2.84793e-08,2.84793e-08,0
122,2.59334e-08,2.59334e-08,2.59334e-08,0
123,1.5738219042568453e-08,1.5738219042568453e-08,1.5738219042568453e-08,0
124,7.4210999999999995e-09,7.4210999999999995e-09,7.4210999999999995e-09,0
125,2.34189e-08,2.34189e-08,2.34189e-08,0
126,2.2459759375e-08,2.2459759375e-08,2.2459759375e-08,0
127,2.034965e-08,2.034965e-08,2.034965e-08,0
128,1.8239540625e-08,1.8239540625e-08,1.8239540625e-08,0
129,1.72804e-08,1.72804e-08,1.72804e-08,0
130,1.7803259375e-08,1.7803259375e-08,1.7803259375e-08,0
131,1.895355e-08,1.895355e-08,1.895355e-08,0
132,2.0103840625e-08,2.0103840625e-08,2.0103840625e-08,0
133,2.06267e-08,2.06267e-08,2.06267e-08,0
134,1.994955e-08,1.994955e-08,1.994955e-08,0
135,1.92724e-08,1.92724e-08,1.92724e-08,0
