time,original,missing,interpolated,mask
0,2.53319e-07,2.53319e-07,2.53319e-07,0
1,2.48691e-07,2.48691e-07,2.48691e-07,0
2,2.0672600000000002e-07,2.0672600000000002e-07,2.0672600000000002e-07,0
3,1.0186600000000001e-07,1.0186600000000001e-07,1.0186600000000001e-07,0
4,6.844160000000001e-07,6.844160000000001e-07,6.844160000000001e-07,0
5,9.88962e-07,9.88962e-07,9.88962e-07,0
6,1.12048e-06,1.12048e-06,1.12048e-06,0
7,9.444710000000001e-07,9.444710000000001e-07,9.444710000000001e-07,0
8,1.29186e-06,1.29186e-06,1.29186e-06,0
9,7.8777e-07,7.8777e-07,7.8777e-07,0
10,9.90829e-07,9.90829e-07,9.90829e-07,0
11,5.69784e-07,5.69784e-07,5.69784e-07,0
12,7.230150000000001e-07,7.230150000000001e-07,7.230150000000001e-07,0
13,7.058580000000001e-07,7.058580000000001e-07,7.058580000000001e-07,0
14,5.829430000000001e-07,5.829430000000001e-07,5.829430000000001e-07,0
15,3.2443900000000004e-07,3.2443900000000004e-07,3.2443900000000004e-07,0
16,4.1755200000000003e-07,4.1755200000000003e-07,4.1755200000000003e-07,0
17,3.66103e-07,3.66103e-07,3.66103e-07,0
18,7.6926e-07,7.6926e-07,7.6926e-07,0
19,4.777760000000001e-07,4.777760000000001e-07,4.777760000000001e-07,0
20,1.42164e-07,1.42164e-07,1.42164e-07,0
21,3.13184e-07,3.13184e-07,3.13184e-07,0
22,1.7374700000000003e-07,1.7374700000000003e-07,1.7374700000000003e-07,0
23,1.45697e-07,1.45697e-07,1.45697e-07,0
24,2.46955e-07,2.46955e-07,2.46955e-07,0
25,1.19589e-07,1.19589e-07,1.19589e-07,0
26,2.2427700000000002e-07,2.2427700000000002e-07,2.2427700000000002e-07,0
27,2.88454e-07,2.88454e-07,2.88454e-07,0
28,1.8028100000000002e-07,1.8028100000000002e-07,1.8028100000000002e-07,0
29,2.4825100000000004e-07,2.4825100000000004e-07,2.4825100000000004e-07,0
30,4.6920000000000005e-07,4.6920000000000005e-07,4.6920000000000005e-07,0
31,4.6480600000000004e-07,4.6480600000000004e-07,4.6480600000000004e-07,0
32,4.6713400000000003e-07,4.6713400000000003e-07,4.6713400000000003e-07,0
33,2.5641100000000003e-07,2.5641100000000003e-07,2.5641100000000003e-07,0
34,1.41465e-07,1.41465e-07,1.41465e-07,0
35,2.79724e-07,2.79724e-07,2.79724e-07,0
36,5.96013e-07,5.96013e-07,5.96013e-07,0
37,1.07845e-06,1.07845e-06,1.07845e-06,0
38,8.389169999999999e-07,8.389169999999999e-07,8.389169999999999e-07,0
39,7.21107e-07,7.21107e-07,7.21107e-07,0
40,4.847640000000001e-07,4.847640000000001e-07,4.847640000000001e-07,0
41,4.5516900000000004e-07,4.5516900000000004e-07,4.5516900000000004e-07,0
42,5.32589e-07,5.32589e-07,5.32589e-07,0
43,3.9535100000000003e-07,3.9535100000000003e-07,3.9535100000000003e-07,0
44,2.44389e-07,2.44389e-07,2.44389e-07,0
45,2.2370600000000003e-07,2.2370600000000003e-07,2.2370600000000003e-07,0
46,9.20076e-08,9.20076e-08,9.20076e-08,0
47,3.13234e-07,3.13234e-07,3.13234e-07,0
48,4.03929e-07,4.03929e-07,4.03929e-07,0
49,1.59096e-07,1.59096e-07,1.59096e-07,0
50,2.42634e-07,2.42634e-07,2.42634e-07,0
