time,original,missing,interpolated,mask
0,3.79451e-06,3.79451e-06,3.79451e-06,0
1,2.66722e-06,2.66722e-06,2.66722e-06,0
2,2.95565e-06,2.95565e-06,2.95565e-06,0
3,3.42618e-06,3.42618e-06,3.42618e-06,0
4,2.38148e-06,2.38148e-06,2.38148e-06,0
5,4.47676e-06,4.47676e-06,4.47676e-06,0
6,3.60464e-06,3.60464e-06,3.60464e-06,0
7,2.43308e-06,2.43308e-06,2.43308e-06,0
8,2.52095e-06,2.52095e-06,2.52095e-06,0
9,1.82585e-06,1.82585e-06,1.82585e-06,0
10,1.32993e-06,1.32993e-06,1.32993e-06,0
11,1.53962e-06,1.53962e-06,1.53962e-06,0
12,1.23349e-06,1.23349e-06,1.23349e-06,0
13,1.17035e-06,1.17035e-06,1.17035e-06,0
14,1.49116e-06,1.49116e-06,1.49116e-06,0
15,1.65593e-06,1.65593e-06,1.65593e-06,0
16,1.51864e-06,1.51864e-06,1.51864e-06,0
17,1.18664e-06,1.18664e-06,1.18664e-06,0
18,8.953790000000001e-07,8.953790000000001e-07,8.953790000000001e-07,0
19,9.22664e-07,9.22664e-07,9.22664e-07,0
20,6.83282e-07,6.83282e-07,6.83282e-07,0
21,7.249359999999999e-07,7.249359999999999e-07,7.249359999999999e-07,0
22,8.48194e-07,8.48194e-07,8.48194e-07,0
23,7.05882e-07,7.05882e-07,7.05882e-07,0
24,4.6667000000000004e-07,4.6667000000000004e-07,4.6667000000000004e-07,0
25,4.35788e-07,4.35788e-07,4.35788e-07,0
26,3.5578400000000003e-07,3.5578400000000003e-07,3.5578400000000003e-07,0
27,2.30785e-07,2.30785e-07,2.30785e-07,0
28,1.9248700000000002e-07,1.9248700000000002e-07,1.9248700000000002e-07,0
29,1.6148800000000002e-07,1.6148800000000002e-07,1.6148800000000002e-07,0
30,1.46257e-07,1.46257e-07,1.46257e-07,0
31,1.1352368503867281e-07,1.1352368503867281e-07,1.1352368503867281e-07,0
32,9.03376e-08,9.03376e-08,9.03376e-08,0
33,1.5527900000000002e-07,1.5527900000000002e-07,1.5527900000000002e-07,0
34,1.1965e-07,1.1965e-07,1.1965e-07,0
35,2.2286300000000003e-07,2.2286300000000003e-07,2.2286300000000003e-07,0
36,2.4378600000000004e-07,2.4378600000000004e-07,2.4378600000000004e-07,0
37,7.003680000000001e-07,7.003680000000001e-07,7.003680000000001e-07,0
38,8.87288e-07,8.87288e-07,8.87288e-07,0
39,8.143879999999999e-07,8.143879999999999e-07,8.143879999999999e-07,0
40,8.92827e-07,8.92827e-07,8.92827e-07,0
41,7.882319999999999e-07,7.882319999999999e-07,7.882319999999999e-07,0
42,9.374650000000001e-07,9.374650000000001e-07,9.374650000000001e-07,0
43,7.33661e-07,7.33661e-07,7.33661e-07,0
44,4.3419900000000004e-07,4.3419900000000004e-07,4.3419900000000004e-07,0
45,5.14907e-07,5.14907e-07,5.14907e-07,0
46,3.66533e-07,3.66533e-07,3.66533e-07,0
47,3.6570500000000003e-07,3.6570500000000003e-07,3.6570500000000003e-07,0
48,3.4766000000000003e-07,3.4766000000000003e-07,3.4766000000000003e-07,0
49,4.78958e-07,4.78958e-07,4.78958e-07,0
50,4.1597200000000004e-07,4.1597200000000004e-07,4.1597200000000004e-07,0
51,8.56237e-07,8.56237e-07,8.56237e-07,0
52,1.06516e-06,1.06516e-06,1.06516e-06,0
53,1.26508e-06,1.26508e-06,1.26508e-06,0
54,1.54596e-06,1.54596e-06,1.54596e-06,0
55,2.74021e-06,2.74021e-06,2.74021e-06,0
56,2.48973e-06,2.48973e-06,2.48973e-06,0
57,2.69715e-06,2.69715e-06,2.69715e-06,0
58,4.25889e-06,4.25889e-06,4.25889e-06,0
59,2.93568e-06,2.93568e-06,2.93568e-06,0
60,3.37557e-06,3.37557e-06,3.37557e-06,0
61,3.14242e-06,3.14242e-06,3.14242e-06,0
