time,original,missing,interpolated,mask
0,1.6457000000000002e-07,1.6457000000000002e-07,1.6457000000000002e-07,0
1,1.3228000000000002e-07,1.3228000000000002e-07,1.3228000000000002e-07,0
2,1.43962e-07,1.43962e-07,1.43962e-07,0
3,1.0484e-07,1.0484e-07,1.0484e-07,0
4,1.66166e-07,1.66166e-07,1.66166e-07,0
5,2.0298800000000002e-07,2.0298800000000002e-07,2.0298800000000002e-07,0
6,1.3919500000000002e-07,1.3919500000000002e-07,1.3919500000000002e-07,0
7,2.8996000000000004e-07,2.8996000000000004e-07,2.8996000000000004e-07,0
8,3.1984600000000004e-07,3.1984600000000004e-07,3.1984600000000004e-07,0
9,4.3116500000000004e-07,4.3116500000000004e-07,4.3116500000000004e-07,0
10,2.5031600000000003e-07,2.5031600000000003e-07,2.5031600000000003e-07,0
11,1.6454500000000002e-07,1.6454500000000002e-07,1.6454500000000002e-07,0
12,5.39681e-08,5.39681e-08,5.39681e-08,0
13,7.3222e-08,7.3222e-08,7.3222e-08,0
14,1.4269200000000002e-07,1.4269200000000002e-07,1.4269200000000002e-07,0
15,1.62147e-07,1.62147e-07,1.62147e-07,0
16,6.85883e-08,6.85883e-08,6.85883e-08,0
17,9.05175e-08,9.05175e-08,9.05175e-08,0
18,1.8894400000000003e-07,1.8894400000000003e-07,1.8894400000000003e-07,0
19,9.092240000000001e-08,9.092240000000001e-08,9.092240000000001e-08,0
20,1.1084300000000001e-07,1.1084300000000001e-07,1.1084300000000001e-07,0
21,1.03766e-07,1.03766e-07,1.03766e-07,0
22,4.55603e-08,4.55603e-08,4.55603e-08,0
23,1.80032e-07,1.80032e-07,1.80032e-07,0
24,1.0521600000000001e-07,1.0521600000000001e-07,1.0521600000000001e-07,0
25,1.01899e-07,1.01899e-07,1.01899e-07,0
26,9.76306e-08,9.76306e-08,9.76306e-08,0
27,1.31591e-07,1.31591e-07,1.31591e-07,0
28,2.0025700000000002e-07,2.0025700000000002e-07,2.0025700000000002e-07,0
29,1.2586600000000002e-07,1.2586600000000002e-07,1.2586600000000002e-07,0
30,1.3805100000000002e-07,1.3805100000000002e-07,1.3805100000000002e-07,0
31,1.5297620316285365e-07,1.5297620316285365e-07,1.5297620316285365e-07,0
32,1.7395500000000002e-07,1.7395500000000002e-07,1.7395500000000002e-07,0
33,2.15934e-07,2.15934e-07,2.15934e-07,0
34,3.13641e-07,3.13641e-07,3.13641e-07,0
35,2.03887e-07,2.03887e-07,2.03887e-07,0
36,2.3102400000000002e-07,2.3102400000000002e-07,2.3102400000000002e-07,0
37,1.0882400000000001e-07,1.0882400000000001e-07,1.0882400000000001e-07,0
38,1.66683e-07,1.66683e-07,1.66683e-07,0
39,3.0811e-07,3.0811e-07,3.0811e-07,0
40,9.128430000000002e-07,9.128430000000002e-07,9.128430000000002e-07,0
41,2.7582200000000005e-07,2.7582200000000005e-07,2.7582200000000005e-07,0
42,1.9372100000000002e-07,1.9372100000000002e-07,1.9372100000000002e-07,0
43,2.2483400000000001e-07,2.2483400000000001e-07,2.2483400000000001e-07,0
44,1.70258e-07,1.70258e-07,1.70258e-07,0
45,1.14027e-07,1.14027e-07,1.14027e-07,0
46,9.3342e-08,9.3342e-08,9.3342e-08,0
47,1.61242e-07,1.61242e-07,1.61242e-07,0
48,2.96677e-07,2.96677e-07,2.96677e-07,0
49,1.44713e-07,1.44713e-07,1.44713e-07,0
50,8.496259999999998e-08,8.496259999999998e-08,8.496259999999998e-08,0
51,1.44861e-07,1.44861e-07,1.44861e-07,0
52,6.86549e-08,6.86549e-08,6.86549e-08,0
53,1.4834700000000002e-07,1.4834700000000002e-07,1.4834700000000002e-07,0
54,1.1688300000000002e-07,1.1688300000000002e-07,1.1688300000000002e-07,0
55,9.83538e-08,9.83538e-08,9.83538e-08,0
56,1.52282e-07,1.52282e-07,1.52282e-07,0
57,6.9616e-08,6.9616e-08,6.9616e-08,0
58,1.08283e-07,1.08283e-07,1.08283e-07,0
59,7.14719e-08,7.14719e-08,7.14719e-08,0
60,6.1874e-08,6.1874e-08,6.1874e-08,0
61,1.2922700000000002e-07,1.2922700000000002e-07,1.2922700000000002e-07,0
62,1.93011e-07,1.93011e-07,1.93011e-07,0
63,2.0821900000000002e-07,2.0821900000000002e-07,2.0821900000000002e-07,0
64,2.0415500000000002e-07,2.0415500000000002e-07,2.0415500000000002e-07,0
65,2.5294600000000005e-07,2.5294600000000005e-07,2.5294600000000005e-07,0
66,2.32794e-07,2.32794e-07,2.32794e-07,0
67,2.42397e-07,2.42397e-07,2.42397e-07,0
68,1.6972700000000002e-07,1.6972700000000002e-07,1.6972700000000002e-07,0
69,1.21105e-07,1.21105e-07,1.21105e-07,0
