time,original,missing,interpolated,mask
0,4.69106e-08,4.69106e-08,4.69106e-08,0
1,5.222571082563039e-08,5.222571082563039e-08,5.222571082563039e-08,0
2,6.662246609570522e-08,6.662246609570522e-08,6.662246609570522e-08,0
3,8.777799999999998e-08,8.777799999999998e-08,8.777799999999998e-08,0
4,1.38504e-07,1.38504e-07,1.38504e-07,0
5,1.204261345236363e-07,1.204261345236363e-07,1.204261345236363e-07,0
6,8.607411349171703e-08,8.607411349171703e-08,8.607411349171703e-08,0
7,6.52703e-08,6.52703e-08,6.52703e-08,0
8,6.134416207753741e-08,6.134416207753741e-08,6.134416207753741e-08,0
9,5.77360226741694e-08,5.77360226741694e-08,5.77360226741694e-08,0
10,5.4434527266835756e-08,5.4434527266835756e-08,5.4434527266835756e-08,0
11,5.1428321332476216e-08,5.1428321332476216e-08,5.1428321332476216e-08,0
12,4.8706050348030594e-08,4.8706050348030594e-08,4.8706050348030594e-08,0
13,4.625635979043865e-08,4.625635979043865e-08,4.625635979043865e-08,0
14,4.406789513664015e-08,4.406789513664015e-08,4.406789513664015e-08,0
15,4.212930186357488e-08,4.212930186357488e-08,4.212930186357488e-08,0
16,4.042922544818261e-08,4.042922544818261e-08,4.042922544818261e-08,0
17,3.895631136740311e-08,3.895631136740311e-08,3.895631136740311e-08,0
18,3.769920509817617e-08,3.769920509817617e-08,3.769920509817617e-08,0
19,3.664655211744154e-08,3.664655211744154e-08,3.664655211744154e-08,0
20,3.578699790213902e-08,3.578699790213902e-08,3.578699790213902e-08,0
21,3.5109187929208375e-08,3.5109187929208375e-08,3.5109187929208375e-08,0
22,3.4601767675589366e-08,3.4601767675589366e-08,3.4601767675589366e-08,0
23,3.42533826182218e-08,3.42533826182218e-08,3.42533826182218e-08,0
24,3.405267823404541e-08,3.405267823404541e-08,3.405267823404541e-08,0
25,3.39883e-08,3.39883e-08,3.39883e-08,0
26,3.43723e-08,3.43723e-08,3.43723e-08,0
27,4.460577616400407e-08,4.460577616400407e-08,4.460577616400407e-08,0
28,6.225e-08,6.225e-08,6.225e-08,0
29,8.357379759889863e-08,8.357379759889863e-08,8.357379759889863e-08,0
30,9.71487e-08,9.71487e-08,9.71487e-08,0
31,4.74141e-08,4.74141e-08,4.74141e-08,0
32,1.0483766666666669e-07,1.0483766666666669e-07,1.0483766666666669e-07,0
33,2.1148143333333337e-07,2.1148143333333337e-07,2.1148143333333337e-07,0
34,2.68905e-07,2.68905e-07,2.68905e-07,0
35,9.63837e-08,9.63837e-08,9.63837e-08,0
36,1.0663300000000001e-07,1.0663300000000001e-07,1.0663300000000001e-07,0
37,6.43517e-08,6.43517e-08,6.43517e-08,0
38,7.91886e-08,7.91886e-08,7.91886e-08,0
39,2.10963e-07,2.10963e-07,2.10963e-07,0
40,1.00955e-07,1.00955e-07,1.00955e-07,0
41,9.78617e-08,9.78617e-08,9.78617e-08,0
42,1.61173e-07,1.61173e-07,1.61173e-07,0
43,1.56431e-07,1.56431e-07,1.56431e-07,0
44,1.1663600000000001e-07,1.1663600000000001e-07,1.1663600000000001e-07,0
45,1.81758e-07,1.81758e-07,1.81758e-07,0
46,1.8130600000000002e-07,1.8130600000000002e-07,1.8130600000000002e-07,0
47,1.05213e-07,1.05213e-07,1.05213e-07,0
48,3.0829e-07,3.0829e-07,3.0829e-07,0
49,1.0449800000000001e-07,1.0449800000000001e-07,1.0449800000000001e-07,0
50,1.62135e-07,1.62135e-07,1.62135e-07,0
51,2.6276700000000004e-07,2.6276700000000004e-07,2.6276700000000004e-07,0
52,7.66236e-08,7.66236e-08,7.66236e-08,0
53,1.5023100000000002e-07,1.5023100000000002e-07,1.5023100000000002e-07,0
54,1.45346e-07,1.45346e-07,1.45346e-07,0
55,2.90882e-07,2.90882e-07,2.90882e-07,0
56,1.99662e-07,1.99662e-07,1.99662e-07,0
57,9.934100000000002e-07,9.934100000000002e-07,9.934100000000002e-07,0
58,2.50229e-06,2.50229e-06,2.50229e-06,0
59,8.11659e-07,8.11659e-07,8.11659e-07,0
60,2.0763100000000001e-07,2.0763100000000001e-07,2.0763100000000001e-07,0
61,2.83429e-07,2.83429e-07,2.83429e-07,0
62,1.7134300000000003e-07,1.7134300000000003e-07,1.7134300000000003e-07,0
63,3.2086000000000003e-07,3.2086000000000003e-07,3.2086000000000003e-07,0
64,7.521470000000001e-07,7.521470000000001e-07,7.521470000000001e-07,0
65,4.5023500000000006e-07,4.5023500000000006e-07,4.5023500000000006e-07,0
66,6.560710000000001e-07,6.560710000000001e-07,6.560710000000001e-07,0
67,5.375320000000001e-07,5.375320000000001e-07,5.375320000000001e-07,0
68,8.779610000000001e-07,8.779610000000001e-07,8.779610000000001e-07,0
69,1.56081e-06,1.56081e-06,1.56081e-06,0
70,6.23625e-07,6.23625e-07,6.23625e-07,0
71,8.83674e-07,8.83674e-07,8.83674e-07,0
72,6.44531e-07,6.44531e-07,6.44531e-07,0
73,4.49708e-07,4.49708e-07,4.49708e-07,0
74,3.8328800000000004e-07,3.8328800000000004e-07,3.8328800000000004e-07,0
75,3.1039300000000005e-07,3.1039300000000005e-07,3.1039300000000005e-07,0
76,1.5605e-06,1.5605e-06,1.5605e-06,0
77,1.92416e-06,1.92416e-06,1.92416e-06,0
78,8.56705e-07,8.56705e-07,8.56705e-07,0
79,6.667290000000001e-07,6.667290000000001e-07,6.667290000000001e-07,0
80,4.36776e-07,4.36776e-07,4.36776e-07,0
81,3.23686e-07,3.23686e-07,3.23686e-07,0
82,7.807639999999999e-07,7.807639999999999e-07,7.807639999999999e-07,0
83,6.370600000000001e-07,6.370600000000001e-07,6.370600000000001e-07,0
84,5.358410000000001e-07,5.358410000000001e-07,5.358410000000001e-07,0
85,8.620020000000001e-07,8.620020000000001e-07,8.620020000000001e-07,0
86,1.55847e-06,1.55847e-06,1.55847e-06,0
87,3.16871e-06,3.16871e-06,3.16871e-06,0
88,3.83235e-06,3.83235e-06,3.83235e-06,0
89,2.12489e-06,2.12489e-06,2.12489e-06,0
90,1.70446e-06,1.70446e-06,1.70446e-06,0
91,1.66986e-06,1.66986e-06,1.66986e-06,0
92,3.61899e-06,3.61899e-06,3.61899e-06,0
93,1.36959e-06,1.36959e-06,1.36959e-06,0
94,2.99314e-06,2.99314e-06,2.99314e-06,0
95,5.51153e-06,5.51153e-06,5.51153e-06,0
96,2.72703e-06,2.72703e-06,2.72703e-06,0
97,3.67159e-06,3.67159e-06,3.67159e-06,0
98,2.69019e-06,2.69019e-06,2.69019e-06,0
99,1.55844e-06,1.55844e-06,1.55844e-06,0
100,9.866130000000002e-07,9.866130000000002e-07,9.866130000000002e-07,0
101,9.28786e-07,9.28786e-07,9.28786e-07,0
102,1.10272e-06,1.10272e-06,1.10272e-06,0
103,8.855370000000001e-07,8.855370000000001e-07,8.855370000000001e-07,0
104,8.4666e-07,8.4666e-07,8.4666e-07,0
105,8.28997e-07,8.28997e-07,8.28997e-07,0
106,1.17083e-06,1.17083e-06,1.17083e-06,0
107,9.776680000000001e-07,9.776680000000001e-07,9.776680000000001e-07,0
108,7.58331e-07,7.58331e-07,7.58331e-07,0
109,1.12891e-06,1.12891e-06,1.12891e-06,0
110,6.191280000000001e-07,6.191280000000001e-07,6.191280000000001e-07,0
111,1.14956e-06,1.14956e-06,1.14956e-06,0
112,2.26393e-06,2.26393e-06,2.26393e-06,0
113,1.15188e-06,1.15188e-06,1.15188e-06,0
114,9.753600000000002e-07,9.753600000000002e-07,9.753600000000002e-07,0
115,7.506499999999999e-07,7.506499999999999e-07,7.506499999999999e-07,0
116,4.88064e-07,4.88064e-07,4.88064e-07,0
117,7.91124e-07,7.91124e-07,7.91124e-07,0
118,8.998049999999999e-07,8.998049999999999e-07,8.998049999999999e-07,0
119,1.2365e-06,1.2365e-06,1.2365e-06,0
120,9.059010000000001e-07,9.059010000000001e-07,9.059010000000001e-07,0
121,1.28302e-06,1.28302e-06,1.28302e-06,0
122,6.97735e-07,6.97735e-07,6.97735e-07,0
123,7.057620000000001e-07,7.057620000000001e-07,7.057620000000001e-07,0
124,8.24226e-07,8.24226e-07,8.24226e-07,0
125,3.9065500000000005e-07,3.9065500000000005e-07,3.9065500000000005e-07,0
126,6.843000000000001e-07,6.843000000000001e-07,6.843000000000001e-07,0
127,5.0859e-07,5.0859e-07,5.0859e-07,0
128,4.1970100000000006e-07,4.1970100000000006e-07,4.1970100000000006e-07,0
129,4.1451700000000006e-07,4.1451700000000006e-07,4.1451700000000006e-07,0
130,7.070510000000001e-07,7.070510000000001e-07,7.070510000000001e-07,0
131,7.33205e-07,7.33205e-07,7.33205e-07,0
132,6.49693e-07,6.49693e-07,6.49693e-07,0
133,8.421239999999999e-07,8.421239999999999e-07,8.421239999999999e-07,0
134,5.58403e-07,5.58403e-07,5.58403e-07,0
135,3.31824e-07,3.31824e-07,3.31824e-07,0
136,2.0637500000000002e-07,2.0637500000000002e-07,2.0637500000000002e-07,0
137,1.9089600000000002e-07,1.9089600000000002e-07,1.9089600000000002e-07,0
138,2.3185000000000003e-07,2.3185000000000003e-07,2.3185000000000003e-07,0
139,1.61655e-07,1.61655e-07,1.61655e-07,0
140,1.28342e-07,1.28342e-07,1.28342e-07,0
141,3.0228400000000004e-07,3.0228400000000004e-07,3.0228400000000004e-07,0
142,2.1028200000000003e-07,2.1028200000000003e-07,2.1028200000000003e-07,0
143,3.9765100000000004e-07,3.9765100000000004e-07,3.9765100000000004e-07,0
144,3.72273e-07,3.72273e-07,3.72273e-07,0
145,3.34952e-07,3.34952e-07,3.34952e-07,0
146,3.85961e-07,3.85961e-07,3.85961e-07,0
147,1.03578e-07,1.03578e-07,1.03578e-07,0
148,7.768302976591299e-08,7.768302976591299e-08,7.768302976591299e-08,0
149,6.95757e-08,6.95757e-08,6.95757e-08,0
150,2.70052e-07,2.70052e-07,2.70052e-07,0
151,1.9295300000000002e-07,1.9295300000000002e-07,1.9295300000000002e-07,0
152,1.9606400000000003e-07,1.9606400000000003e-07,1.9606400000000003e-07,0
153,1.1441800000000001e-07,1.1441800000000001e-07,1.1441800000000001e-07,0
154,5.676610000000001e-07,5.676610000000001e-07,5.676610000000001e-07,0
155,3.9125e-07,3.9125e-07,3.9125e-07,0
156,1.08949e-07,1.08949e-07,1.08949e-07,0
157,1.72054e-07,1.72054e-07,1.72054e-07,0
158,1.9627300000000003e-07,1.9627300000000003e-07,1.9627300000000003e-07,0
159,4.3665300000000004e-08,4.3665300000000004e-08,4.3665300000000004e-08,0
160,1.24365e-07,1.24365e-07,1.24365e-07,0
161,1.1196200000000001e-07,1.1196200000000001e-07,1.1196200000000001e-07,0
162,1.83834e-07,1.83834e-07,1.83834e-07,0
163,2.30457e-07,2.30457e-07,2.30457e-07,0
164,1.3515100000000002e-07,1.3515100000000002e-07,1.3515100000000002e-07,0
165,8.30997e-08,8.30997e-08,8.30997e-08,0
166,4.15838e-08,4.15838e-08,4.15838e-08,0
167,1.0892900000000001e-07,1.0892900000000001e-07,1.0892900000000001e-07,0
168,9.626438114006729e-08,9.626438114006729e-08,9.626438114006729e-08,0
169,7.01701e-08,7.01701e-08,7.01701e-08,0
170,3.13125e-08,3.13125e-08,3.13125e-08,0
171,1.71984e-07,1.71984e-07,1.71984e-07,0
172,8.6505e-08,8.6505e-08,8.6505e-08,0
173,1.40023e-07,1.40023e-07,1.40023e-07,0
174,1.13175e-08,1.13175e-08,1.13175e-08,0
175,1.75946e-07,1.75946e-07,1.75946e-07,0
176,1.8504300000000002e-07,1.8504300000000002e-07,1.8504300000000002e-07,0
177,1.44412e-07,1.44412e-07,1.44412e-07,0
178,6.45651e-08,6.45651e-08,6.45651e-08,0
179,7.32858e-08,7.32858e-08,7.32858e-08,0
180,7.584990089013826e-08,7.584990089013826e-08,7.584990089013826e-08,0
181,7.93573e-08,7.93573e-08,7.93573e-08,0
182,2.1612e-07,2.1612e-07,2.1612e-07,0
183,1.84931e-07,1.84931e-07,1.84931e-07,0
184,2.7259400000000004e-07,2.7259400000000004e-07,2.7259400000000004e-07,0
185,1.47261e-07,1.47261e-07,1.47261e-07,0
186,1.47686e-07,1.47686e-07,1.47686e-07,0
187,1.8398e-07,1.8398e-07,1.8398e-07,0
188,2.0772400000000001e-07,2.0772400000000001e-07,2.0772400000000001e-07,0
189,1.22677e-07,1.22677e-07,1.22677e-07,0
190,1.8184700000000003e-07,1.8184700000000003e-07,1.8184700000000003e-07,0
191,3.39411e-07,3.39411e-07,3.39411e-07,0
192,8.70919e-08,8.70919e-08,8.70919e-08,0
193,2.89156e-07,2.89156e-07,2.89156e-07,0
194,4.23163e-07,4.23163e-07,4.23163e-07,0
195,3.06997e-07,3.06997e-07,3.06997e-07,0
196,2.9727e-07,2.9727e-07,2.9727e-07,0
197,2.63533e-07,2.63533e-07,2.63533e-07,0
198,2.3221600000000002e-07,2.3221600000000002e-07,2.3221600000000002e-07,0
199,1.7218000000000002e-07,1.7218000000000002e-07,1.7218000000000002e-07,0
200,2.49098e-07,2.49098e-07,2.49098e-07,0
201,3.11661e-07,3.11661e-07,3.11661e-07,0
202,2.8481300000000005e-07,2.8481300000000005e-07,2.8481300000000005e-07,0
