time,original,missing,interpolated,mask
0,1.68179e-07,1.68179e-07,1.68179e-07,0
1,1.43805e-07,1.43805e-07,1.43805e-07,0
2,2.7939e-07,2.7939e-07,2.7939e-07,0
3,1.5982900000000002e-07,1.5982900000000002e-07,1.5982900000000002e-07,0
4,1.4759400000000002e-07,1.4759400000000002e-07,1.4759400000000002e-07,0
5,1.23231e-07,1.23231e-07,1.23231e-07,0
6,1.24594e-07,1.24594e-07,1.24594e-07,0
7,1.7703600000000002e-07,1.7703600000000002e-07,1.7703600000000002e-07,0
8,1.32862e-07,1.32862e-07,1.32862e-07,0
9,1.0769100000000001e-07,1.0769100000000001e-07,1.0769100000000001e-07,0
10,7.24715e-08,7.24715e-08,7.24715e-08,0
11,1.22188e-07,1.22188e-07,1.22188e-07,0
12,8.75765e-08,8.75765e-08,8.75765e-08,0
13,1.51909e-07,1.51909e-07,1.51909e-07,0
14,1.15334e-07,1.15334e-07,1.15334e-07,0
15,8.4354e-08,8.4354e-08,8.4354e-08,0
16,1.77185e-07,1.77185e-07,1.77185e-07,0
17,1.1596800000000001e-07,1.1596800000000001e-07,1.1596800000000001e-07,0
18,1.6822e-07,1.6822e-07,1.6822e-07,0
19,1.7289800000000002e-07,1.7289800000000002e-07,1.7289800000000002e-07,0
20,7.681439999999998e-08,7.681439999999998e-08,7.681439999999998e-08,0
21,1.37122e-07,1.37122e-07,1.37122e-07,0
22,1.086e-07,1.086e-07,1.086e-07,0
23,9.56952e-08,9.56952e-08,9.56952e-08,0
24,1.23821e-07,1.23821e-07,1.23821e-07,0
25,1.0722600000000001e-07,1.0722600000000001e-07,1.0722600000000001e-07,0
26,7.915569999999998e-08,7.915569999999998e-08,7.915569999999998e-08,0
27,1.1614500000000001e-07,1.1614500000000001e-07,1.1614500000000001e-07,0
28,9.49843e-08,9.49843e-08,9.49843e-08,0
29,1.2152300000000002e-07,1.2152300000000002e-07,1.2152300000000002e-07,0
30,1.1463600000000001e-07,1.1463600000000001e-07,1.1463600000000001e-07,0
31,9.56918e-08,9.56918e-08,9.56918e-08,0
32,4.42776e-08,4.42776e-08,4.42776e-08,0
33,8.41743e-08,8.41743e-08,8.41743e-08,0
34,1.00943e-07,1.00943e-07,1.00943e-07,0
35,1.5039700000000002e-07,1.5039700000000002e-07,1.5039700000000002e-07,0
36,1.03426e-07,1.03426e-07,1.03426e-07,0
37,1.3979e-07,1.3979e-07,1.3979e-07,0
38,6.23342e-08,6.23342e-08,6.23342e-08,0
39,1.35096e-07,1.35096e-07,1.35096e-07,0
40,1.77301e-07,1.77301e-07,1.77301e-07,0
41,2.3382500000000002e-07,2.3382500000000002e-07,2.3382500000000002e-07,0
42,1.63698e-07,1.63698e-07,1.63698e-07,0
43,2.2537900000000002e-07,2.2537900000000002e-07,2.2537900000000002e-07,0
44,1.3732300000000002e-07,1.3732300000000002e-07,1.3732300000000002e-07,0
45,1.4082400000000002e-07,1.4082400000000002e-07,1.4082400000000002e-07,0
46,1.4946400000000002e-07,1.4946400000000002e-07,1.4946400000000002e-07,0
47,1.65371e-07,1.65371e-07,1.65371e-07,0
