time,original,missing,interpolated,mask
0,2.44717e-06,2.44717e-06,2.44717e-06,0
1,7.606050000000001e-07,7.606050000000001e-07,7.606050000000001e-07,0
2,7.54902e-07,7.54902e-07,7.54902e-07,0
3,1.01533e-06,1.01533e-06,1.01533e-06,0
4,8.92601e-07,8.92601e-07,8.92601e-07,0
5,6.305670000000001e-07,6.305670000000001e-07,6.305670000000001e-07,0
6,5.713400000000001e-07,5.713400000000001e-07,5.713400000000001e-07,0
7,3.55975e-07,3.55975e-07,3.55975e-07,0
8,2.3988e-07,2.3988e-07,2.3988e-07,0
9,4.1887400000000005e-07,4.1887400000000005e-07,4.1887400000000005e-07,0
10,8.132300000000001e-07,8.132300000000001e-07,8.132300000000001e-07,0
11,6.78487e-07,6.78487e-07,6.78487e-07,0
12,1.13712e-06,1.13712e-06,1.13712e-06,0
13,5.949820000000001e-07,5.949820000000001e-07,5.949820000000001e-07,0
14,5.00289e-07,5.00289e-07,5.00289e-07,0
15,5.37457e-07,5.37457e-07,5.37457e-07,0
16,1.4122e-06,1.4122e-06,1.4122e-06,0
17,1.55889e-06,1.55889e-06,1.55889e-06,0
18,1.39409e-06,1.39409e-06,1.39409e-06,0
19,8.6305e-07,8.6305e-07,8.6305e-07,0
20,9.045990000000001e-07,9.045990000000001e-07,9.045990000000001e-07,0
21,1.26425e-06,1.26425e-06,1.26425e-06,0
22,1.20242e-06,1.20242e-06,1.20242e-06,0
23,7.55531e-07,7.55531e-07,7.55531e-07,0
24,1.2494e-06,1.2494e-06,1.2494e-06,0
25,1.12964e-06,1.12964e-06,1.12964e-06,0
26,1.17283e-06,1.17283e-06,1.17283e-06,0
27,1.71365e-06,1.71365e-06,1.71365e-06,0
28,1.21946e-06,1.21946e-06,1.21946e-06,0
29,1.11754e-06,1.11754e-06,1.11754e-06,0
30,1.13941e-06,1.13941e-06,1.13941e-06,0
31,1.28961e-06,1.28961e-06,1.28961e-06,0
32,1.12769e-06,1.12769e-06,1.12769e-06,0
33,1.17113e-06,1.17113e-06,1.17113e-06,0
34,9.43016e-07,9.43016e-07,9.43016e-07,0
35,1.20568e-06,1.20568e-06,1.20568e-06,0
36,1.16394e-06,1.16394e-06,1.16394e-06,0
37,1.3683e-06,1.3683e-06,1.3683e-06,0
38,1.60021e-06,1.60021e-06,1.60021e-06,0
39,1.38045e-06,1.38045e-06,1.38045e-06,0
40,9.7828e-07,9.7828e-07,9.7828e-07,0
41,8.83944e-07,8.83944e-07,8.83944e-07,0
42,8.601560000000001e-07,8.601560000000001e-07,8.601560000000001e-07,0
43,5.158030000000001e-07,5.158030000000001e-07,5.158030000000001e-07,0
44,9.427650000000001e-07,9.427650000000001e-07,9.427650000000001e-07,0
45,7.01506e-07,7.01506e-07,7.01506e-07,0
46,5.776600000000002e-07,5.776600000000002e-07,5.776600000000002e-07,0
47,5.27568e-07,5.27568e-07,5.27568e-07,0
48,5.60583e-07,5.60583e-07,5.60583e-07,0
49,4.897080000000001e-07,4.897080000000001e-07,4.897080000000001e-07,0
50,3.28414e-07,3.28414e-07,3.28414e-07,0
51,4.7120800000000005e-07,4.7120800000000005e-07,4.7120800000000005e-07,0
52,5.314410000000001e-07,5.314410000000001e-07,5.314410000000001e-07,0
53,5.833880000000001e-07,5.833880000000001e-07,5.833880000000001e-07,0
54,5.85687e-07,5.85687e-07,5.85687e-07,0
55,5.416090000000001e-07,5.416090000000001e-07,5.416090000000001e-07,0
56,5.360820000000001e-07,5.360820000000001e-07,5.360820000000001e-07,0
57,2.9648e-07,2.9648e-07,2.9648e-07,0
58,5.154340000000001e-07,5.154340000000001e-07,5.154340000000001e-07,0
59,3.0070000000000004e-07,3.0070000000000004e-07,3.0070000000000004e-07,0
60,3.08999e-07,3.08999e-07,3.08999e-07,0
61,3.2108100000000004e-07,3.2108100000000004e-07,3.2108100000000004e-07,0
62,2.79398e-07,2.79398e-07,2.79398e-07,0
63,2.60179e-07,2.60179e-07,2.60179e-07,0
64,1.68951e-07,1.68951e-07,1.68951e-07,0
65,2.0729100000000003e-07,2.0729100000000003e-07,2.0729100000000003e-07,0
66,4.3086000000000003e-07,4.3086000000000003e-07,4.3086000000000003e-07,0
67,4.4033600000000003e-07,4.4033600000000003e-07,4.4033600000000003e-07,0
68,2.66007e-07,2.66007e-07,2.66007e-07,0
69,2.2643300000000003e-07,2.2643300000000003e-07,2.2643300000000003e-07,0
70,2.0971300000000002e-07,2.0971300000000002e-07,2.0971300000000002e-07,0
71,7.15332e-08,7.15332e-08,7.15332e-08,0
72,1.8559600000000002e-07,1.8559600000000002e-07,1.8559600000000002e-07,0
73,2.2892700000000002e-07,2.2892700000000002e-07,2.2892700000000002e-07,0
74,3.8442300000000003e-07,3.8442300000000003e-07,3.8442300000000003e-07,0
75,1.7967500000000003e-07,1.7967500000000003e-07,1.7967500000000003e-07,0
76,2.39635e-07,2.39635e-07,2.39635e-07,0
77,9.41452e-08,9.41452e-08,9.41452e-08,0
78,1.8540700000000001e-07,1.8540700000000001e-07,1.8540700000000001e-07,0
79,1.25224e-07,1.25224e-07,1.25224e-07,0
