time,original,missing,interpolated,mask
0,2.14113e-07,2.14113e-07,2.14113e-07,0
1,2.81166e-07,2.81166e-07,2.81166e-07,0
2,2.5939e-07,2.5939e-07,2.5939e-07,0
3,1.45349e-07,1.45349e-07,1.45349e-07,0
4,1.9655200000000003e-07,1.9655200000000003e-07,1.9655200000000003e-07,0
5,1.0408400000000001e-07,1.0408400000000001e-07,1.0408400000000001e-07,0
6,1.1085e-07,1.1085e-07,1.1085e-07,0
7,1.40159e-07,1.40159e-07,1.40159e-07,0
8,1.22856e-07,1.22856e-07,1.22856e-07,0
9,1.21793e-07,1.21793e-07,1.21793e-07,0
10,1.8753100000000001e-07,1.8753100000000001e-07,1.8753100000000001e-07,0
11,1.9692400000000002e-07,1.9692400000000002e-07,1.9692400000000002e-07,0
12,3.59094e-07,3.59094e-07,3.59094e-07,0
13,1.33676e-07,1.33676e-07,1.33676e-07,0
14,1.19531e-07,1.19531e-07,1.19531e-07,0
15,2.0725700000000001e-07,2.0725700000000001e-07,2.0725700000000001e-07,0
16,1.70532e-07,1.70532e-07,1.70532e-07,0
17,9.04591e-08,9.04591e-08,9.04591e-08,0
18,1.3711700000000002e-07,1.3711700000000002e-07,1.3711700000000002e-07,0
19,1.1147e-07,1.1147e-07,1.1147e-07,0
20,1.74178e-07,1.74178e-07,1.74178e-07,0
21,1.0118200000000001e-07,1.0118200000000001e-07,1.0118200000000001e-07,0
22,1.45741e-07,1.45741e-07,1.45741e-07,0
23,2.4124e-07,2.4124e-07,2.4124e-07,0
24,1.5427400000000002e-07,1.5427400000000002e-07,1.5427400000000002e-07,0
25,1.4047900000000002e-07,1.4047900000000002e-07,1.4047900000000002e-07,0
26,1.4817900000000002e-07,1.4817900000000002e-07,1.4817900000000002e-07,0
27,9.23395e-08,9.23395e-08,9.23395e-08,0
28,2.56418e-07,2.56418e-07,2.56418e-07,0
29,1.46323e-07,1.46323e-07,1.46323e-07,0
30,2.13509e-07,2.13509e-07,2.13509e-07,0
31,1.0952500000000001e-07,1.0952500000000001e-07,1.0952500000000001e-07,0
32,6.24964e-08,6.24964e-08,6.24964e-08,0
33,1.44804e-07,1.44804e-07,1.44804e-07,0
34,1.1349500000000001e-07,1.1349500000000001e-07,1.1349500000000001e-07,0
35,3.04702e-07,3.04702e-07,3.04702e-07,0
36,1.94649e-07,1.94649e-07,1.94649e-07,0
37,2.70472e-07,2.70472e-07,2.70472e-07,0
38,2.35852e-07,2.35852e-07,2.35852e-07,0
39,1.8283900000000001e-07,1.8283900000000001e-07,1.8283900000000001e-07,0
40,2.65929e-07,2.65929e-07,2.65929e-07,0
41,2.3203700000000003e-07,2.3203700000000003e-07,2.3203700000000003e-07,0
42,1.24608e-07,1.24608e-07,1.24608e-07,0
43,1.32877e-07,1.32877e-07,1.32877e-07,0
44,9.43388e-08,9.43388e-08,9.43388e-08,0
45,1.6979300000000002e-07,1.6979300000000002e-07,1.6979300000000002e-07,0
46,8.04525e-08,8.04525e-08,8.04525e-08,0
47,2.1725300000000002e-07,2.1725300000000002e-07,2.1725300000000002e-07,0
48,2.3209900000000002e-07,2.3209900000000002e-07,2.3209900000000002e-07,0
49,1.90396e-07,1.90396e-07,1.90396e-07,0
50,2.6097000000000004e-07,2.6097000000000004e-07,2.6097000000000004e-07,0
51,1.03136e-07,1.03136e-07,1.03136e-07,0
52,2.1202200000000002e-07,2.1202200000000002e-07,2.1202200000000002e-07,0
53,1.15965e-07,1.15965e-07,1.15965e-07,0
54,1.2628100000000002e-07,1.2628100000000002e-07,1.2628100000000002e-07,0
55,9.28294e-08,9.28294e-08,9.28294e-08,0
56,1.23652e-07,1.23652e-07,1.23652e-07,0
57,8.380859999999998e-08,8.380859999999998e-08,8.380859999999998e-08,0
58,8.10997e-08,8.10997e-08,8.10997e-08,0
59,7.09527e-08,7.09527e-08,7.09527e-08,0
60,8.519119999999998e-08,8.519119999999998e-08,8.519119999999998e-08,0
61,5.07385e-08,5.07385e-08,5.07385e-08,0
62,4.2724e-08,4.2724e-08,4.2724e-08,0
63,7.407059999999998e-08,7.407059999999998e-08,7.407059999999998e-08,0
64,7.59052e-08,7.59052e-08,7.59052e-08,0
65,1.0241600000000001e-07,1.0241600000000001e-07,1.0241600000000001e-07,0
66,2.00626e-07,2.00626e-07,2.00626e-07,0
67,1.08095e-07,1.08095e-07,1.08095e-07,0
68,2.2382200000000003e-07,2.2382200000000003e-07,2.2382200000000003e-07,0
69,1.31913e-07,1.31913e-07,1.31913e-07,0
70,9.72748e-08,9.72748e-08,9.72748e-08,0
71,4.82943e-08,4.82943e-08,4.82943e-08,0
72,9.96648e-08,9.96648e-08,9.96648e-08,0
73,6.640260000000001e-08,6.640260000000001e-08,6.640260000000001e-08,0
74,1.35569e-07,1.35569e-07,1.35569e-07,0
75,1.99758e-07,1.99758e-07,1.99758e-07,0
76,7.781369999999998e-08,7.781369999999998e-08,7.781369999999998e-08,0
