time,original,missing,interpolated,mask
0,5.74276e-08,5.74276e-08,5.74276e-08,0
1,1.35686e-07,1.35686e-07,1.35686e-07,0
2,1.40636e-07,1.40636e-07,1.40636e-07,0
3,1.0433100000000001e-07,1.0433100000000001e-07,1.0433100000000001e-07,0
4,2.11292e-07,2.11292e-07,2.11292e-07,0
5,8.878e-08,8.878e-08,8.878e-08,0
6,1.60091e-07,1.60091e-07,1.60091e-07,0
7,7.94026e-08,7.94026e-08,7.94026e-08,0
8,2.7186700000000003e-07,2.7186700000000003e-07,2.7186700000000003e-07,0
9,1.6116300000000003e-07,1.6116300000000003e-07,1.6116300000000003e-07,0
10,1.52975e-07,1.52975e-07,1.52975e-07,0
11,1.21697e-07,1.21697e-07,1.21697e-07,0
12,6.05947e-08,6.05947e-08,6.05947e-08,0
13,6.09573e-08,6.09573e-08,6.09573e-08,0
14,1.29117e-07,1.29117e-07,1.29117e-07,0
15,7.50567e-08,7.50567e-08,7.50567e-08,0
16,1.60678e-07,1.60678e-07,1.60678e-07,0
17,1.4572700000000002e-07,1.4572700000000002e-07,1.4572700000000002e-07,0
18,1.28436e-07,1.28436e-07,1.28436e-07,0
19,1.4815800000000002e-07,1.4815800000000002e-07,1.4815800000000002e-07,0
20,1.82446e-08,1.82446e-08,1.82446e-08,0
21,3.42435e-08,3.42435e-08,3.42435e-08,0
22,4.344508084762057e-08,4.344508084762057e-08,4.344508084762057e-08,0
23,5.02736e-08,5.02736e-08,5.02736e-08,0
24,5.710803012330693e-08,5.710803012330693e-08,5.710803012330693e-08,0
25,6.07708e-08,6.07708e-08,6.07708e-08,0
26,5.061229999999999e-08,5.061229999999999e-08,5.061229999999999e-08,0
27,4.04538e-08,4.04538e-08,4.04538e-08,0
28,4.26396e-08,4.26396e-08,4.26396e-08,0
29,6.0757e-08,6.0757e-08,6.0757e-08,0
30,2.98887e-08,2.98887e-08,2.98887e-08,0
31,7.930834999999998e-08,7.930834999999998e-08,7.930834999999998e-08,0
32,1.28728e-07,1.28728e-07,1.28728e-07,0
33,8.993340000000002e-08,8.993340000000002e-08,8.993340000000002e-08,0
34,5.11388e-08,5.11388e-08,5.11388e-08,0
35,1.2302240000000002e-07,1.2302240000000002e-07,1.2302240000000002e-07,0
36,1.94906e-07,1.94906e-07,1.94906e-07,0
37,1.4662000000000003e-07,1.4662000000000003e-07,1.4662000000000003e-07,0
38,1.7729100000000002e-07,1.7729100000000002e-07,1.7729100000000002e-07,0
39,1.63783e-07,1.63783e-07,1.63783e-07,0
40,2.0244900000000002e-07,2.0244900000000002e-07,2.0244900000000002e-07,0
41,3.2461000000000005e-07,3.2461000000000005e-07,3.2461000000000005e-07,0
42,2.4772700000000003e-07,2.4772700000000003e-07,2.4772700000000003e-07,0
43,2.1833300000000003e-07,2.1833300000000003e-07,2.1833300000000003e-07,0
44,2.9135e-07,2.9135e-07,2.9135e-07,0
45,2.35548e-07,2.35548e-07,2.35548e-07,0
46,1.53076e-07,1.53076e-07,1.53076e-07,0
47,1.6669000000000002e-07,1.6669000000000002e-07,1.6669000000000002e-07,0
48,2.6537700000000003e-07,2.6537700000000003e-07,2.6537700000000003e-07,0
49,2.84202e-07,2.84202e-07,2.84202e-07,0
50,2.2348000000000001e-07,2.2348000000000001e-07,2.2348000000000001e-07,0
51,3.7999500000000004e-07,3.7999500000000004e-07,3.7999500000000004e-07,0
52,3.0703700000000005e-07,3.0703700000000005e-07,3.0703700000000005e-07,0
53,3.3587900000000004e-07,3.3587900000000004e-07,3.3587900000000004e-07,0
54,3.0903700000000004e-07,3.0903700000000004e-07,3.0903700000000004e-07,0
55,3.63631e-07,3.63631e-07,3.63631e-07,0
56,2.25738e-07,2.25738e-07,2.25738e-07,0
57,1.7324e-07,1.7324e-07,1.7324e-07,0
58,2.3169800000000001e-07,2.3169800000000001e-07,2.3169800000000001e-07,0
59,2.1136900000000002e-07,2.1136900000000002e-07,2.1136900000000002e-07,0
60,3.2795800000000003e-07,3.2795800000000003e-07,3.2795800000000003e-07,0
61,4.08536e-07,4.08536e-07,4.08536e-07,0
62,2.3485800000000002e-07,2.3485800000000002e-07,2.3485800000000002e-07,0
63,2.2658500000000001e-07,2.2658500000000001e-07,2.2658500000000001e-07,0
64,2.08376e-07,2.08376e-07,2.08376e-07,0
65,9.822950000000001e-08,9.822950000000001e-08,9.822950000000001e-08,0
66,1.0672375e-07,1.0672375e-07,1.0672375e-07,0
67,1.15218e-07,1.15218e-07,1.15218e-07,0
68,7.02678e-08,7.02678e-08,7.02678e-08,0
69,2.20643e-08,2.20643e-08,2.20643e-08,0
70,4.53226e-08,4.53226e-08,4.53226e-08,0
71,8.45978e-08,8.45978e-08,8.45978e-08,0
72,2.96765e-08,2.96765e-08,2.96765e-08,0
73,4.4718000000000004e-08,4.4718000000000004e-08,4.4718000000000004e-08,0
74,9.17617e-08,9.17617e-08,9.17617e-08,0
75,1.1909800000000001e-07,1.1909800000000001e-07,1.1909800000000001e-07,0
76,8.37962e-08,8.37962e-08,8.37962e-08,0
77,1.67453e-07,1.67453e-07,1.67453e-07,0
78,1.52487e-07,1.52487e-07,1.52487e-07,0
79,1.56617e-07,1.56617e-07,1.56617e-07,0
80,1.5441100000000002e-07,1.5441100000000002e-07,1.5441100000000002e-07,0
81,3.18769e-07,3.18769e-07,3.18769e-07,0
