Data,Run,Original λ,PPS Mean,PPS Std,PPS Z-score,PPS Significance,P-value
1ES1959+650_lc_liner,1,0.714558,0.613068,0.07604,1.335,NS,0.125
1ES1959+650_lc_liner,2,0.714558,0.620177,0.08373,1.127,NS,0.175
1ES1959+650_lc_liner,3,0.714558,0.603573,0.077349,1.435,NS,0.05
1ES1959+650_lc_liner,4,0.714558,0.626886,0.091951,0.953,NS,0.2
1ES1959+650_lc_liner,5,0.714558,0.615086,0.089036,1.117,NS,0.15
3c273_lc_liner,1,1.870702,0.598844,0.22285,5.707,1%,0.025
3c273_lc_liner,2,1.870702,0.587569,0.208526,6.153,1%,0.025
3c273_lc_liner,3,1.870702,0.567348,0.223725,5.826,1%,0.025
3c273_lc_liner,4,1.870702,0.535717,0.184748,7.226,1%,0.025
3c273_lc_liner,5,1.870702,0.569252,0.197417,6.592,1%,0.025
3c279_lc_liner,1,1.567747,0.600534,0.182364,5.304,1%,0.025
3c279_lc_liner,2,1.567747,0.692698,0.217798,4.018,1%,0.025
3c279_lc_liner,3,1.567747,0.685035,0.204001,4.327,1%,0.025
3c279_lc_liner,4,1.567747,0.704457,0.238083,3.626,1%,0.025
3c279_lc_liner,5,1.567747,0.684936,0.229914,3.84,1%,0.025
3c454.3_lc_liner,1,1.394798,0.982938,0.371274,1.109,NS,0.125
3c454.3_lc_liner,2,1.394798,0.992154,0.421793,0.955,NS,0.175
3c454.3_lc_liner,3,1.394798,1.042168,0.396201,0.89,NS,0.175
3c454.3_lc_liner,4,1.394798,0.970408,0.438601,0.968,NS,0.125
3c454.3_lc_liner,5,1.394798,0.930329,0.348741,1.332,NS,0.1
3c66a_lc_liner,1,0.680544,0.505217,0.080591,2.176,5%,0.075
3c66a_lc_liner,2,0.680544,0.556682,0.111825,1.108,NS,0.15
3c66a_lc_liner,3,0.680544,0.51868,0.082947,1.951,NS,0.075
3c66a_lc_liner,4,0.680544,0.527554,0.087446,1.75,NS,0.1
3c66a_lc_liner,5,0.680544,0.519166,0.067242,2.4,5%,0.05
4c+21.35_lc_liner,1,2.137789,1.084607,0.26011,4.049,1%,0.025
4c+21.35_lc_liner,2,2.137789,1.0788,0.329164,3.217,1%,0.025
4c+21.35_lc_liner,3,2.137789,1.127093,0.404662,2.498,5%,0.05
4c+21.35_lc_liner,4,2.137789,1.091293,0.307379,3.405,1%,0.025
4c+21.35_lc_liner,5,2.137789,1.129426,0.260303,3.874,1%,0.025
4c+38.41_lc_liner,1,1.340495,0.600374,0.166299,4.451,1%,0.025
4c+38.41_lc_liner,2,1.340495,0.563867,0.131737,5.895,1%,0.025
4c+38.41_lc_liner,3,1.340495,0.56352,0.137076,5.668,1%,0.025
4c+38.41_lc_liner,4,1.340495,0.575283,0.149361,5.123,1%,0.025
4c+38.41_lc_liner,5,1.340495,0.578019,0.1248,6.11,1%,0.025
bl_lac_lc_liner,1,0.696209,0.537445,0.058947,2.693,1%,0.05
bl_lac_lc_liner,2,0.696209,0.529639,0.064747,2.573,5%,0.05
bl_lac_lc_liner,3,0.696209,0.532866,0.065658,2.488,5%,0.025
bl_lac_lc_liner,4,0.696209,0.536486,0.065938,2.422,5%,0.025
bl_lac_lc_liner,5,0.696209,0.535646,0.064653,2.483,5%,0.025
cta102_lc_liner,1,2.379394,0.771411,0.310225,5.183,1%,0.025
cta102_lc_liner,2,2.379394,0.6964,0.327782,5.134,1%,0.025
cta102_lc_liner,3,2.379394,0.715746,0.293214,5.674,1%,0.025
cta102_lc_liner,4,2.379394,0.745882,0.291782,5.598,1%,0.025
cta102_lc_liner,5,2.379394,0.715506,0.268664,6.193,1%,0.025
mkn421_lc_liner,1,0.544826,0.495209,0.051632,0.961,NS,0.175
mkn421_lc_liner,2,0.544826,0.479258,0.042634,1.538,NS,0.05
mkn421_lc_liner,3,0.544826,0.492628,0.042722,1.222,NS,0.2
mkn421_lc_liner,4,0.544826,0.484778,0.044836,1.339,NS,0.1
mkn421_lc_liner,5,0.544826,0.504151,0.053498,0.76,NS,0.25
mkn501_lc_liner,1,0.582363,0.509436,0.066426,1.098,NS,0.175
mkn501_lc_liner,2,0.582363,0.51153,0.057866,1.224,NS,0.15
mkn501_lc_liner,3,0.582363,0.496112,0.042721,2.019,5%,0.1
mkn501_lc_liner,4,0.582363,0.501907,0.051355,1.567,NS,0.125
mkn501_lc_liner,5,0.582363,0.507729,0.04346,1.717,NS,0.075
pks0235+164_lc_liner,1,0.779802,0.456423,0.259403,1.247,NS,0.125
pks0235+164_lc_liner,2,0.779802,0.40943,0.26025,1.423,NS,0.075
pks0235+164_lc_liner,3,0.779802,0.365443,0.226505,1.829,NS,0.05
pks0235+164_lc_liner,4,0.779802,0.437364,0.193866,1.766,NS,0.025
pks0235+164_lc_liner,5,0.779802,0.48646,0.220554,1.33,NS,0.075
pks0454-234_lc_liner,1,1.268032,0.45832,0.129025,6.276,1%,0.025
pks0454-234_lc_liner,2,1.268032,0.480148,0.108952,7.231,1%,0.025
pks0454-234_lc_liner,3,1.268032,0.447958,0.133003,6.166,1%,0.025
pks0454-234_lc_liner,4,1.268032,0.462425,0.112452,7.164,1%,0.025
pks0454-234_lc_liner,5,1.268032,0.469522,0.149099,5.356,1%,0.025
pks1424-41_lc_liner,1,1.175777,0.386318,0.073279,10.773,1%,0.025
pks1424-41_lc_liner,2,1.175777,0.417173,0.103859,7.304,1%,0.025
pks1424-41_lc_liner,3,1.175777,0.388999,0.081882,9.609,1%,0.025
pks1424-41_lc_liner,4,1.175777,0.433252,0.096233,7.716,1%,0.025
pks1424-41_lc_liner,5,1.175777,0.384501,0.083162,9.515,1%,0.025
pks1502+106_lc_liner,1,1.418566,0.508334,0.180373,5.046,1%,0.025
pks1502+106_lc_liner,2,1.418566,0.538037,0.21195,4.154,1%,0.025
pks1502+106_lc_liner,3,1.418566,0.534339,0.195629,4.52,1%,0.025
pks1502+106_lc_liner,4,1.418566,0.523753,0.148197,6.038,1%,0.025
pks1502+106_lc_liner,5,1.418566,0.523676,0.181373,4.934,1%,0.025
pks2155-304_lc_liner,1,0.600295,0.455381,0.072956,1.986,5%,0.1
pks2155-304_lc_liner,2,0.600295,0.44292,0.064555,2.438,5%,0.025
pks2155-304_lc_liner,3,0.600295,0.443194,0.070992,2.213,5%,0.05
pks2155-304_lc_liner,4,0.600295,0.445613,0.074501,2.076,5%,0.05
pks2155-304_lc_liner,5,0.600295,0.471241,0.078549,1.643,NS,0.075
s5_0716+71_lc_liner,1,0.845017,0.43941,0.060783,6.673,1%,0.025
s5_0716+71_lc_liner,2,0.845017,0.438284,0.064882,6.269,1%,0.025
s5_0716+71_lc_liner,3,0.845017,0.42771,0.066395,6.285,1%,0.025
s5_0716+71_lc_liner,4,0.845017,0.433647,0.066739,6.164,1%,0.025
s5_0716+71_lc_liner,5,0.845017,0.436407,0.075407,5.419,1%,0.025
ton599_lc_liner,1,1.66166,0.514629,0.156988,7.306,1%,0.025
ton599_lc_liner,2,1.66166,0.521725,0.158635,7.186,1%,0.025
ton599_lc_liner,3,1.66166,0.533406,0.191654,5.887,1%,0.025
ton599_lc_liner,4,1.66166,0.533577,0.182062,6.196,1%,0.025
ton599_lc_liner,5,1.66166,0.534629,0.202889,5.555,1%,0.025
w_comae_lc_liner,1,1.386658,0.443306,0.156694,6.02,1%,0.025
w_comae_lc_liner,2,1.386658,0.364272,0.145928,7.006,1%,0.025
w_comae_lc_liner,3,1.386658,0.417791,0.114554,8.458,1%,0.025
w_comae_lc_liner,4,1.386658,0.41029,0.13949,7.0,1%,0.025
w_comae_lc_liner,5,1.386658,0.362777,0.124148,8.247,1%,0.025
