time,original,missing,interpolated,mask
0,2.0808200000000002e-07,2.0808200000000002e-07,2.0808200000000002e-07,0
1,1.1944100000000002e-07,1.1944100000000002e-07,1.1944100000000002e-07,0
2,8.542759999999998e-08,8.542759999999998e-08,8.542759999999998e-08,0
3,1.9131600000000002e-07,1.9131600000000002e-07,1.9131600000000002e-07,0
4,1.6829900000000002e-07,1.6829900000000002e-07,1.6829900000000002e-07,0
5,9.87654e-08,9.87654e-08,9.87654e-08,0
6,2.07949e-07,2.07949e-07,2.07949e-07,0
7,8.669059999999998e-08,8.669059999999998e-08,8.669059999999998e-08,0
8,1.1155500000000001e-07,1.1155500000000001e-07,1.1155500000000001e-07,0
9,5.22643e-08,5.22643e-08,5.22643e-08,0
10,1.22214e-07,1.22214e-07,1.22214e-07,0
11,7.98942e-08,7.98942e-08,7.98942e-08,0
12,9.94568e-08,9.94568e-08,9.94568e-08,0
13,9.60267e-08,9.60267e-08,9.60267e-08,0
14,1.2847500000000002e-07,1.2847500000000002e-07,1.2847500000000002e-07,0
15,1.0883210000000001e-07,1.0883210000000001e-07,1.0883210000000001e-07,0
16,8.91892e-08,8.91892e-08,8.91892e-08,0
17,1.05352e-07,1.05352e-07,1.05352e-07,0
18,5.58081e-08,5.58081e-08,5.58081e-08,0
19,1.1988700000000002e-07,1.1988700000000002e-07,1.1988700000000002e-07,0
20,7.474399999999998e-08,7.474399999999998e-08,7.474399999999998e-08,0
21,1.01653e-07,1.01653e-07,1.01653e-07,0
22,7.11213e-08,7.11213e-08,7.11213e-08,0
23,6.5513e-08,6.5513e-08,6.5513e-08,0
24,8.156269999999998e-08,8.156269999999998e-08,8.156269999999998e-08,0
25,1.1533700000000001e-07,1.1533700000000001e-07,1.1533700000000001e-07,0
26,1.33129e-07,1.33129e-07,1.33129e-07,0
27,1.1847800000000001e-07,1.1847800000000001e-07,1.1847800000000001e-07,0
28,1.05343e-07,1.05343e-07,1.05343e-07,0
29,7.64981e-08,7.64981e-08,7.64981e-08,0
30,6.71418e-08,6.71418e-08,6.71418e-08,0
31,7.73515e-08,7.73515e-08,7.73515e-08,0
32,8.756119999999998e-08,8.756119999999998e-08,8.756119999999998e-08,0
33,5.92245e-08,5.92245e-08,5.92245e-08,0
34,9.13494e-08,9.13494e-08,9.13494e-08,0
35,1.01828e-07,1.01828e-07,1.01828e-07,0
36,3.31375e-08,3.31375e-08,3.31375e-08,0
37,8.197069999999998e-08,8.197069999999998e-08,8.197069999999998e-08,0
38,3.47387e-08,3.47387e-08,3.47387e-08,0
39,1.19713e-07,1.19713e-07,1.19713e-07,0
40,3.91217e-08,3.91217e-08,3.91217e-08,0
41,1.0295e-07,1.0295e-07,1.0295e-07,0
42,7.64432e-08,7.64432e-08,7.64432e-08,0
43,7.64572e-08,7.64572e-08,7.64572e-08,0
44,1.29005e-07,1.29005e-07,1.29005e-07,0
45,9.146015e-08,9.146015e-08,9.146015e-08,0
46,5.39153e-08,5.39153e-08,5.39153e-08,0
47,5.78128e-08,5.78128e-08,5.78128e-08,0
48,8.42823e-08,8.42823e-08,8.42823e-08,0
49,5.85044e-08,5.85044e-08,5.85044e-08,0
50,8.53484e-08,8.53484e-08,8.53484e-08,0
51,3.9479700000000004e-08,3.9479700000000004e-08,3.9479700000000004e-08,0
52,6.667945e-08,6.667945e-08,6.667945e-08,0
53,9.38792e-08,9.38792e-08,9.38792e-08,0
54,3.44725e-08,3.44725e-08,3.44725e-08,0
55,6.24054e-08,6.24054e-08,6.24054e-08,0
56,6.46887e-08,6.46887e-08,6.46887e-08,0
57,5.6731488829472753e-08,5.6731488829472753e-08,5.6731488829472753e-08,0
58,4.8397e-08,4.8397e-08,4.8397e-08,0
59,4.798510253291474e-08,4.798510253291474e-08,4.798510253291474e-08,0
60,4.76058e-08,4.76058e-08,4.76058e-08,0
61,4.3756456096496314e-08,4.3756456096496314e-08,4.3756456096496314e-08,0
62,3.732986693713704e-08,3.732986693713704e-08,3.732986693713704e-08,0
63,3.3940100000000004e-08,3.3940100000000004e-08,3.3940100000000004e-08,0
64,5.15906e-08,5.15906e-08,5.15906e-08,0
65,8.748599999999998e-08,8.748599999999998e-08,8.748599999999998e-08,0
66,4.4212700000000004e-08,4.4212700000000004e-08,4.4212700000000004e-08,0
67,1.0874e-07,1.0874e-07,1.0874e-07,0
68,5.64137e-08,5.64137e-08,5.64137e-08,0
69,4.66119e-08,4.66119e-08,4.66119e-08,0
70,7.3666e-08,7.3666e-08,7.3666e-08,0
71,6.901475e-08,6.901475e-08,6.901475e-08,0
72,5.8782e-08,5.8782e-08,5.8782e-08,0
73,4.854925e-08,4.854925e-08,4.854925e-08,0
74,4.3898e-08,4.3898e-08,4.3898e-08,0
75,6.68873e-08,6.68873e-08,6.68873e-08,0
76,8.92239e-08,8.92239e-08,8.92239e-08,0
77,6.2902e-08,6.2902e-08,6.2902e-08,0
78,3.65801e-08,3.65801e-08,3.65801e-08,0
79,4.52543e-08,4.52543e-08,4.52543e-08,0
80,5.39285e-08,5.39285e-08,5.39285e-08,0
81,4.335345e-08,4.335345e-08,4.335345e-08,0
82,3.27784e-08,3.27784e-08,3.27784e-08,0
83,4.523591417640312e-08,4.523591417640312e-08,4.523591417640312e-08,0
84,7.304119999999998e-08,7.304119999999998e-08,7.304119999999998e-08,0
85,1.25947e-07,1.25947e-07,1.25947e-07,0
86,4.5459000000000004e-08,4.5459000000000004e-08,4.5459000000000004e-08,0
87,4.884985e-08,4.884985e-08,4.884985e-08,0
88,5.22407e-08,5.22407e-08,5.22407e-08,0
89,3.01775e-08,3.01775e-08,3.01775e-08,0
90,5.75551e-08,5.75551e-08,5.75551e-08,0
91,4.16839e-08,4.16839e-08,4.16839e-08,0
92,3.867089928727202e-08,3.867089928727202e-08,3.867089928727202e-08,0
93,3.57042e-08,3.57042e-08,3.57042e-08,0
94,2.11538e-08,2.11538e-08,2.11538e-08,0
95,4.3174e-08,4.3174e-08,4.3174e-08,0
96,4.25233e-08,4.25233e-08,4.25233e-08,0
97,1.1368300000000001e-07,1.1368300000000001e-07,1.1368300000000001e-07,0
98,9.932934031646159e-08,9.932934031646159e-08,9.932934031646159e-08,0
99,7.12194e-08,7.12194e-08,7.12194e-08,0
100,3.51773e-08,3.51773e-08,3.51773e-08,0
101,4.9162703703703706e-08,4.9162703703703706e-08,4.9162703703703706e-08,0
102,7.51355962962963e-08,7.51355962962963e-08,7.51355962962963e-08,0
103,8.912099999999998e-08,8.912099999999998e-08,8.912099999999998e-08,0
104,6.406055e-08,6.406055e-08,6.406055e-08,0
105,3.9000100000000004e-08,3.9000100000000004e-08,3.9000100000000004e-08,0
106,6.023833333333333e-08,6.023833333333333e-08,6.023833333333333e-08,0
107,9.968076666666664e-08,9.968076666666664e-08,9.968076666666664e-08,0
108,1.20919e-07,1.20919e-07,1.20919e-07,0
109,9.583165e-08,9.583165e-08,9.583165e-08,0
110,7.07443e-08,7.07443e-08,7.07443e-08,0
111,9.0394e-08,9.0394e-08,9.0394e-08,0
112,1.2688630000000002e-07,1.2688630000000002e-07,1.2688630000000002e-07,0
113,1.46536e-07,1.46536e-07,1.46536e-07,0
114,1.1848352704541761e-07,1.1848352704541761e-07,1.1848352704541761e-07,0
115,7.624649999999998e-08,7.624649999999998e-08,7.624649999999998e-08,0
116,5.16682e-08,5.16682e-08,5.16682e-08,0
117,4.09926e-08,4.09926e-08,4.09926e-08,0
118,4.2569985185185194e-08,4.2569985185185194e-08,4.2569985185185194e-08,0
119,4.5499414814814814e-08,4.5499414814814814e-08,4.5499414814814814e-08,0
120,4.70768e-08,4.70768e-08,4.70768e-08,0
121,4.507905e-08,4.507905e-08,4.507905e-08,0
122,4.3081300000000003e-08,4.3081300000000003e-08,4.3081300000000003e-08,0
123,6.11999e-08,6.11999e-08,6.11999e-08,0
