System,Missing Rate (%),Pattern,Original λ,PPS Z-score,PPS Significance
Logistic (Chaos),0,1,9.615249,130.498,1%
Logistic (Chaos),10,1,7.921704,107.885,1%
Logistic (Chaos),10,2,8.171477,104.417,1%
Logistic (Chaos),10,3,8.065851,121.014,1%
Logistic (Chaos),30,1,6.767821,95.077,1%
Logistic (Chaos),30,2,6.578929,86.817,1%
Logistic (Chaos),30,3,6.277893,74.437,1%
Logistic (Chaos),50,1,4.928842,73.648,1%
Logistic (Chaos),50,2,5.039799,75.502,1%
Logistic (Chaos),50,3,5.236412,57.407,1%
Logistic (Chaos),70,1,3.946635,38.545,1%
Logistic (Chaos),70,2,4.069836,44.053,1%
Logistic (Chaos),70,3,3.956652,37.623,1%
Logistic (Chaos),90,1,2.789153,14.686,1%
Logistic (Chaos),90,2,2.670223,16.705,1%
Logistic (Chaos),90,3,2.664623,17.189,1%
