System,Missing Rate (%),Pattern,Original λ,PPS Z-score,PPS Significance
Logistic+noise (Chaos),0,1,2.151556,11.479,1%
Logistic+noise (Chaos),10,1,2.033343,14.401,1%
Logistic+noise (Chaos),10,2,2.103178,13.475,1%
Logistic+noise (Chaos),10,3,2.123984,13.836,1%
Logistic+noise (Chaos),30,1,2.038619,13.845,1%
Logistic+noise (Chaos),30,2,2.118234,16.168,1%
Logistic+noise (Chaos),30,3,2.115253,10.273,1%
Logistic+noise (Chaos),50,1,2.26342,19.664,1%
Logistic+noise (Chaos),50,2,2.092076,12.434,1%
Logistic+noise (Chaos),50,3,2.155821,13.318,1%
Logistic+noise (Chaos),70,1,2.32691,12.953,1%
Logistic+noise (Chaos),70,2,2.250691,12.072,1%
Logistic+noise (Chaos),70,3,2.32173,11.036,1%
Logistic+noise (Chaos),90,1,2.264377,12.692,1%
Logistic+noise (Chaos),90,2,2.259779,13.38,1%
Logistic+noise (Chaos),90,3,2.323811,15.74,1%
