Data,Run,Original λ,FT Z-score,FT Significance,RS Z-score,RS Significance
pks0537-441_lc_liner,1,0.60765,-0.741,NS,0.088,NS
pks0537-441_lc_liner,2,0.60765,-0.775,NS,0.158,NS
pks0537-441_lc_liner,3,0.60765,-0.686,NS,0.088,NS
pks0537-441_lc_liner,4,0.60765,-0.884,NS,-0.122,NS
pks0537-441_lc_liner,5,0.60765,-0.892,NS,0.189,NS
pks1424-41_lc_liner,1,1.175777,0.599,NS,10.677,1%
pks1424-41_lc_liner,2,1.175777,0.318,NS,9.65,1%
pks1424-41_lc_liner,3,1.175777,0.55,NS,10.107,1%
pks1424-41_lc_liner,4,1.175777,0.703,NS,8.728,1%
pks1424-41_lc_liner,5,1.175777,0.738,NS,12.449,1%
pks1502+106_lc_liner,1,1.154186,2.565,5%,7.043,1%
pks1502+106_lc_liner,2,1.154186,2.327,5%,5.362,1%
pks1502+106_lc_liner,3,1.154186,2.142,5%,6.07,1%
pks1502+106_lc_liner,4,1.154186,2.206,5%,6.181,1%
pks1502+106_lc_liner,5,1.154186,2.366,5%,6.652,1%
