time,original
0,3.27906e-07
1,4.4881700000000004e-07
2,2.98503e-07
3,4.24615e-07
4,4.34492e-07
5,5.107170000000001e-07
6,3.6884500000000004e-07
7,4.1426700000000004e-07
8,5.30477e-07
9,4.13973e-07
10,5.633080000000001e-07
11,4.0807200000000003e-07
12,4.4789600000000003e-07
13,4.21255e-07
14,1.9063800000000002e-07
15,3.8556100000000005e-07
16,3.99758e-07
17,2.2925000000000002e-07
18,3.03098e-07
19,2.0511400000000002e-07
20,2.6848400000000004e-07
21,1.8936000000000002e-07
22,2.94341e-07
23,3.30466e-07
24,2.6840900000000003e-07
25,1.9981200000000002e-07
26,2.86816e-07
27,1.6078400000000002e-07
28,2.1437700000000001e-07
29,1.651e-07
30,1.0115600000000001e-07
31,1.26465e-07
32,1.5625800000000002e-07
33,2.5049100000000004e-07
34,1.5842500000000002e-07
35,2.0359200000000001e-07
36,2.77691e-07
37,3.8921000000000003e-07
38,3.016e-07
39,3.39144e-07
40,5.399300000000001e-07
41,4.5973600000000006e-07
42,2.7048600000000003e-07
43,4.1605900000000006e-07
44,4.6711700000000004e-07
45,3.75121e-07
46,4.6823700000000004e-07
47,8.717159999999999e-07
48,6.12045e-07
49,6.124160000000001e-07
50,3.8568000000000005e-07
51,4.5659000000000004e-07
52,4.3022300000000003e-07
53,3.4790800000000005e-07
54,2.5881e-07
55,2.7743300000000005e-07
56,3.09922e-07
57,2.2862200000000002e-07
58,3.60946e-07
59,3.66312e-07
60,3.01821e-07
61,3.18633e-07
62,1.1579600000000001e-07
63,2.54445e-07
64,2.2281700000000003e-07
65,2.8893000000000003e-07
66,3.5203700000000004e-07
67,3.0952200000000004e-07
68,3.14339e-07
69,3.4128000000000005e-07
70,3.87067e-07
71,4.44574e-07
72,4.2647100000000006e-07
73,3.3196900000000005e-07
74,4.881900000000001e-07
75,4.3543600000000004e-07
76,3.69569e-07
77,4.6508300000000006e-07
78,5.385720000000001e-07
79,6.35907e-07
80,6.40533e-07
81,5.13177e-07
82,6.221590000000001e-07
83,5.42034e-07
84,7.30895e-07
85,8.51662e-07
86,7.41777e-07
87,9.586180000000003e-07
88,8.245030000000001e-07
89,8.859e-07
90,7.86889e-07
91,7.692270000000001e-07
92,7.04302e-07
93,7.80049e-07
94,7.05713e-07
95,5.113880000000001e-07
96,4.789220000000001e-07
97,4.54917e-07
98,5.086910000000001e-07
99,5.69688e-07
100,4.86201e-07
101,4.1693300000000004e-07
102,4.87769e-07
103,3.5333900000000004e-07
104,2.95245e-07
105,3.56115e-07
106,3.44257e-07
107,3.9136100000000006e-07
108,3.5971000000000004e-07
109,2.14723e-07
110,3.6513800000000005e-07
111,3.9986400000000004e-07
112,3.9961e-07
113,3.6849600000000005e-07
114,4.4147200000000005e-07
115,2.63489e-07
116,6.2228e-07
117,4.95859e-07
118,5.05954e-07
119,5.55178e-07
120,5.440750000000001e-07
121,5.09933e-07
122,5.12111e-07
123,4.967660000000001e-07
124,6.21884e-07
125,4.78682e-07
126,5.42144e-07
127,4.2820400000000004e-07
128,3.74774e-07
129,2.91146e-07
130,3.5083100000000005e-07
131,3.5315300000000004e-07
132,3.74438e-07
133,3.5708700000000005e-07
134,3.46785e-07
135,3.28506e-07
136,2.83339e-07
137,2.6795e-07
138,3.6428800000000004e-07
139,3.7200500000000003e-07
140,4.0093000000000003e-07
141,3.62851e-07
142,2.99865e-07
143,4.0754700000000004e-07
144,3.28849e-07
145,2.64588e-07
146,3.5770000000000003e-07
147,3.3177300000000004e-07
148,2.96714e-07
149,2.1674100000000002e-07
150,2.34706e-07
151,2.1527000000000002e-07
152,3.4063700000000003e-07
153,1.8681900000000003e-07
154,3.3498700000000003e-07
155,3.33619e-07
156,1.9902900000000003e-07
157,1.6279700000000003e-07
158,1.91328e-07
159,2.65881e-07
160,2.6805600000000003e-07
161,1.68179e-07
162,2.05662e-07
163,1.96746e-07
164,1.1682300000000001e-07
165,1.9507500000000002e-07
166,2.3296700000000002e-07
167,1.44943e-07
168,2.07952e-07
169,1.8875500000000002e-07
170,1.26955e-07
171,2.4275200000000003e-07
172,1.5550800000000002e-07
173,2.4549300000000004e-07
174,1.69736e-07
175,2.1823100000000002e-07
176,1.62016e-07
177,1.3176e-07
178,2.4742400000000003e-07
179,2.1646900000000003e-07
180,1.9040400000000002e-07
181,1.80637e-07
182,2.2282700000000001e-07
183,2.63303e-07
184,2.3410400000000002e-07
185,2.30969e-07
186,2.6103100000000003e-07
187,2.1925e-07
188,2.45452e-07
189,2.4421400000000005e-07
190,1.5795e-07
191,1.95561e-07
192,1.50219e-07
193,1.55293e-07
194,1.72466e-07
195,6.92005e-08
196,6.19572e-08
197,1.7484300000000003e-07
198,1.8990100000000003e-07
199,1.3608700000000002e-07
200,1.1672600000000001e-07
201,1.06017e-07
202,1.8898600000000002e-07
203,1.2871100000000002e-07
204,1.71798e-07
205,2.0694200000000003e-07
206,1.55804e-07
207,1.23337e-07
208,1.20807e-07
209,2.8424e-07
210,2.48982e-07
211,3.2320600000000004e-07
212,9.91038e-08
213,2.02001e-07
214,2.1823600000000002e-07
215,1.633e-07
216,1.4648080862300956e-07
217,1.40016e-07
218,2.1753500000000002e-07
219,1.07876e-07
220,1.3856000000000002e-07
221,1.15134e-07
222,1.2975e-07
223,1.31859e-07
224,1.7136400000000002e-07
225,1.1911700000000001e-07
226,5.77666e-08
227,1.37469e-07
228,1.3592500000000002e-07
229,2.59782e-07
230,1.0975200000000002e-07
231,2.3137200000000002e-07
232,2.07792e-07
233,1.6519500000000002e-07
234,2.1345000000000002e-07
235,1.5791700000000002e-07
236,1.5913000000000002e-07
237,2.00738e-07
238,2.3029800000000002e-07
239,1.0461500000000001e-07
240,1.76365e-07
241,2.0943700000000002e-07
242,1.67541e-07
243,1.2397500000000002e-07
244,6.53562e-08
245,4.92581e-08
246,1.37062e-08
247,6.18002e-08
248,1.1687200000000002e-07
249,3.18069e-08
250,4.27449e-08
251,1.1566400000000001e-07
252,1.29967e-07
253,2.4204100000000004e-07
254,1.27714e-07
255,6.21152e-08
256,1.45394e-07
257,1.49145e-07
258,9.98458e-08
259,1.1662400000000001e-07
260,7.28303e-08
261,1.11048e-07
262,8.42274e-08
263,8.760229999999998e-08
264,3.55201e-08
265,4.45804e-08
266,5.74884e-08
267,5.6183e-08
268,9.137e-08
269,6.52741e-08
270,5.526033326234568e-08
271,4.8595238853395054e-08
272,4.61745e-08
273,1.0182500000000001e-07
274,3.2432e-08
275,1.1300300000000001e-07
276,8.52694e-08
277,4.57759e-08
278,7.65918e-08
279,4.7459400000000003e-08
280,5.43384e-08
281,4.59737e-08
282,7.82622e-08
283,4.5509300000000004e-08
284,4.07598930141499e-08
285,3.764980767924436e-08
286,3.5950993504716635e-08
287,3.54354e-08
288,1.05037e-07
289,5.27337e-08
290,7.55677e-08
291,7.545869999999998e-08
292,6.87707e-08
293,6.8313e-08
294,7.08033e-08
295,9.80821e-08
296,8.97353e-08
297,8.696299999999998e-08
298,5.672537255897974e-08
299,2.8806e-08
300,7.51355e-08
301,1.21465e-07
302,4.31457e-08
303,3.83099e-08
304,8.55157e-08
305,1.48611e-07
306,2.19483e-07
307,5.46506e-08
308,5.22983e-08
309,4.02772e-08
310,5.63053e-08
311,6.75835e-08
312,1.1474300000000001e-07
313,1.4690000000000003e-07
314,1.36192e-07
315,1.0453200000000001e-07
316,1.228745e-07
317,1.41217e-07
318,3.29783e-08
319,4.293e-08
320,9.82789e-08
321,9.71216e-08
322,1.8558100000000003e-07
323,1.13292e-07
324,1.44567e-07
325,6.61832e-08
326,5.43451e-08
327,1.8400600000000001e-07
328,1.4717300000000002e-07
329,1.83325e-07
330,1.64701e-07
331,8.627219702772402e-08
332,2.17143e-08
333,1.1874600000000001e-07
334,1.48467e-07
335,1.54124e-08
336,5.90798e-08
337,1.7083e-07
338,6.46403e-08
339,1.3951600000000002e-07
340,9.928710000000001e-08
341,1.00204e-07
342,6.46581e-08
343,1.1447200000000001e-07
344,6.64317e-08
345,1.4491300000000002e-07
346,6.362730000000001e-08
347,3.42296e-08
348,4.96852e-08
349,3.9830800000000004e-08
350,7.95607e-08
351,1.15298e-07
352,9.89582888888889e-08
353,6.861311111111112e-08
354,5.22734e-08
355,8.75168e-08
356,4.14197e-08
357,7.22302e-08
358,8.69808744872715e-08
359,9.870367176646355e-08
360,1.064401831624238e-07
361,1.0923200000000001e-07
362,5.823709999999999e-09
363,1.4949555e-08
364,2.40754e-08
365,2.1516300000000002e-08
366,3.57718e-08
367,4.21681e-08
368,7.629789999999998e-08
369,6.383522962962962e-08
370,4.0690270370370367e-08
371,2.82276e-08
372,1.4214e-07
373,8.966169999999998e-08
374,1.0197135e-07
375,1.1428100000000002e-07
376,5.25324e-08
377,6.52934e-08
378,4.12201e-08
379,1.71468e-08
380,9.1392e-08
381,3.08945e-08
382,7.258839999999998e-08
383,6.5125e-08
384,5.76616e-08
385,8.98413e-08
386,7.785239999999998e-08
387,1.1608500000000001e-07
388,1.0678200000000001e-07
389,1.29497e-07
390,7.77702e-08
391,7.481619999999998e-08
392,5.324723824194186e-08
393,3.40606e-08
394,6.93614e-08
