time,original
0,2.44717e-06
1,7.606050000000001e-07
2,7.54902e-07
3,1.01533e-06
4,8.92601e-07
5,6.305670000000001e-07
6,5.713400000000001e-07
7,3.55975e-07
8,2.3988e-07
9,4.1887400000000005e-07
10,8.132300000000001e-07
11,6.78487e-07
12,1.13712e-06
13,5.949820000000001e-07
14,5.00289e-07
15,5.37457e-07
16,1.4122e-06
17,1.55889e-06
18,1.39409e-06
19,8.6305e-07
20,9.045990000000001e-07
21,1.26425e-06
22,1.20242e-06
23,7.55531e-07
24,1.2494e-06
25,1.12964e-06
26,1.17283e-06
27,1.71365e-06
28,1.21946e-06
29,1.11754e-06
30,1.13941e-06
31,1.28961e-06
32,1.12769e-06
33,1.17113e-06
34,9.43016e-07
35,1.20568e-06
36,1.16394e-06
37,1.3683e-06
38,1.60021e-06
39,1.38045e-06
40,9.7828e-07
41,8.83944e-07
42,8.601560000000001e-07
43,5.158030000000001e-07
44,9.427650000000001e-07
45,7.01506e-07
46,5.776600000000002e-07
47,5.27568e-07
48,5.60583e-07
49,4.897080000000001e-07
50,3.28414e-07
51,4.7120800000000005e-07
52,5.314410000000001e-07
53,5.833880000000001e-07
54,5.85687e-07
55,5.416090000000001e-07
56,5.360820000000001e-07
57,2.9648e-07
58,5.154340000000001e-07
59,3.0070000000000004e-07
60,3.08999e-07
61,3.2108100000000004e-07
62,2.79398e-07
63,2.60179e-07
64,1.68951e-07
65,2.0729100000000003e-07
66,4.3086000000000003e-07
67,4.4033600000000003e-07
68,2.66007e-07
69,2.2643300000000003e-07
70,2.0971300000000002e-07
71,7.15332e-08
72,1.8559600000000002e-07
73,2.2892700000000002e-07
74,3.8442300000000003e-07
75,1.7967500000000003e-07
76,2.39635e-07
77,9.41452e-08
78,1.8540700000000001e-07
79,1.25224e-07
80,1.1141400000000001e-07
81,1.0901610881763689e-07
82,1.0715489699579081e-07
83,1.0575280745527557e-07
84,1.0473228311690507e-07
85,1.0401576690149316e-07
86,1.0352570172985381e-07
87,1.0318453052280078e-07
88,1.0291469620114801e-07
89,1.0263864168570937e-07
90,1.0227880989729872e-07
91,1.0175764375672996e-07
92,1.0099758618481697e-07
93,9.992108010237356e-08
94,9.845056843021373e-08
95,9.650849408915124e-08
96,9.40173e-08
97,7.476619999999998e-08
98,9.844600000000001e-08
99,1.1913852963445094e-07
100,1.30126e-07
101,1.0088100000000002e-07
102,1.7371900000000002e-07
103,1.98524e-07
104,2.3282100000000002e-07
105,1.29937e-07
106,6.52519e-08
107,1.24733e-07
108,1.8046900000000003e-07
109,2.7956000000000005e-07
110,3.6948700000000003e-07
111,1.76768e-07
112,1.19966e-07
113,1.0042448985897933e-07
114,8.449183235282685e-08
115,7.214312104769764e-08
116,6.335344950974677e-08
117,5.80979113051292e-08
118,5.63516e-08
119,1.7836400000000002e-07
120,1.0947850000000001e-07
121,4.0593e-08
122,5.0920400000000004e-08
123,7.59393e-08
124,1.1346634805948021e-07
125,1.37361e-07
126,1.10291e-07
127,9.964580000000001e-08
128,2.3355800000000003e-07
129,2.0974500000000003e-07
130,2.0711700000000001e-07
131,1.25996e-07
132,1.60795e-07
133,8.27093e-08
134,1.6883e-07
135,3.0928600000000003e-07
136,1.84189e-07
137,1.6766e-07
138,1.9981700000000002e-07
139,5.190820000000001e-07
140,1.4509800000000002e-07
141,2.8362200000000005e-07
142,3.1606800000000005e-07
143,3.3654800000000003e-07
144,3.61715e-07
145,2.40325e-07
146,2.8379000000000003e-07
147,3.3917000000000004e-07
148,2.2269500000000002e-07
149,4.34003e-07
150,4.74711e-07
151,3.16594e-07
152,3.5564800000000004e-07
153,3.3043200000000003e-07
154,1.78913e-07
155,1.0988500000000001e-07
156,5.17966e-08
157,7.440789999999998e-08
158,7.931560013279098e-08
159,8.221367784417326e-08
160,8.316559999999998e-08
161,7.797971481481481e-08
162,6.83487851851852e-08
163,6.31629e-08
164,7.396489999999998e-08
165,2.1018200000000002e-07
166,7.94855e-08
167,1.8772400000000002e-07
168,1.14224e-07
169,3.8937500000000003e-07
170,7.93876e-08
171,1.26974e-07
172,1.1903500000000001e-07
173,3.60615e-08
174,4.86883e-08
175,6.321657112709161e-08
176,8.64391e-08
177,1.60357e-07
178,1.58818e-07
179,3.87778e-08
180,7.10193e-08
181,7.91401608598813e-08
182,8.257087534766788e-08
183,8.654650216162051e-08
184,9.63021e-08
185,1.92988e-07
186,6.42367e-08
187,9.432585e-08
188,1.2441500000000002e-07
189,6.14639e-08
190,5.7781e-08
191,6.227403703703704e-08
192,7.350662962962963e-08
193,8.8109e-08
194,1.0271137037037038e-07
195,1.1394396296296298e-07
196,1.18437e-07
197,4.75202e-08
198,1.50432e-07
199,1.45636905285806e-07
200,1.3315276863976145e-07
201,1.1583131130667265e-07
202,9.652425453134583e-08
203,7.808331955858726e-08
204,6.336022763320325e-08
205,5.52067e-08
206,5.247009706223833e-08
207,5.065431972815049e-08
208,4.75959e-08
209,3.8334600000000004e-08
210,4.5191877777777776e-08
211,5.792682222222223e-08
212,6.47841e-08
213,5.459013358424668e-08
214,4.36376e-08
215,4.2367021776154046e-08
216,4.1596755332521454e-08
217,4.13376e-08
218,7.226292592592594e-08
219,1.296956740740741e-07
220,1.6062100000000002e-07
221,6.87592e-08
222,6.936316572286921e-08
223,7.114519811240508e-08
224,7.40605e-08
225,9.683250106177216e-08
226,1.1787100000000001e-07
227,9.87387e-08
228,6.68485e-08
229,1.4792400000000002e-07
230,7.11051e-08
231,1.5495400000000003e-07
232,2.41267e-07
233,8.26791e-08
234,2.9109200000000005e-07
235,2.1963400000000002e-07
236,6.85919e-08
237,1.37645e-07
238,4.28235e-08
239,9.810750000000001e-08
240,7.664238643642486e-08
241,5.32851e-08
242,5.10121e-08
243,6.40793e-08
244,3.76998e-08
245,3.821467189940002e-08
246,3.9697810355880656e-08
247,4.205699950686282e-08
248,4.5200023489767406e-08
249,4.903466644201529e-08
250,5.3468712501027375e-08
251,5.840994580422455e-08
252,6.37661504890277e-08
253,6.944511069285773e-08
254,7.535461055313553e-08
255,8.1402434207282e-08
256,8.749636579271802e-08
257,9.354418944686446e-08
258,9.945368930714227e-08
259,1.0513264951097228e-07
260,1.1048885419577548e-07
261,1.1543008749897266e-07
262,1.1986413355798473e-07
263,1.2369877651023262e-07
264,1.268418004931372e-07
265,1.2920098964411938e-07
266,1.3068412810059998e-07
267,1.31199e-07
268,6.83273e-08
269,6.803483584201717e-08
270,6.793294958739128e-08
271,6.77099e-08
272,6.495885777815641e-08
273,6.02557788890782e-08
274,5.77631e-08
275,6.043168234098139e-08
276,6.591970000000001e-08
277,7.40463e-08
278,4.1559400000000004e-08
279,3.7353000000000004e-08
280,5.7850100000000004e-08
281,4.734328148148148e-08
282,2.783061851851852e-08
283,1.73238e-08
284,1.9383720485722918e-08
285,2.488057023676428e-08
286,3.278998169393302e-08
287,4.208758729803808e-08
288,5.1749019489888366e-08
289,6.074991071029285e-08
290,6.80658934000604e-08
291,7.267259999999998e-08
292,7.549995317549048e-08
293,7.6872e-08
294,4.67744e-08
295,6.10051e-08
296,8.43628e-08
297,7.1729e-08
298,3.4747e-08
299,6.568064999999999e-08
300,9.66143e-08
301,3.87975e-08
302,1.28278e-07
303,1.04885e-07
304,1.0191717047378689e-07
305,1.0064154541562799e-07
306,9.80334e-08
307,8.310920182122046e-08
308,6.14644e-08
309,4.41649e-08
310,3.14376e-08
311,4.010929595995983e-08
312,5.44177e-08
313,6.830085404004016e-08
314,7.654729999999998e-08
315,6.651416041354849e-08
316,5.50375e-08
317,5.235392826475773e-08
318,5.006892188903177e-08
319,4.8169919155241424e-08
320,4.664435834580601e-08
321,4.5479677743144847e-08
322,4.466331562967726e-08
323,4.418271028782253e-08
324,4.40253e-08
325,5.1799940625000004e-08
326,6.890415000000001e-08
327,8.6008359375e-08
328,9.3783e-08
329,7.642689999999998e-08
330,7.185412409163048e-08
331,6.942856182758072e-08
332,6.47214e-08
333,4.51107e-08
334,8.638484999999999e-08
