Data,Run,N,tau,m,Original lambda,PPS Mean,PPS Std,PPS Z-score,PPS Significance,Monte Carlo p-value,Valid Surrogates
pks0537-441_lc_liner,1,579,4,8,0.6902462619697592,0.9901043894812475,0.05276239029813015,-5.683179359713635,1%,0.025,39
pks0537-441_lc_liner,2,579,4,8,0.6902462619697592,0.9954876934220029,0.06308324383197512,-4.838708552547917,1%,0.025,39
pks0537-441_lc_liner,3,579,4,8,0.6902462619697592,0.9841201760991927,0.06057165874838454,-4.851673541749772,1%,0.025,39
pks0537-441_lc_liner,4,579,4,8,0.6902462619697592,0.9772414562278249,0.054433611397813185,-5.2723893728204,1%,0.025,39
pks0537-441_lc_liner,5,579,4,8,0.6902462619697592,0.98750499623214,0.054092183285439195,-5.495410172182834,1%,0.025,39
pks1424-41_lc_liner,1,569,6,8,0.5489675704891406,0.8820090141549449,0.05261339990640106,-6.329973813862689,1%,0.025,39
pks1424-41_lc_liner,2,569,6,8,0.5489675704891406,0.8644317727342203,0.051364749404507665,-6.141647840248107,1%,0.025,39
pks1424-41_lc_liner,3,569,6,8,0.5489675704891406,0.8740951651912772,0.06404504898748849,-5.076545335544233,1%,0.025,39
pks1424-41_lc_liner,4,569,6,8,0.5489675704891406,0.8821396758342579,0.06282555413165986,-5.30313038937799,1%,0.025,39
pks1424-41_lc_liner,5,569,6,8,0.5489675704891406,0.8988573850387462,0.06566874586058713,-5.3281025846361025,1%,0.025,39
pks1502+106_lc_liner,1,578,14,8,0.5823251119159915,0.9079525801735917,0.07009883720785114,-4.645262050382908,1%,0.025,39
pks1502+106_lc_liner,2,578,14,8,0.5823251119159915,0.9173268415120325,0.08312306083950415,-4.030190012406663,1%,0.025,39
pks1502+106_lc_liner,3,578,14,8,0.5823251119159915,0.9051069430369885,0.06666737284608176,-4.841676180434157,1%,0.025,39
pks1502+106_lc_liner,4,578,14,8,0.5823251119159915,0.9135189182744398,0.05611767770945058,-5.901773200117173,1%,0.025,39
pks1502+106_lc_liner,5,578,14,8,0.5823251119159915,0.9163505670233365,0.08739608810334092,-3.8219726117761574,1%,0.025,39
