time,original,missing,interpolated,mask
0,1.0,1.0,1.0,0
1,1.0,,0.8767586083349168,1
2,1.026,,0.7535172166698336,1
3,1.0751566666666668,,0.6302758250047504,1
4,1.1456131764000002,,0.5070344333396672,1
5,1.236317170692351,,0.38379304167458417,1
6,1.346883543428101,,0.260551650009501,1
7,1.4774923478684758,,0.1373102583444178,1
8,1.6288142132177872,,0.014068866679334602,1
9,1.8019572717941623,,-0.10917252498574848,1
10,1.998430804872221,,-0.23241391665083166,1
11,2.220121683732517,,-0.35565530831591485,1
12,2.4692802570439603,,-0.47889669998099804,1
13,2.748512641279831,,-0.6021380916460812,1
14,3.0607764129637878,,-0.7253794833111644,1
15,3.4093764662250017,,-0.8486208749762476,1
16,3.7979572522780254,,-0.9718622666413308,1
17,4.230486703839468,,-1.0951036583064138,1
18,4.711225790837451,,-1.218345049971497,1
19,5.2446757591584845,,-1.3415864416365801,1
20,5.835492566428736,,-1.4648278333016633,1
21,6.488354752059635,,-1.5880692249667465,1
22,7.207766916232549,,-1.7113106166318297,1
23,7.997776210491928,,-1.834552008296913,1
24,8.861574088902051,,-1.957793399961996,1
25,9.800950821048652,,-2.0810347916270793,1
26,10.815567490076651,,-2.2042761832921625,1
27,11.902012164606651,,-2.3275175749572456,1
28,13.052618140640684,,-2.450758966622329,1
29,14.254049243671066,,-2.574000358287412,1
30,15.485708870384482,,-2.697241749952495,1
31,16.718115085128414,,-2.8204831416175784,1
32,17.911509580079926,,-2.9437245332826616,1
33,19.01512781856343,,-3.066965924947745,1
34,19.96772045447606,,-3.1902073166128275,1
35,20.700011599171194,,-3.313448708277911,1
36,21.139691785369237,,-3.436690099942994,1
37,21.21913659552547,,-3.5599314916080775,1
38,20.8852397709095,,-3.6831728832731603,1
39,20.109666994774575,,-3.806414274938244,1
40,18.89688574723792,,-3.9296556666033267,1
41,17.287144888755957,,-4.05289705826841,1
42,15.352659499629421,,-4.176138449933493,1
43,13.187442363675881,,-4.299379841598577,1
44,10.893524789236814,,-4.422621233263659,1
45,8.567457514809934,,-4.545862624928743,1
46,6.290380611211302,,-4.669104016593826,1
47,4.123128629880224,,-4.792345408258909,1
48,2.105941502003087,,-4.915586799923992,1
49,0.26124794606816404,,-5.038828191589076,1
50,-1.402176878776669,,-5.1620695832541585,1
51,-2.8849607994028545,,-5.285310974919242,1
52,-4.193505440814818,,-5.408552366584325,1
53,-5.337235529908805,,-5.5317937582494086,1
54,-6.326708813173147,,-5.655035149914491,1
55,-7.172444917188675,,-5.778276541579575,1
56,-7.884300585096533,,-5.901517933244658,1
57,-8.471232412345087,,-6.024759324909741,1
58,-8.94131683005068,,-6.148000716574824,1
59,-9.301926140536604,,-6.271242108239908,1
60,-9.559983669665641,,-6.39448349990499,1
61,-9.722240009044238,,-6.517724891570074,1
62,-9.795527167951455,,-6.640966283235157,1
63,-9.786959863063755,,-6.76420767490024,1
64,-9.704064381179656,,-6.887449066565323,1
65,-9.554826040694806,,-7.010690458230407,1
66,-9.34765618641697,,-7.13393184989549,1
67,-9.0912883418306,,-7.257173241560572,1
68,-8.79461987938282,,-7.380414633225655,1
69,-8.46651971878535,,-7.50365602489074,1
70,-8.115623825975026,,-7.626897416555822,1
71,-7.750138808220905,-7.750138808220905,-7.750138808220905,0
72,-7.377670248466057,-7.377670248466057,-7.377670248466057,0
73,-7.005087432787066,-7.005087432787066,-7.005087432787066,0
74,-6.638430712627216,-6.638430712627216,-6.638430712627216,0
75,-6.282862710751996,-6.282862710751996,-6.282862710751996,0
76,-5.9426604926827356,-5.9426604926827356,-5.9426604926827356,0
77,-5.621242968158867,-5.621242968158867,-5.621242968158867,0
78,-5.321226188673933,-5.321226188673933,-5.321226188673933,0
79,-5.044498710056318,-5.044498710056318,-5.044498710056318,0
80,-4.792309533936149,-4.792309533936149,-4.792309533936149,0
81,-4.565362041548618,-4.565362041548618,-4.565362041548618,0
