time,original,missing,interpolated,mask
0,0.0,0.0,0.0,0
1,-2.097561136434181,-2.097561136434181,-2.097561136434181,0
2,-4.880982226510946,-4.880982226510946,-4.880982226510946,0
3,-4.92213050808459,-4.92213050808459,-4.92213050808459,0
4,-5.337658838923561,-5.337658838923561,-5.337658838923561,0
5,-5.8141978137158885,-5.8141978137158885,-5.8141978137158885,0
6,-3.0315230643439977,,-5.690624971879642,1
7,-0.34210402098635484,,-5.567052130043396,1
8,0.017533056104915512,,-5.44347928820715,1
9,-0.09414949339775035,,-5.319906446370903,1
10,-0.5572359876636331,,-5.196333604534656,1
11,-0.5458675066331172,,-5.07276076269841,1
12,-1.7758672418934567,,-4.949187920862164,1
13,-2.1919788760681813,,-4.825615079025917,1
14,-3.010506369643643,,-4.702042237189671,1
15,-3.798466886664449,,-4.578469395353425,1
16,-4.4548965535171785,-4.4548965535171785,-4.4548965535171785,0
17,-1.5876550563299192,-1.5876550563299192,-1.5876550563299192,0
18,-3.7445188824500515,-3.7445188824500515,-3.7445188824500515,0
19,-1.969071347885074,-1.969071347885074,-1.969071347885074,0
20,-0.3050455489924826,-0.3050455489924826,-0.3050455489924826,0
21,-0.43555702742437796,-0.43555702742437796,-0.43555702742437796,0
22,2.2045292133506895,2.2045292133506895,2.2045292133506895,0
23,2.589661023395589,2.589661023395589,2.589661023395589,0
24,3.1343994858191127,3.1343994858191127,3.1343994858191127,0
25,2.097709472645477,2.097709472645477,2.097709472645477,0
26,1.2749643990158956,,2.3185552898682498,1
27,2.1625727192907216,,2.539401107091023,1
28,2.611337617576255,,2.7602469243137957,1
29,3.144262680950154,,2.981092741536569,1
30,1.253101315597106,,3.2019385587593416,1
31,3.050760500037825,,3.422784375982115,1
32,3.4634946500855164,,3.6436301932048876,1
33,4.999250238991101,,3.8644760104276603,1
34,6.996483665060962,,4.085321827650434,1
35,6.153479457973703,,4.306167644873206,1
36,4.527013462095979,4.527013462095979,4.527013462095979,0
37,3.7951780917113718,3.7951780917113718,3.7951780917113718,0
38,5.171572782148985,,3.4621971363529203,1
39,4.973161837278367,,3.129216180994469,1
40,5.1238503948544905,,2.7962352256360177,1
41,2.7088006315968673,,2.4632542702775666,1
42,1.0821978443863491,,2.130273314919115,1
43,0.028197781700247004,,1.7972923595606636,1
44,-0.8507967961231736,,1.4643114042022125,1
45,-1.1289418368043174,,1.131330448843761,1
46,0.1257150010033572,,0.7983494934853095,1
47,-0.9872174676434409,,0.4653685381268584,1
48,0.1323875827684069,0.1323875827684069,0.1323875827684069,0
49,-0.8910345489995652,-0.8910345489995652,-0.8910345489995652,0
50,-2.499052806596627,-2.499052806596627,-2.499052806596627,0
51,-2.524826507976977,-2.524826507976977,-2.524826507976977,0
52,-1.5619171939514382,-1.5619171939514382,-1.5619171939514382,0
53,0.7038305208655298,0.7038305208655298,0.7038305208655298,0
54,-0.6328529752066736,,1.1817481288024565,1
55,0.30339972890237454,,1.6596657367393834,1
56,2.717066872751904,,2.1375833446763104,1
57,3.5541189739547736,,2.615500952613237,1
58,5.628871821595146,,3.093418560550164,1
59,7.062412657420554,,3.571336168487091,1
60,6.924060320883162,,4.049253776424018,1
61,5.646772287120484,,4.527171384360944,1
62,5.423155820764745,,5.005088992297871,1
63,4.077727764308834,,5.483006600234798,1
64,5.960924208171725,5.960924208171725,5.960924208171725,0
65,5.927659298193332,5.927659298193332,5.927659298193332,0
66,4.766561917393772,4.766561917393772,4.766561917393772,0
67,1.4524413733285448,1.4524413733285448,1.4524413733285448,0
68,0.45516249202467773,0.45516249202467773,0.45516249202467773,0
69,0.7281625977326955,0.7281625977326955,0.7281625977326955,0
70,3.4739465771178577,,1.185715215325295,1
71,4.657703127565876,,1.6432678329178947,1
72,2.7888300798888075,,2.1008204505104944,1
73,4.458778575718647,,2.558373068103094,1
74,3.962607309707565,,3.0159256856956933,1
75,2.4909103940617756,,3.473478303288293,1
76,3.030331201800996,,3.9310309208808927,1
77,2.642056414975603,,4.388583538473492,1
78,4.303711362776597,,4.846136156066092,1
79,4.355049027223205,,5.303688773658691,1
80,5.761241391251291,5.761241391251291,5.761241391251291,0
81,5.40292183587508,5.40292183587508,5.40292183587508,0
82,3.726094808626783,3.726094808626783,3.726094808626783,0
83,3.744043446834449,3.744043446834449,3.744043446834449,0
84,4.384093675041159,4.384093675041159,4.384093675041159,0
85,3.0916434408356275,3.0916434408356275,3.0916434408356275,0
86,3.627540327229724,3.627540327229724,3.627540327229724,0
87,3.571023084629065,3.571023084629065,3.571023084629065,0
88,4.541479781757191,,3.402548154762887,1
89,3.908071270591524,,3.234073224896709,1
90,1.3250123906578621,,3.0655982950305307,1
91,4.15331887034511,,2.8971233651643526,1
92,3.148081681163288,,2.7286484352981746,1
93,2.816791673620068,,2.5601735054319965,1
94,2.687399756616174,,2.391698575565819,1
95,4.486302260549853,,2.2232236456996404,1
96,4.646577305226429,,2.0547487158334627,1
97,4.827996196227444,,1.8862737859672845,1
98,1.7177988561011066,1.7177988561011066,1.7177988561011066,0
99,2.820416972281255,2.820416972281255,2.820416972281255,0
100,1.5565710621816455,1.5565710621816455,1.5565710621816455,0
101,1.010085440648196,1.010085440648196,1.010085440648196,0
102,1.6489605352249204,1.6489605352249204,1.6489605352249204,0
103,0.8034845593808337,0.8034845593808337,0.8034845593808337,0
104,1.9280863469342686,1.9280863469342686,1.9280863469342686,0
105,2.9607196555222286,2.9607196555222286,2.9607196555222286,0
106,4.046538397135087,,3.803002983353039,1
107,2.673437017334034,,4.645286311183849,1
108,4.139339197602684,,5.4875696390146596,1
109,5.207806682662427,,6.32985296684547,1
110,6.05640065556206,,7.172136294676281,1
111,6.754004519633531,,8.014419622507091,1
112,6.609057651938051,,8.856702950337901,1
113,8.083279097587441,,9.69898627816871,1
114,8.952702973568554,,10.541269605999522,1
115,7.582690451013512,,11.383552933830334,1
116,10.860718860515355,,12.225836261661144,1
117,10.063601002267308,,13.068119589491953,1
118,12.272941386559731,,13.910402917322763,1
119,12.79571474774946,,14.752686245153573,1
120,14.740986819668976,,15.594969572984386,1
121,16.115451602474838,,16.437252900815196,1
122,16.59771498127075,,17.279536228646005,1
123,17.505843002123672,,18.121819556476815,1
124,19.65930948097031,,18.96410288430763,1
125,20.436152483505655,,19.806386212138438,1
126,20.648669539969248,20.648669539969248,20.648669539969248,0
127,19.515198665049503,19.515198665049503,19.515198665049503,0
128,19.26057014346845,,19.563422045184797,1
129,17.846027853837366,,19.611645425320088,1
130,18.70422431751444,,19.659868805455382,1
131,17.00683655286075,,19.708092185590672,1
132,14.629967586750622,,19.756315565725966,1
133,15.189290289066038,,19.804538945861257,1
134,16.683335534525824,,19.85276232599655,1
135,19.514085240657028,,19.90098570613184,1
136,19.382994023507948,,19.949209086267135,1
137,18.540006507524478,,19.997432466402426,1
138,20.04565584653772,20.04565584653772,20.04565584653772,0
139,20.670222098805656,20.670222098805656,20.670222098805656,0
140,21.994656602387956,,20.71983920321166,1
141,22.189119928348884,,20.769456307617663,1
142,23.291139089208524,,20.819073412023666,1
143,22.97030208660202,,20.868690516429673,1
144,24.71718970981121,,20.918307620835677,1
145,24.617506721868736,,20.96792472524168,1
146,25.13855155844621,,21.017541829647683,1
147,26.658060516723317,,21.067158934053687,1
148,28.041915467400347,,21.11677603845969,1
149,27.509504932310435,,21.166393142865694,1
150,27.263914304038938,,21.2160102472717,1
151,26.7479298630008,,21.265627351677704,1
152,26.96145387636722,,21.315244456083708,1
153,27.744071017939465,,21.36486156048971,1
154,28.46801241647755,,21.414478664895714,1
155,27.71896902396207,,21.464095769301718,1
156,27.38665360681336,,21.51371287370772,1
157,26.694485080786574,,21.563329978113728,1
158,23.170186430696965,,21.61294708251973,1
159,22.26328431179409,,21.662564186925735,1
160,21.71218129133174,21.71218129133174,21.71218129133174,0
161,19.882953990164246,19.882953990164246,19.882953990164246,0
162,18.753188066643006,18.753188066643006,18.753188066643006,0
163,18.478206858029232,18.478206858029232,18.478206858029232,0
164,17.367757146444333,17.367757146444333,17.367757146444333,0
165,17.80466023973911,,17.817953434611034,1
166,18.30412953991854,,18.268149722777732,1
167,17.39120871215543,,18.718346010944433,1
168,19.83487751598092,,19.168542299111134,1
169,20.693811729712486,,19.618738587277836,1
170,20.723372290168495,,20.068934875444533,1
171,21.59498520328543,,20.519131163611235,1
172,21.530968154384766,,20.969327451777936,1
173,21.773406375454357,,21.419523739944637,1
174,20.672541831722135,,21.869720028111335,1
175,22.319916316278036,22.319916316278036,22.319916316278036,0
176,22.70524804447103,,22.678108829091645,1
177,23.665044313339198,,23.036301341905254,1
178,22.407008659556123,,23.394493854718863,1
179,22.537758906511375,,23.752686367532473,1
180,24.519813729165403,,24.110878880346082,1
181,23.65052842632685,,24.46907139315969,1
182,26.998368388815194,,24.8272639059733,1
183,28.50787752313081,,25.18545641878691,1
184,27.086245197445045,,25.54364893160052,1
185,25.86161177511209,,25.901841444414128,1
186,26.260033957227737,26.260033957227737,26.260033957227737,0
187,26.707151366763078,,26.557452652777176,1
188,25.818334458067657,,26.85487134832661,1
189,27.581201527095985,,27.15229004387605,1
190,26.157460421847617,,27.44970873942549,1
191,24.679715260149543,,27.747127434974928,1
192,26.676668607056946,,28.044546130524363,1
193,26.490710285257887,,28.341964826073802,1
194,28.01676638750994,,28.63938352162324,1
195,27.940071066631134,,28.93680221717268,1
196,28.256637257275916,,29.234220912722115,1
197,29.531639608271554,29.531639608271554,29.531639608271554,0
198,26.419137580850634,,28.860598931416487,1
199,25.605748595980305,,28.18955825456142,1
200,24.474557722605763,,27.51851757770635,1
201,22.59871010772715,,26.847476900851284,1
202,23.390150731330156,,26.176436223996216,1
203,22.435545140774558,,25.50539554714115,1
204,20.57053822959737,,24.834354870286077,1
205,21.794729896053333,,24.163314193431013,1
206,20.724002742622822,,23.492273516575942,1
207,18.63790279419158,,22.821232839720878,1
208,17.497237104143068,,22.150192162865807,1
209,18.088572659830938,,21.47915148601074,1
210,17.311258965131696,,20.80811080915567,1
211,15.787402197201327,,20.137070132300604,1
212,15.405980744940612,,19.466029455445536,1
213,14.975988238490965,,18.79498877859047,1
214,15.360436802465918,,18.1239481017354,1
215,13.692882020771638,,17.452907424880333,1
216,16.853948112356267,,16.781866748025266,1
217,16.262989599931693,,16.110826071170198,1
218,15.439785394315129,15.439785394315129,15.439785394315129,0
219,14.293076956947903,,14.98843434282841,1
220,13.807677717306547,,14.537083291341693,1
221,13.516236069133749,,14.085732239854975,1
222,11.544070177901895,,13.634381188368257,1
223,12.352214647080515,,13.183030136881541,1
224,12.077482150551546,,12.731679085394823,1
225,11.419954687823141,,12.280328033908106,1
226,11.28171716384316,,11.828976982421388,1
227,11.233969452508054,,11.37762593093467,1
228,12.639805899531574,,10.926274879447952,1
229,13.109318736092966,,10.474923827961234,1
230,11.977766320683651,,10.023572776474516,1
231,13.334655229596228,,9.572221724987799,1
232,10.921822039543034,,9.12087067350108,1
233,11.108208928511155,,8.669519622014363,1
234,11.04664262448799,,8.218168570527645,1
235,8.856791274946561,,7.766817519040928,1
236,8.644760702141282,,7.315466467554211,1
237,7.241190462560235,,6.864115416067493,1
238,7.292465852053917,,6.4127643645807755,1
239,5.9614133130940585,5.9614133130940585,5.9614133130940585,0
240,5.52687182508782,5.52687182508782,5.52687182508782,0
241,9.301193995984628,9.301193995984628,9.301193995984628,0
242,9.498164645108874,,8.798342984196177,1
243,10.56644523290584,,8.295491972407724,1
244,10.015954179877486,,7.7926409606192735,1
245,8.670009908097672,,7.289789948830821,1
246,7.925550513359505,,6.78693893704237,1
247,6.893094544978642,,6.284087925253918,1
248,6.2903942807587185,,5.781236913465467,1
249,5.891954001360545,,5.278385901677015,1
250,4.548063378201119,,4.775534889888563,1
251,4.060682425279526,,4.2726838781001115,1
252,3.7698328663116607,3.7698328663116607,3.7698328663116607,0
253,3.744648911891747,,3.964747761001216,1
254,4.091905183590283,,4.159662655690771,1
255,7.71469883702422,,4.354577550380326,1
256,7.1580410968361505,,4.549492445069881,1
257,5.582192564218201,,4.744407339759437,1
258,4.07414088962082,,4.939322234448992,1
259,4.6862255925389125,,5.134237129138548,1
260,5.639524702229061,,5.329152023828103,1
261,7.817932860929971,,5.524066918517658,1
262,6.145933862853715,,5.718981813207213,1
263,5.913896707896768,5.913896707896768,5.913896707896768,0
264,4.380932112999579,4.380932112999579,4.380932112999579,0
265,4.940233685217816,4.940233685217816,4.940233685217816,0
266,7.3140175225682516,7.3140175225682516,7.3140175225682516,0
267,8.2541206310041,,7.62560397703852,1
268,9.636035118447678,,7.937190431508788,1
269,10.436357090974303,,8.248776885979057,1
270,9.115822955297789,,8.560363340449324,1
271,8.751827112044626,,8.871949794919592,1
272,9.711135860636587,,9.183536249389862,1
273,8.654788164905172,,9.49512270386013,1
274,10.116665159212335,,9.806709158330397,1
275,10.626000652684173,,10.118295612800665,1
276,10.459877508634122,,10.429882067270935,1
277,10.741468521741202,10.741468521741202,10.741468521741202,0
278,10.26697945414277,10.26697945414277,10.26697945414277,0
279,9.245858381189118,9.245858381189118,9.245858381189118,0
280,6.9787056336222975,,8.794973001533522,1
281,4.7148019296093455,,8.344087621877927,1
282,5.735410522322942,,7.893202242222331,1
283,6.734208419174406,,7.442316862566734,1
284,6.595911690229515,,6.991431482911139,1
285,6.786176568605798,,6.540546103255544,1
286,6.614690850718587,,6.089660723599948,1
287,7.415627286677144,,5.638775343944352,1
288,6.706146860341909,,5.187889964288757,1
289,4.310306331784254,,4.73700458463316,1
290,4.286119204977565,4.286119204977565,4.286119204977565,0
291,3.989539154889386,3.989539154889386,3.989539154889386,0
292,1.9322353381789452,1.9322353381789452,1.9322353381789452,0
293,4.04541263556215,,1.9582824757992645,1
294,1.6909535745485238,,1.984329613419584,1
295,1.5759797311801877,,2.0103767510399035,1
296,0.771522815193288,,2.036423888660223,1
297,-0.8954148981766399,,2.062471026280542,1
298,-0.2802882339177971,,2.0885181639008614,1
299,1.239446939708165,,2.1145653015211807,1
