time,original,missing,interpolated,mask
0,0.0,0.0,0.0,0
1,0.06279051952931337,0.06279051952931337,0.06279051952931337,0
2,0.12533323356430426,0.12533323356430426,0.12533323356430426,0
3,0.1873813145857246,0.1873813145857246,0.1873813145857246,0
4,0.2486898871648548,0.2486898871648548,0.2486898871648548,0
5,0.3090169943749474,0.3090169943749474,0.3090169943749474,0
6,0.3681245526846779,0.3681245526846779,0.3681245526846779,0
7,0.4257792915650727,0.4257792915650727,0.4257792915650727,0
8,0.4817536741017153,0.4817536741017153,0.4817536741017153,0
9,0.5358267949789967,0.5358267949789967,0.5358267949789967,0
10,0.5877852522924731,0.5877852522924731,0.5877852522924731,0
11,0.6374239897486896,0.6374239897486896,0.6374239897486896,0
12,0.6845471059286886,0.6845471059286886,0.6845471059286886,0
13,0.7289686274214116,0.7289686274214116,0.7289686274214116,0
14,0.7705132427757893,0.7705132427757893,0.7705132427757893,0
15,0.8090169943749475,0.8090169943749475,0.8090169943749475,0
16,0.8443279255020151,0.8443279255020151,0.8443279255020151,0
17,0.8763066800438637,0.8763066800438637,0.8763066800438637,0
18,0.9048270524660196,0.9048270524660196,0.9048270524660196,0
19,0.9297764858882513,0.9297764858882513,0.9297764858882513,0
20,0.9510565162951535,0.9510565162951535,0.9510565162951535,0
21,0.9685831611286311,0.9685831611286311,0.9685831611286311,0
22,0.9822872507286886,0.9822872507286886,0.9822872507286886,0
23,0.9921147013144779,0.9921147013144779,0.9921147013144779,0
24,0.9980267284282716,0.9980267284282716,0.9980267284282716,0
25,1.0,1.0,1.0,0
26,0.9980267284282716,0.9980267284282716,0.9980267284282716,0
27,0.9921147013144778,0.9921147013144778,0.9921147013144778,0
28,0.9822872507286886,0.9822872507286886,0.9822872507286886,0
29,0.9685831611286312,0.9685831611286312,0.9685831611286312,0
30,0.9510565162951536,0.9510565162951536,0.9510565162951536,0
31,0.9297764858882515,0.9297764858882515,0.9297764858882515,0
32,0.9048270524660195,0.9048270524660195,0.9048270524660195,0
33,0.8763066800438635,0.8763066800438635,0.8763066800438635,0
34,0.844327925502015,0.844327925502015,0.844327925502015,0
35,0.8090169943749475,0.8090169943749475,0.8090169943749475,0
36,0.7705132427757893,0.7705132427757893,0.7705132427757893,0
37,0.7289686274214114,0.7289686274214114,0.7289686274214114,0
38,0.6845471059286888,0.6845471059286888,0.6845471059286888,0
39,0.6374239897486899,0.6374239897486899,0.6374239897486899,0
40,0.5877852522924732,0.5877852522924732,0.5877852522924732,0
41,0.5358267949789967,0.5358267949789967,0.5358267949789967,0
42,0.4817536741017156,0.4817536741017156,0.4817536741017156,0
43,0.4257792915650729,0.4257792915650729,0.4257792915650729,0
44,0.36812455268467814,0.36812455268467814,0.36812455268467814,0
45,0.3090169943749475,0.3090169943749475,0.3090169943749475,0
46,0.24868988716485482,0.24868988716485482,0.24868988716485482,0
47,0.18738131458572457,0.18738131458572457,0.18738131458572457,0
48,0.12533323356430454,0.12533323356430454,0.12533323356430454,0
49,0.06279051952931358,0.06279051952931358,0.06279051952931358,0
50,1.2246467991473532e-16,1.2246467991473532e-16,1.2246467991473532e-16,0
51,-0.06279051952931335,,-0.057947635431698945,1
52,-0.12533323356430429,,-0.11589527086339801,1
53,-0.18738131458572477,,-0.1738429062950971,1
54,-0.24868988716485502,,-0.23179054172679617,1
55,-0.30901699437494773,,-0.28973817715849526,1
56,-0.3681245526846783,,-0.3476858125901943,1
57,-0.42577929156507266,,-0.4056334480218934,1
58,-0.481753674101715,,-0.46358108345359245,1
59,-0.5358267949789964,,-0.5215287188852915,1
60,-0.587785252292473,,-0.5794763543169906,1
61,-0.6374239897486896,-0.6374239897486896,-0.6374239897486896,0
62,-0.6845471059286887,-0.6845471059286887,-0.6845471059286887,0
63,-0.7289686274214113,-0.7289686274214113,-0.7289686274214113,0
64,-0.7705132427757894,-0.7705132427757894,-0.7705132427757894,0
65,-0.8090169943749473,-0.8090169943749473,-0.8090169943749473,0
66,-0.8443279255020153,-0.8443279255020153,-0.8443279255020153,0
67,-0.8763066800438636,-0.8763066800438636,-0.8763066800438636,0
68,-0.9048270524660198,-0.9048270524660198,-0.9048270524660198,0
69,-0.9297764858882515,-0.9297764858882515,-0.9297764858882515,0
70,-0.9510565162951535,-0.9510565162951535,-0.9510565162951535,0
71,-0.968583161128631,-0.968583161128631,-0.968583161128631,0
72,-0.9822872507286887,-0.9822872507286887,-0.9822872507286887,0
73,-0.9921147013144778,-0.9921147013144778,-0.9921147013144778,0
74,-0.9980267284282716,-0.9980267284282716,-0.9980267284282716,0
75,-1.0,-1.0,-1.0,0
76,-0.9980267284282716,-0.9980267284282716,-0.9980267284282716,0
77,-0.9921147013144779,-0.9921147013144779,-0.9921147013144779,0
78,-0.9822872507286887,-0.9822872507286887,-0.9822872507286887,0
79,-0.9685831611286311,-0.9685831611286311,-0.9685831611286311,0
80,-0.9510565162951536,-0.9510565162951536,-0.9510565162951536,0
81,-0.9297764858882512,-0.9297764858882512,-0.9297764858882512,0
82,-0.9048270524660196,-0.9048270524660196,-0.9048270524660196,0
83,-0.8763066800438634,-0.8763066800438634,-0.8763066800438634,0
84,-0.8443279255020155,-0.8443279255020155,-0.8443279255020155,0
85,-0.8090169943749476,-0.8090169943749476,-0.8090169943749476,0
86,-0.7705132427757896,-0.7705132427757896,-0.7705132427757896,0
87,-0.7289686274214116,-0.7289686274214116,-0.7289686274214116,0
88,-0.684547105928689,-0.684547105928689,-0.684547105928689,0
89,-0.6374239897486896,-0.6374239897486896,-0.6374239897486896,0
90,-0.5877852522924734,-0.5877852522924734,-0.5877852522924734,0
91,-0.5358267949789963,-0.5358267949789963,-0.5358267949789963,0
92,-0.4817536741017153,-0.4817536741017153,-0.4817536741017153,0
93,-0.4257792915650722,,-0.42092322058467535,1
94,-0.36812455268467786,,-0.3600927670676354,1
95,-0.3090169943749477,,-0.2992623135505954,1
96,-0.24868988716485535,,-0.23843186003355546,1
97,-0.18738131458572468,,-0.17760140651651551,1
98,-0.12533323356430465,,-0.11677095299947554,1
99,-0.06279051952931326,,-0.05594049948243557,1
100,-2.4492935982947064e-16,,0.004889954034604405,1
101,0.06279051952931278,,0.06572040755164432,1
102,0.12533323356430418,,0.1265508610686843,1
103,0.1873813145857242,0.1873813145857242,0.1873813145857242,0
104,0.24868988716485488,0.24868988716485488,0.24868988716485488,0
105,0.3090169943749472,0.3090169943749472,0.3090169943749472,0
106,0.3681245526846782,,0.35768162447740787,1
107,0.42577929156507255,,0.40634625457986856,1
108,0.48175367410171566,,0.45501088468232925,1
109,0.5358267949789967,,0.50367551478479,1
110,0.5877852522924736,,0.5523401448872507,1
111,0.63742398974869,,0.6010047749897114,1
112,0.6845471059286893,,0.6496694050921721,1
113,0.7289686274214119,,0.6983340351946328,1
114,0.7705132427757893,,0.7469986652970935,1
115,0.8090169943749478,,0.7956632953995542,1
116,0.8443279255020147,0.8443279255020147,0.8443279255020147,0
117,0.8763066800438631,0.8763066800438631,0.8763066800438631,0
118,0.9048270524660194,0.9048270524660194,0.9048270524660194,0
119,0.9297764858882511,0.9297764858882511,0.9297764858882511,0
120,0.9510565162951535,0.9510565162951535,0.9510565162951535,0
121,0.968583161128631,0.968583161128631,0.968583161128631,0
122,0.9822872507286886,0.9822872507286886,0.9822872507286886,0
123,0.9921147013144778,0.9921147013144778,0.9921147013144778,0
124,0.9980267284282716,0.9980267284282716,0.9980267284282716,0
125,1.0,1.0,1.0,0
126,0.9980267284282716,0.9980267284282716,0.9980267284282716,0
127,0.9921147013144779,0.9921147013144779,0.9921147013144779,0
128,0.9822872507286886,0.9822872507286886,0.9822872507286886,0
129,0.9685831611286311,0.9685831611286311,0.9685831611286311,0
130,0.9510565162951536,0.9510565162951536,0.9510565162951536,0
131,0.9297764858882517,0.9297764858882517,0.9297764858882517,0
132,0.9048270524660192,0.9048270524660192,0.9048270524660192,0
133,0.8763066800438634,0.8763066800438634,0.8763066800438634,0
134,0.8443279255020151,0.8443279255020151,0.8443279255020151,0
135,0.8090169943749476,0.8090169943749476,0.8090169943749476,0
136,0.7705132427757886,0.7705132427757886,0.7705132427757886,0
137,0.728968627421411,0.728968627421411,0.728968627421411,0
138,0.6845471059286884,0.6845471059286884,0.6845471059286884,0
139,0.6374239897486897,0.6374239897486897,0.6374239897486897,0
140,0.5877852522924734,0.5877852522924734,0.5877852522924734,0
141,0.5358267949789972,0.5358267949789972,0.5358267949789972,0
142,0.4817536741017162,0.4817536741017162,0.4817536741017162,0
143,0.42577929156507394,0.42577929156507394,0.42577929156507394,0
144,0.368124552684678,0.368124552684678,0.368124552684678,0
145,0.3090169943749478,0.3090169943749478,0.3090169943749478,0
146,0.2486898871648555,,0.2474586719149819,1
147,0.18738131458572568,,0.18590034945501596,1
148,0.1253332335643039,,0.12434202699505004,1
149,0.06279051952931339,,0.06278370453508414,1
150,3.6739403974420594e-16,,0.001225382075118242,1
151,-0.06279051952931265,,-0.06033294038484771,1
152,-0.12533323356430318,,-0.12189126284481361,1
153,-0.18738131458572496,,-0.1834495853047795,1
154,-0.24868988716485477,,-0.24500790776474546,1
155,-0.30901699437494706,,-0.3065662302247113,1
156,-0.36812455268467725,-0.36812455268467725,-0.36812455268467725,0
157,-0.42577929156507327,-0.42577929156507327,-0.42577929156507327,0
158,-0.48175367410171555,-0.48175367410171555,-0.48175367410171555,0
159,-0.5358267949789965,-0.5358267949789965,-0.5358267949789965,0
160,-0.5877852522924728,-0.5877852522924728,-0.5877852522924728,0
161,-0.6374239897486905,-0.6374239897486905,-0.6374239897486905,0
162,-0.6845471059286892,-0.6845471059286892,-0.6845471059286892,0
163,-0.7289686274214118,-0.7289686274214118,-0.7289686274214118,0
164,-0.7705132427757891,-0.7705132427757891,-0.7705132427757891,0
165,-0.8090169943749472,-0.8090169943749472,-0.8090169943749472,0
166,-0.8443279255020156,-0.8443279255020156,-0.8443279255020156,0
167,-0.876306680043863,-0.876306680043863,-0.876306680043863,0
168,-0.9048270524660189,-0.9048270524660189,-0.9048270524660189,0
169,-0.9297764858882513,-0.9297764858882513,-0.9297764858882513,0
170,-0.9510565162951534,-0.9510565162951534,-0.9510565162951534,0
171,-0.968583161128631,-0.968583161128631,-0.968583161128631,0
172,-0.9822872507286885,-0.9822872507286885,-0.9822872507286885,0
173,-0.9921147013144779,-0.9921147013144779,-0.9921147013144779,0
174,-0.9980267284282716,-0.9980267284282716,-0.9980267284282716,0
175,-1.0,-1.0,-1.0,0
176,-0.9980267284282716,-0.9980267284282716,-0.9980267284282716,0
177,-0.992114701314478,-0.992114701314478,-0.992114701314478,0
178,-0.9822872507286886,-0.9822872507286886,-0.9822872507286886,0
179,-0.9685831611286312,-0.9685831611286312,-0.9685831611286312,0
180,-0.9510565162951538,-0.9510565162951538,-0.9510565162951538,0
181,-0.9297764858882517,-0.9297764858882517,-0.9297764858882517,0
182,-0.9048270524660192,-0.9048270524660192,-0.9048270524660192,0
183,-0.8763066800438635,-0.8763066800438635,-0.8763066800438635,0
184,-0.8443279255020152,-0.8443279255020152,-0.8443279255020152,0
185,-0.8090169943749477,-0.8090169943749477,-0.8090169943749477,0
186,-0.7705132427757886,-0.7705132427757886,-0.7705132427757886,0
187,-0.7289686274214111,-0.7289686274214111,-0.7289686274214111,0
188,-0.6845471059286885,-0.6845471059286885,-0.6845471059286885,0
189,-0.6374239897486897,-0.6374239897486897,-0.6374239897486897,0
190,-0.5877852522924735,,-0.5794763543169907,1
191,-0.5358267949789958,,-0.5215287188852917,1
192,-0.4817536741017163,,-0.46358108345359267,1
193,-0.42577929156507405,,-0.4056334480218936,1
194,-0.3681245526846781,,-0.3476858125901946,1
195,-0.3090169943749479,,-0.2897381771584956,1
196,-0.2486898871648556,,-0.23179054172679653,1
197,-0.1873813145857258,,-0.17384290629509752,1
198,-0.125333233564304,,-0.11589527086339846,1
199,-0.06279051952931351,,-0.05794763543169945,1
200,-4.898587196589413e-16,-4.898587196589413e-16,-4.898587196589413e-16,0
201,0.0627905195293143,0.0627905195293143,0.0627905195293143,0
202,0.12533323356430304,0.12533323356430304,0.12533323356430304,0
203,0.18738131458572485,0.18738131458572485,0.18738131458572485,0
204,0.24868988716485466,0.24868988716485466,0.24868988716485466,0
205,0.30901699437494523,0.30901699437494523,0.30901699437494523,0
