System,Missing Rate (%),Pattern,Original λ,FT Z-score,FT Significance,RS Z-score,RS Significance
Lorenz (Chaos),0,1,1.515132,-5.764,1%,30.213,1%
Lorenz (Chaos),10,1,1.564467,-5.466,1%,25.155,1%
Lorenz (Chaos),10,2,1.591205,-6.008,1%,21.782,1%
Lorenz (Chaos),10,3,1.533437,-6.157,1%,22.013,1%
Lorenz (Chaos),30,1,1.736695,-3.127,1%,30.026,1%
Lorenz (Chaos),30,2,1.72267,-5.254,1%,35.987,1%
Lorenz (Chaos),30,3,1.692721,-4.869,1%,27.84,1%
Lorenz (Chaos),50,1,1.943986,-2.799,1%,31.358,1%
Lorenz (Chaos),50,2,2.103444,0.363,NS,35.734,1%
Lorenz (Chaos),50,3,1.901593,-1.803,NS,43.205,1%
Lorenz (Chaos),70,1,2.378307,0.599,NS,69.534,1%
Lorenz (Chaos),70,2,2.581283,4.773,1%,58.321,1%
Lorenz (Chaos),70,3,2.247336,0.277,NS,39.923,1%
Logistic (Chaos),0,1,2.135428,19.85,1%,12.979,1%
Logistic (Chaos),10,1,2.044953,17.838,1%,18.273,1%
Logistic (Chaos),10,2,2.101195,20.426,1%,15.149,1%
Logistic (Chaos),10,3,2.061483,17.878,1%,15.57,1%
Logistic (Chaos),30,1,1.855597,16.413,1%,9.847,1%
Logistic (Chaos),30,2,1.946768,18.032,1%,17.451,1%
Logistic (Chaos),30,3,1.862881,17.038,1%,12.342,1%
Logistic (Chaos),50,1,1.681284,13.307,1%,9.973,1%
Logistic (Chaos),50,2,1.812061,17.817,1%,13.36,1%
Logistic (Chaos),50,3,1.729352,12.373,1%,10.773,1%
Logistic (Chaos),70,1,1.597341,8.026,1%,10.636,1%
Logistic (Chaos),70,2,3.949701,69.638,1%,111.649,1%
Logistic (Chaos),70,3,1.66078,9.095,1%,12.413,1%
