rate,pattern,MSE
rate_10,pattern_1,0.2063746494720116
rate_30,pattern_1,0.205596258520082
rate_50,pattern_1,0.2027237613768129
rate_70,pattern_1,0.2010672241244686
rate_90,pattern_1,0.2008882096264765
rate_10,pattern_2,0.2069883751994525
rate_30,pattern_2,0.202509317375428
rate_50,pattern_2,0.2068015528182412
rate_70,pattern_2,0.2039876380642571
rate_90,pattern_2,0.2059174594483194
rate_10,pattern_3,0.204324069419856
rate_30,pattern_3,0.2035359037992376
rate_50,pattern_3,0.2029366742370101
rate_70,pattern_3,0.2044439216239791
rate_90,pattern_3,0.2042262357637874
