rate,pattern,MSE
rate_10,pattern_1,0.2635285697716581
rate_30,pattern_1,0.6148169637768455
rate_50,pattern_1,0.7774850770481978
rate_70,pattern_1,1.626685930298826
rate_90,pattern_1,1.925424919054384
rate_10,pattern_2,0.3942996596515374
rate_30,pattern_2,0.471510751475382
rate_50,pattern_2,0.8160758711910198
rate_70,pattern_2,1.4994465421536043
rate_90,pattern_2,2.106836910739825
rate_10,pattern_3,0.2239394052205282
rate_30,pattern_3,0.3818943253328561
rate_50,pattern_3,0.6661481741974993
rate_70,pattern_3,1.247026201129208
rate_90,pattern_3,1.8022075847750445
