rate,pattern,MSE
rate_10,pattern_1,0.0014498316121881
rate_30,pattern_1,0.0021809452369642
rate_50,pattern_1,0.0033321262597147
rate_70,pattern_1,0.0102001501057028
rate_90,pattern_1,0.0150435490586711
rate_10,pattern_2,0.0011727930844622
rate_30,pattern_2,0.0024012188731791
rate_50,pattern_2,0.0036912409834179
rate_70,pattern_2,0.0095468153691011
rate_90,pattern_2,0.0157957123782321
rate_10,pattern_3,0.0013304757998948
rate_30,pattern_3,0.0022119033107794
rate_50,pattern_3,0.0040275147444144
rate_70,pattern_3,0.0090717067266492
rate_90,pattern_3,0.0129060881420333
