type,lambda
original,0.6805435735651277
FT_surrogate,0.5182887867587727
FT_surrogate,0.536095571705047
FT_surrogate,0.47865762064395484
FT_surrogate,0.43351055013382717
FT_surrogate,0.5433933933665696
FT_surrogate,0.4925872216830152
FT_surrogate,0.5157373767770677
FT_surrogate,0.531778939978401
FT_surrogate,0.524149646992961
FT_surrogate,0.5148532726633982
FT_surrogate,0.6170771419222074
FT_surrogate,0.49586518877685387
FT_surrogate,0.6096232348274403
FT_surrogate,0.45022485397875267
FT_surrogate,0.6127991625313075
FT_surrogate,0.4880361329332735
FT_surrogate,0.533850844245957
FT_surrogate,0.5190782272730342
FT_surrogate,0.49436990057791413
FT_surrogate,0.6111566440052136
FT_surrogate,0.4669442764753472
FT_surrogate,0.5398528957314592
FT_surrogate,0.5522942082373162
FT_surrogate,0.6215425657439285
FT_surrogate,0.5770588221438373
FT_surrogate,0.5891266309907665
FT_surrogate,0.5656457725276213
FT_surrogate,0.5655142177300576
FT_surrogate,0.6298631535350491
FT_surrogate,0.45934556504639407
FT_surrogate,0.5604462024833939
FT_surrogate,0.532366131719321
FT_surrogate,0.446763924630584
FT_surrogate,0.5489573994829131
FT_surrogate,0.53615289964383
FT_surrogate,0.45770453429498126
FT_surrogate,0.5329956724433456
FT_surrogate,0.48226692862660986
FT_surrogate,0.49117401871288324
Shuffle_surrogate,0.569510575810639
Shuffle_surrogate,0.5908591491995198
Shuffle_surrogate,0.4915888891305991
Shuffle_surrogate,0.5301236575285538
Shuffle_surrogate,0.5591549713571716
Shuffle_surrogate,0.375376637244191
Shuffle_surrogate,0.6899494013378462
Shuffle_surrogate,0.6671944260122913
Shuffle_surrogate,0.5404240498958893
Shuffle_surrogate,0.758074354461453
Shuffle_surrogate,0.5526097208500217
Shuffle_surrogate,0.590371143326175
Shuffle_surrogate,0.5913566761518873
Shuffle_surrogate,0.6120035552730511
Shuffle_surrogate,0.7228830887272483
Shuffle_surrogate,0.40375341215090005
Shuffle_surrogate,0.5525157957846532
Shuffle_surrogate,0.6244002987902446
Shuffle_surrogate,0.5973387123188237
Shuffle_surrogate,0.6046036277118004
Shuffle_surrogate,0.38120117399971326
Shuffle_surrogate,0.5591472256479699
Shuffle_surrogate,0.484064873684361
Shuffle_surrogate,0.6675173000823712
Shuffle_surrogate,0.6481743005734234
Shuffle_surrogate,0.602237312125658
Shuffle_surrogate,0.5452230366705842
Shuffle_surrogate,0.5705131736043049
Shuffle_surrogate,0.5975239912970746
Shuffle_surrogate,0.6730719883530816
Shuffle_surrogate,0.6348563949415674
Shuffle_surrogate,0.5805200986158059
Shuffle_surrogate,0.6297219857948113
Shuffle_surrogate,0.7189499272376322
Shuffle_surrogate,0.52527607875476
Shuffle_surrogate,0.44034901494946505
Shuffle_surrogate,0.691703402384756
Shuffle_surrogate,0.4260275784870172
Shuffle_surrogate,0.48395903457686973
