time,data
0,6.92007e-08
1,1.488e-07
2,1.49565e-07
3,1.1478800000000001e-07
4,7.07745e-08
5,1.64883e-08
6,5.00156e-08
7,6.09326e-08
8,6.41632e-08
9,8.63747e-08
10,8.654529380822254e-08
11,8.66822e-08
12,1.0517531575827729e-07
13,1.4550189734069094e-07
14,1.8575958025275919e-07
15,2.0404600000000003e-07
16,1.207651e-07
17,3.74842e-08
18,7.7936e-08
19,1.2430540182575863e-07
20,1.6948753424621264e-07
21,1.8980900000000003e-07
22,8.238649999999998e-08
23,1.52954e-07
24,1.9402500000000002e-07
25,2.3132400000000001e-07
26,1.22329e-07
27,1.23209e-07
28,2.43451e-07
29,2.28213e-07
30,2.12061e-07
31,1.8520203660662868e-07
32,1.5487596274775882e-07
33,1.40461e-07
34,1.4175700000000002e-07
35,4.0844600000000003e-07
36,2.3995200000000003e-07
37,7.02613e-08
38,7.6139378125e-08
39,8.907114999999998e-08
40,1.0200292187500001e-07
41,1.0788100000000001e-07
42,9.64301e-08
43,8.497919999999998e-08
44,2.5107000000000004e-07
45,1.9260400000000002e-07
46,1.8994700000000003e-07
47,9.278280000000001e-08
48,1.7346100000000002e-07
49,1.2934100000000002e-07
50,6.82494e-08
51,6.585472721842811e-08
52,6.37027e-08
53,4.6148000000000004e-08
54,6.747115156404641e-08
55,1.1408363646142617e-07
56,1.5995000000000003e-07
57,1.9600500000000001e-07
58,2.11668e-07
59,2.3580800000000002e-07
60,1.57943e-07
61,1.7005400000000002e-07
62,1.4688e-07
63,2.94598e-07
64,2.61554e-07
65,9.61594e-08
66,2.68458e-07
67,1.9689600000000002e-07
68,1.32712e-07
69,2.06976e-07
70,2.28847e-07
71,2.1639700000000003e-07
72,1.28487e-07
73,3.8353800000000006e-07
74,2.68374e-07
75,1.6567000000000003e-07
76,4.05275e-07
77,1.8031900000000001e-07
78,2.38996e-07
79,2.42585e-07
80,2.3285600000000003e-07
81,2.8503300000000004e-07
82,2.4908900000000004e-07
83,1.98147e-07
84,2.83032e-07
85,7.62384e-08
86,3.0743400000000005e-07
87,2.20441e-07
88,1.1794200000000001e-07
89,2.1896000000000002e-07
90,1.48165e-07
91,3.11078e-07
92,4.29333e-07
93,3.30566e-07
94,4.1788400000000004e-07
95,3.3412400000000003e-07
96,3.2944700000000005e-07
97,1.9061800000000002e-07
98,2.14649e-07
99,5.74134e-08
100,1.62201e-07
101,1.4185200000000002e-07
102,1.832218348226732e-07
103,2.3154100000000002e-07
104,2.40496e-07
105,1.32641e-07
106,1.35628e-07
107,3.4129e-07
108,2.2543100000000003e-07
109,9.57537e-08
110,1.1894400000000001e-07
111,1.0429102962962965e-07
112,7.707837037037037e-08
113,6.24254e-08
114,9.78643e-08
115,1.1714401350959465e-07
116,1.25877e-07
117,7.94921e-08
118,7.743338747046332e-08
119,7.55921e-08
120,6.16746e-08
121,1.18846e-07
122,1.33483e-07
123,1.8291500000000002e-07
124,9.53171e-08
125,7.180112172559374e-08
126,5.736963864057465e-08
127,5.24616e-08
128,1.42898e-07
129,1.725553641418665e-07
130,1.9866800000000002e-07
131,2.52914e-07
132,1.98312e-07
133,1.76209e-07
134,1.5341200000000002e-07
135,2.78366e-07
136,2.3275200000000002e-07
137,2.40837e-07
138,2.142769050802139e-07
139,1.8721500000000003e-07
140,1.8664800000000002e-07
141,5.0802800000000004e-08
142,1.73351e-07
143,2.91236e-07
144,4.84858e-07
145,6.722990000000001e-07
146,9.76906e-07
147,5.29272e-07
148,5.83105e-07
149,4.3214700000000004e-07
150,4.984540000000001e-07
151,3.9714100000000005e-07
152,6.3465e-07
153,4.4539400000000005e-07
154,5.492230000000001e-07
155,4.4338600000000005e-07
156,2.3912400000000004e-07
157,3.0583800000000004e-07
158,2.73429e-07
159,3.9920100000000006e-07
160,4.84402e-07
161,1.49504e-07
162,2.9047200000000004e-07
163,2.8799800000000004e-07
164,3.58474e-07
165,2.3439800000000003e-07
166,3.71201e-07
167,3.3136600000000003e-07
168,5.67287e-07
169,7.462349999999999e-07
170,5.02563e-07
171,3.00678e-07
172,3.64446e-07
173,6.1248e-07
174,5.114100000000002e-07
175,3.3481100000000005e-07
176,6.640170000000001e-07
177,4.869740000000001e-07
178,3.2055000000000005e-07
179,3.72912e-07
180,3.35295e-07
181,4.30566e-07
182,4.0355800000000005e-07
183,3.52011e-07
184,2.09283e-07
185,5.801970000000001e-07
186,6.703590000000001e-07
187,2.9218e-07
188,4.943040000000001e-07
189,5.77827e-07
190,5.700970000000001e-07
191,7.20519e-07
192,7.224700000000001e-07
193,3.3728500000000005e-07
194,2.54023e-07
195,5.82185e-07
196,5.89008e-07
197,4.6462600000000005e-07
198,4.5470700000000005e-07
199,2.9448600000000003e-07
200,7.207279999999999e-07
201,2.5057100000000003e-07
202,2.38419e-07
203,3.7772400000000003e-07
