type,lambda
original,0.8417976599372473
FT_surrogate,1.2606556010088712
FT_surrogate,1.3592775005959516
FT_surrogate,1.492406198743105
FT_surrogate,1.2216603895493576
FT_surrogate,1.3990198457107215
FT_surrogate,1.5445212130659676
FT_surrogate,1.3557242958035736
FT_surrogate,0.988958688252235
FT_surrogate,1.4450406799304352
FT_surrogate,0.8178970673133807
FT_surrogate,1.4244403748529124
FT_surrogate,1.2325779426861678
FT_surrogate,1.1829094074678999
FT_surrogate,0.9659799737583343
FT_surrogate,1.2971291974962487
FT_surrogate,1.452156400784721
FT_surrogate,1.2618725749285293
FT_surrogate,1.1541207798906434
FT_surrogate,1.1909192434164475
FT_surrogate,1.2168346798771519
FT_surrogate,1.472338018376926
FT_surrogate,1.4777305595599093
FT_surrogate,0.8975110939821122
FT_surrogate,1.5084588209549412
FT_surrogate,1.2545647729441405
FT_surrogate,1.0883366303654878
FT_surrogate,1.5517865149161252
FT_surrogate,1.1344049265859024
FT_surrogate,1.3041734869985224
FT_surrogate,1.4241267765766341
FT_surrogate,1.0494375116326164
FT_surrogate,1.1822070296462244
FT_surrogate,0.9194616846298903
FT_surrogate,0.9968453364741852
FT_surrogate,1.6301084466209734
FT_surrogate,1.3911232796476443
FT_surrogate,1.0516608269595635
FT_surrogate,0.66056497759029
FT_surrogate,1.3512676687236407
Shuffle_surrogate,0.3042983009630199
Shuffle_surrogate,0.7909936622398359
Shuffle_surrogate,0.7904301934600988
Shuffle_surrogate,0.20189520087781956
Shuffle_surrogate,0.6343292997085742
Shuffle_surrogate,0.36286266066272016
Shuffle_surrogate,0.9382316677294968
Shuffle_surrogate,0.7668087894112455
Shuffle_surrogate,0.99675675542432
Shuffle_surrogate,0.5640120404380857
Shuffle_surrogate,0.5317051914604791
Shuffle_surrogate,0.5843138330377029
Shuffle_surrogate,0.9283527330434085
Shuffle_surrogate,0.40916480953354323
Shuffle_surrogate,0.9410734216706889
Shuffle_surrogate,1.174153406698171
Shuffle_surrogate,0.9580278921350315
Shuffle_surrogate,1.0852136832790422
Shuffle_surrogate,0.6044245276807226
Shuffle_surrogate,1.1555767451552579
Shuffle_surrogate,0.652572686086875
Shuffle_surrogate,0.5351788470524556
Shuffle_surrogate,0.9200858042434682
Shuffle_surrogate,0.25418173989832726
Shuffle_surrogate,0.2977143164881804
Shuffle_surrogate,0.6322214680640967
Shuffle_surrogate,0.6156361721936181
Shuffle_surrogate,1.146544913159174
Shuffle_surrogate,0.729308825585599
Shuffle_surrogate,0.6213890614309696
Shuffle_surrogate,0.45247908731955067
Shuffle_surrogate,0.2973773744669356
Shuffle_surrogate,0.644836191832731
Shuffle_surrogate,0.555686050491094
Shuffle_surrogate,0.5329296536824879
Shuffle_surrogate,0.48538461511304243
Shuffle_surrogate,0.3540487224578063
Shuffle_surrogate,0.7326620409484663
Shuffle_surrogate,0.7294152198482744
