type,lambda
original,1.3866576996234623
FT_surrogate,0.7998506081829388
FT_surrogate,0.6204725395882631
FT_surrogate,0.7636115169522588
FT_surrogate,0.7802398199006875
FT_surrogate,0.9959773000100274
FT_surrogate,0.7928434974219911
FT_surrogate,0.8420395028544233
FT_surrogate,0.6142357708975366
FT_surrogate,0.5235996580458753
FT_surrogate,0.8594003510701282
FT_surrogate,0.6520066572572575
FT_surrogate,0.592466912653802
FT_surrogate,0.8944467716996262
FT_surrogate,0.7251049600308711
FT_surrogate,0.6311994877635458
FT_surrogate,0.750047338742046
FT_surrogate,0.3574363769855453
FT_surrogate,0.8429245673120445
FT_surrogate,0.6934246329524644
FT_surrogate,0.504556669863123
FT_surrogate,0.8671783762535824
FT_surrogate,0.5211991856827114
FT_surrogate,0.517937976256845
FT_surrogate,0.8025618025105258
FT_surrogate,0.625386305978098
FT_surrogate,0.44549866096952656
FT_surrogate,0.6605328691807204
FT_surrogate,0.7829330164938021
FT_surrogate,0.7892625315947797
FT_surrogate,0.6728135994718709
FT_surrogate,0.5426879215506426
FT_surrogate,0.539299344226609
FT_surrogate,0.6752803436838802
FT_surrogate,1.041314230813373
FT_surrogate,0.5351249300583073
FT_surrogate,0.9332154340829335
FT_surrogate,0.763685664462038
FT_surrogate,0.46734518229187294
FT_surrogate,0.8573418831900632
Shuffle_surrogate,0.6536749895447567
Shuffle_surrogate,0.3401583946818137
Shuffle_surrogate,0.0037002048194045766
Shuffle_surrogate,0.3567244922092084
Shuffle_surrogate,0.6218317567656865
Shuffle_surrogate,0.32897837723223705
Shuffle_surrogate,0.8335123023739824
Shuffle_surrogate,0.5146985953187724
Shuffle_surrogate,0.3870390589275311
Shuffle_surrogate,0.303025540086256
Shuffle_surrogate,0.30637560315032614
Shuffle_surrogate,0.3566362795733716
Shuffle_surrogate,0.5037078129285263
Shuffle_surrogate,0.2459064631927244
Shuffle_surrogate,0.4584291382320577
Shuffle_surrogate,0.16727836125841686
Shuffle_surrogate,0.4464111321451253
Shuffle_surrogate,0.5453422859445404
Shuffle_surrogate,0.30538593786873314
Shuffle_surrogate,0.6069941079477897
Shuffle_surrogate,0.5163454845702276
Shuffle_surrogate,0.12297694235098289
Shuffle_surrogate,0.28654528605667984
Shuffle_surrogate,0.40799386616267436
Shuffle_surrogate,0.26103580499188067
Shuffle_surrogate,0.35423356447540116
Shuffle_surrogate,0.45095188655666113
Shuffle_surrogate,0.40357305132438276
Shuffle_surrogate,0.4189681836892482
Shuffle_surrogate,0.2458341613129918
Shuffle_surrogate,0.5407198422883848
Shuffle_surrogate,0.48907916726165507
Shuffle_surrogate,0.41964044579947307
Shuffle_surrogate,0.35359950857765327
Shuffle_surrogate,0.3962657611224835
Shuffle_surrogate,0.3808228568858611
Shuffle_surrogate,0.5514538710425042
Shuffle_surrogate,0.6085469068276381
Shuffle_surrogate,0.42421535036787245
