time,original,missing,interpolated,mask
0,3.27906e-07,3.27906e-07,3.27906e-07,0
1,4.4881700000000004e-07,4.4881700000000004e-07,4.4881700000000004e-07,0
2,2.98503e-07,2.98503e-07,2.98503e-07,0
3,4.24615e-07,4.24615e-07,4.24615e-07,0
4,4.34492e-07,4.34492e-07,4.34492e-07,0
5,5.107170000000001e-07,5.107170000000001e-07,5.107170000000001e-07,0
6,3.6884500000000004e-07,3.6884500000000004e-07,3.6884500000000004e-07,0
7,4.1426700000000004e-07,4.1426700000000004e-07,4.1426700000000004e-07,0
8,5.30477e-07,5.30477e-07,5.30477e-07,0
9,4.13973e-07,4.13973e-07,4.13973e-07,0
10,5.633080000000001e-07,5.633080000000001e-07,5.633080000000001e-07,0
11,4.0807200000000003e-07,4.0807200000000003e-07,4.0807200000000003e-07,0
12,4.4789600000000003e-07,4.4789600000000003e-07,4.4789600000000003e-07,0
13,4.21255e-07,4.21255e-07,4.21255e-07,0
14,1.9063800000000002e-07,1.9063800000000002e-07,1.9063800000000002e-07,0
15,3.8556100000000005e-07,3.8556100000000005e-07,3.8556100000000005e-07,0
16,3.99758e-07,3.99758e-07,3.99758e-07,0
17,2.2925000000000002e-07,2.2925000000000002e-07,2.2925000000000002e-07,0
18,3.03098e-07,3.03098e-07,3.03098e-07,0
19,2.0511400000000002e-07,2.0511400000000002e-07,2.0511400000000002e-07,0
20,2.6848400000000004e-07,2.6848400000000004e-07,2.6848400000000004e-07,0
21,1.8936000000000002e-07,1.8936000000000002e-07,1.8936000000000002e-07,0
22,2.94341e-07,2.94341e-07,2.94341e-07,0
23,3.30466e-07,3.30466e-07,3.30466e-07,0
24,2.6840900000000003e-07,2.6840900000000003e-07,2.6840900000000003e-07,0
25,1.9981200000000002e-07,1.9981200000000002e-07,1.9981200000000002e-07,0
26,2.86816e-07,2.86816e-07,2.86816e-07,0
27,1.6078400000000002e-07,1.6078400000000002e-07,1.6078400000000002e-07,0
28,2.1437700000000001e-07,2.1437700000000001e-07,2.1437700000000001e-07,0
29,1.651e-07,1.651e-07,1.651e-07,0
30,1.0115600000000001e-07,1.0115600000000001e-07,1.0115600000000001e-07,0
31,1.26465e-07,1.26465e-07,1.26465e-07,0
32,1.5625800000000002e-07,1.5625800000000002e-07,1.5625800000000002e-07,0
33,2.5049100000000004e-07,2.5049100000000004e-07,2.5049100000000004e-07,0
34,1.5842500000000002e-07,1.5842500000000002e-07,1.5842500000000002e-07,0
35,2.0359200000000001e-07,2.0359200000000001e-07,2.0359200000000001e-07,0
36,2.77691e-07,2.77691e-07,2.77691e-07,0
37,3.8921000000000003e-07,3.8921000000000003e-07,3.8921000000000003e-07,0
38,3.016e-07,3.016e-07,3.016e-07,0
39,3.39144e-07,3.39144e-07,3.39144e-07,0
40,5.399300000000001e-07,5.399300000000001e-07,5.399300000000001e-07,0
41,4.5973600000000006e-07,4.5973600000000006e-07,4.5973600000000006e-07,0
42,2.7048600000000003e-07,2.7048600000000003e-07,2.7048600000000003e-07,0
43,4.1605900000000006e-07,4.1605900000000006e-07,4.1605900000000006e-07,0
44,4.6711700000000004e-07,4.6711700000000004e-07,4.6711700000000004e-07,0
45,3.75121e-07,3.75121e-07,3.75121e-07,0
46,4.6823700000000004e-07,4.6823700000000004e-07,4.6823700000000004e-07,0
47,8.717159999999999e-07,8.717159999999999e-07,8.717159999999999e-07,0
48,6.12045e-07,6.12045e-07,6.12045e-07,0
49,6.124160000000001e-07,6.124160000000001e-07,6.124160000000001e-07,0
50,3.8568000000000005e-07,3.8568000000000005e-07,3.8568000000000005e-07,0
51,4.5659000000000004e-07,4.5659000000000004e-07,4.5659000000000004e-07,0
52,4.3022300000000003e-07,4.3022300000000003e-07,4.3022300000000003e-07,0
53,3.4790800000000005e-07,3.4790800000000005e-07,3.4790800000000005e-07,0
54,2.5881e-07,2.5881e-07,2.5881e-07,0
55,2.7743300000000005e-07,2.7743300000000005e-07,2.7743300000000005e-07,0
56,3.09922e-07,3.09922e-07,3.09922e-07,0
57,2.2862200000000002e-07,2.2862200000000002e-07,2.2862200000000002e-07,0
58,3.60946e-07,3.60946e-07,3.60946e-07,0
59,3.66312e-07,3.66312e-07,3.66312e-07,0
60,3.01821e-07,3.01821e-07,3.01821e-07,0
61,3.18633e-07,3.18633e-07,3.18633e-07,0
62,1.1579600000000001e-07,1.1579600000000001e-07,1.1579600000000001e-07,0
63,2.54445e-07,2.54445e-07,2.54445e-07,0
64,2.2281700000000003e-07,2.2281700000000003e-07,2.2281700000000003e-07,0
65,2.8893000000000003e-07,2.8893000000000003e-07,2.8893000000000003e-07,0
66,3.5203700000000004e-07,3.5203700000000004e-07,3.5203700000000004e-07,0
67,3.0952200000000004e-07,3.0952200000000004e-07,3.0952200000000004e-07,0
68,3.14339e-07,3.14339e-07,3.14339e-07,0
69,3.4128000000000005e-07,3.4128000000000005e-07,3.4128000000000005e-07,0
70,3.87067e-07,3.87067e-07,3.87067e-07,0
71,4.44574e-07,4.44574e-07,4.44574e-07,0
