time,original,missing,interpolated,mask
0,2.8795400000000004e-07,2.8795400000000004e-07,2.8795400000000004e-07,0
1,3.3165200000000004e-07,3.3165200000000004e-07,3.3165200000000004e-07,0
2,5.184950000000001e-07,5.184950000000001e-07,5.184950000000001e-07,0
3,3.89823e-07,3.89823e-07,3.89823e-07,0
4,1.39209e-07,1.39209e-07,1.39209e-07,0
5,1.5021300000000002e-07,1.5021300000000002e-07,1.5021300000000002e-07,0
6,1.23149e-07,1.23149e-07,1.23149e-07,0
7,1.22695e-07,1.22695e-07,1.22695e-07,0
8,1.94917e-08,1.94917e-08,1.94917e-08,0
9,5.55512e-08,5.55512e-08,5.55512e-08,0
10,1.9841300000000002e-07,1.9841300000000002e-07,1.9841300000000002e-07,0
11,7.78281e-08,7.78281e-08,7.78281e-08,0
12,1.5139900000000002e-07,1.5139900000000002e-07,1.5139900000000002e-07,0
13,1.31452e-07,1.31452e-07,1.31452e-07,0
14,1.58997e-07,1.58997e-07,1.58997e-07,0
15,1.76652e-07,1.76652e-07,1.76652e-07,0
16,8.30037e-08,8.30037e-08,8.30037e-08,0
17,1.4610000000000002e-07,1.4610000000000002e-07,1.4610000000000002e-07,0
18,1.9047300000000001e-07,1.9047300000000001e-07,1.9047300000000001e-07,0
19,1.83373e-07,1.83373e-07,1.83373e-07,0
20,1.3655200000000002e-07,1.3655200000000002e-07,1.3655200000000002e-07,0
21,1.0958600000000001e-07,1.0958600000000001e-07,1.0958600000000001e-07,0
22,1.1465800000000001e-07,1.1465800000000001e-07,1.1465800000000001e-07,0
23,7.92062e-08,7.92062e-08,7.92062e-08,0
24,1.25363e-07,1.25363e-07,1.25363e-07,0
25,7.55878e-08,7.55878e-08,7.55878e-08,0
26,8.597235846608646e-08,8.597235846608646e-08,8.597235846608646e-08,0
27,1.09321e-07,1.09321e-07,1.09321e-07,0
28,1.54793e-07,1.54793e-07,1.54793e-07,0
29,1.31644e-07,1.31644e-07,1.31644e-07,0
30,1.6830300000000002e-07,1.6830300000000002e-07,1.6830300000000002e-07,0
31,1.1884475000000001e-07,1.1884475000000001e-07,1.1884475000000001e-07,0
32,6.93865e-08,6.93865e-08,6.93865e-08,0
33,9.16741e-08,9.16741e-08,9.16741e-08,0
34,1.3130000000000002e-07,1.3130000000000002e-07,1.3130000000000002e-07,0
35,1.23254e-07,1.23254e-07,1.23254e-07,0
36,8.18541e-08,8.18541e-08,8.18541e-08,0
37,1.50504e-07,1.50504e-07,1.50504e-07,0
38,9.00231e-08,9.00231e-08,9.00231e-08,0
39,2.58785e-07,2.58785e-07,2.58785e-07,0
40,2.8779100000000004e-07,2.8779100000000004e-07,2.8779100000000004e-07,0
41,2.8703500000000003e-07,2.8703500000000003e-07,2.8703500000000003e-07,0
42,1.4922900000000002e-07,1.4922900000000002e-07,1.4922900000000002e-07,0
43,1.1242900000000001e-07,1.1242900000000001e-07,1.1242900000000001e-07,0
44,7.347879999999998e-08,7.347879999999998e-08,7.347879999999998e-08,0
45,7.427657004220945e-08,7.427657004220945e-08,7.427657004220945e-08,0
46,7.704079999999998e-08,7.704079999999998e-08,7.704079999999998e-08,0
47,1.94835e-07,1.94835e-07,1.94835e-07,0
48,1.6395e-07,1.6395e-07,1.6395e-07,0
49,2.0495300000000002e-07,2.0495300000000002e-07,2.0495300000000002e-07,0
50,5.934030000000001e-07,5.934030000000001e-07,5.934030000000001e-07,0
51,6.004870000000001e-07,6.004870000000001e-07,6.004870000000001e-07,0
52,3.2866200000000003e-07,3.2866200000000003e-07,3.2866200000000003e-07,0
53,3.15779e-07,3.15779e-07,3.15779e-07,0
54,6.204330000000001e-07,6.204330000000001e-07,6.204330000000001e-07,0
55,4.43655e-07,4.43655e-07,4.43655e-07,0
56,6.362250000000001e-07,6.362250000000001e-07,6.362250000000001e-07,0
57,3.1137100000000004e-07,3.1137100000000004e-07,3.1137100000000004e-07,0
58,2.1625700000000003e-07,2.1625700000000003e-07,2.1625700000000003e-07,0
59,7.65348e-08,7.65348e-08,7.65348e-08,0
60,2.9494100000000005e-07,2.9494100000000005e-07,2.9494100000000005e-07,0
61,8.65816e-08,8.65816e-08,8.65816e-08,0
62,1.0223200000000001e-07,1.0223200000000001e-07,1.0223200000000001e-07,0
63,1.4699200000000002e-07,1.4699200000000002e-07,1.4699200000000002e-07,0
64,1.39911e-07,1.39911e-07,1.39911e-07,0
65,2.6475200000000004e-07,2.6475200000000004e-07,2.6475200000000004e-07,0
66,2.67888e-07,2.67888e-07,2.67888e-07,0
67,5.264930000000001e-07,5.264930000000001e-07,5.264930000000001e-07,0
68,4.4175200000000005e-07,4.4175200000000005e-07,4.4175200000000005e-07,0
69,4.994390000000001e-07,4.994390000000001e-07,4.994390000000001e-07,0
70,6.47849e-07,6.47849e-07,6.47849e-07,0
71,6.021440000000001e-07,6.021440000000001e-07,6.021440000000001e-07,0
72,4.5704300000000005e-07,4.5704300000000005e-07,4.5704300000000005e-07,0
73,5.186560000000001e-07,5.186560000000001e-07,5.186560000000001e-07,0
74,8.129069999999999e-07,8.129069999999999e-07,8.129069999999999e-07,0
75,5.27097e-07,5.27097e-07,5.27097e-07,0
76,3.59036e-07,3.59036e-07,3.59036e-07,0
77,2.6393300000000004e-07,2.6393300000000004e-07,2.6393300000000004e-07,0
