time,original,missing,interpolated,mask
0,6.92007e-08,6.92007e-08,6.92007e-08,0
1,1.488e-07,1.488e-07,1.488e-07,0
2,1.49565e-07,1.49565e-07,1.49565e-07,0
3,1.1478800000000001e-07,1.1478800000000001e-07,1.1478800000000001e-07,0
4,7.07745e-08,7.07745e-08,7.07745e-08,0
5,1.64883e-08,1.64883e-08,1.64883e-08,0
6,5.00156e-08,5.00156e-08,5.00156e-08,0
7,6.09326e-08,6.09326e-08,6.09326e-08,0
8,6.41632e-08,6.41632e-08,6.41632e-08,0
9,8.63747e-08,8.63747e-08,8.63747e-08,0
10,8.654529380822254e-08,8.654529380822254e-08,8.654529380822254e-08,0
11,8.66822e-08,8.66822e-08,8.66822e-08,0
12,1.0517531575827729e-07,1.0517531575827729e-07,1.0517531575827729e-07,0
13,1.4550189734069094e-07,1.4550189734069094e-07,1.4550189734069094e-07,0
14,1.8575958025275919e-07,1.8575958025275919e-07,1.8575958025275919e-07,0
15,2.0404600000000003e-07,2.0404600000000003e-07,2.0404600000000003e-07,0
16,1.207651e-07,1.207651e-07,1.207651e-07,0
17,3.74842e-08,3.74842e-08,3.74842e-08,0
18,7.7936e-08,7.7936e-08,7.7936e-08,0
19,1.2430540182575863e-07,1.2430540182575863e-07,1.2430540182575863e-07,0
20,1.6948753424621264e-07,1.6948753424621264e-07,1.6948753424621264e-07,0
21,1.8980900000000003e-07,1.8980900000000003e-07,1.8980900000000003e-07,0
22,8.238649999999998e-08,8.238649999999998e-08,8.238649999999998e-08,0
23,1.52954e-07,1.52954e-07,1.52954e-07,0
24,1.9402500000000002e-07,1.9402500000000002e-07,1.9402500000000002e-07,0
25,2.3132400000000001e-07,2.3132400000000001e-07,2.3132400000000001e-07,0
26,1.22329e-07,1.22329e-07,1.22329e-07,0
27,1.23209e-07,1.23209e-07,1.23209e-07,0
28,2.43451e-07,2.43451e-07,2.43451e-07,0
29,2.28213e-07,2.28213e-07,2.28213e-07,0
30,2.12061e-07,2.12061e-07,2.12061e-07,0
31,1.8520203660662868e-07,1.8520203660662868e-07,1.8520203660662868e-07,0
32,1.5487596274775882e-07,1.5487596274775882e-07,1.5487596274775882e-07,0
33,1.40461e-07,1.40461e-07,1.40461e-07,0
34,1.4175700000000002e-07,1.4175700000000002e-07,1.4175700000000002e-07,0
35,4.0844600000000003e-07,4.0844600000000003e-07,4.0844600000000003e-07,0
36,2.3995200000000003e-07,2.3995200000000003e-07,2.3995200000000003e-07,0
37,7.02613e-08,7.02613e-08,7.02613e-08,0
38,7.6139378125e-08,7.6139378125e-08,7.6139378125e-08,0
39,8.907114999999998e-08,8.907114999999998e-08,8.907114999999998e-08,0
40,1.0200292187500001e-07,1.0200292187500001e-07,1.0200292187500001e-07,0
41,1.0788100000000001e-07,1.0788100000000001e-07,1.0788100000000001e-07,0
42,9.64301e-08,9.64301e-08,9.64301e-08,0
43,8.497919999999998e-08,8.497919999999998e-08,8.497919999999998e-08,0
44,2.5107000000000004e-07,2.5107000000000004e-07,2.5107000000000004e-07,0
45,1.9260400000000002e-07,1.9260400000000002e-07,1.9260400000000002e-07,0
46,1.8994700000000003e-07,1.8994700000000003e-07,1.8994700000000003e-07,0
47,9.278280000000001e-08,9.278280000000001e-08,9.278280000000001e-08,0
48,1.7346100000000002e-07,1.7346100000000002e-07,1.7346100000000002e-07,0
49,1.2934100000000002e-07,1.2934100000000002e-07,1.2934100000000002e-07,0
50,6.82494e-08,6.82494e-08,6.82494e-08,0
51,6.585472721842811e-08,6.585472721842811e-08,6.585472721842811e-08,0
52,6.37027e-08,6.37027e-08,6.37027e-08,0
53,4.6148000000000004e-08,4.6148000000000004e-08,4.6148000000000004e-08,0
54,6.747115156404641e-08,6.747115156404641e-08,6.747115156404641e-08,0
55,1.1408363646142617e-07,1.1408363646142617e-07,1.1408363646142617e-07,0
56,1.5995000000000003e-07,1.5995000000000003e-07,1.5995000000000003e-07,0
57,1.9600500000000001e-07,1.9600500000000001e-07,1.9600500000000001e-07,0
58,2.11668e-07,2.11668e-07,2.11668e-07,0
59,2.3580800000000002e-07,2.3580800000000002e-07,2.3580800000000002e-07,0
60,1.57943e-07,1.57943e-07,1.57943e-07,0
61,1.7005400000000002e-07,1.7005400000000002e-07,1.7005400000000002e-07,0
62,1.4688e-07,1.4688e-07,1.4688e-07,0
63,2.94598e-07,2.94598e-07,2.94598e-07,0
64,2.61554e-07,2.61554e-07,2.61554e-07,0
65,9.61594e-08,9.61594e-08,9.61594e-08,0
66,2.68458e-07,2.68458e-07,2.68458e-07,0
67,1.9689600000000002e-07,1.9689600000000002e-07,1.9689600000000002e-07,0
68,1.32712e-07,1.32712e-07,1.32712e-07,0
69,2.06976e-07,2.06976e-07,2.06976e-07,0
70,2.28847e-07,2.28847e-07,2.28847e-07,0
71,2.1639700000000003e-07,2.1639700000000003e-07,2.1639700000000003e-07,0
72,1.28487e-07,1.28487e-07,1.28487e-07,0
73,3.8353800000000006e-07,3.8353800000000006e-07,3.8353800000000006e-07,0
74,2.68374e-07,2.68374e-07,2.68374e-07,0
75,1.6567000000000003e-07,1.6567000000000003e-07,1.6567000000000003e-07,0
76,4.05275e-07,4.05275e-07,4.05275e-07,0
77,1.8031900000000001e-07,1.8031900000000001e-07,1.8031900000000001e-07,0
78,2.38996e-07,2.38996e-07,2.38996e-07,0
79,2.42585e-07,2.42585e-07,2.42585e-07,0
80,2.3285600000000003e-07,2.3285600000000003e-07,2.3285600000000003e-07,0
81,2.8503300000000004e-07,2.8503300000000004e-07,2.8503300000000004e-07,0
82,2.4908900000000004e-07,2.4908900000000004e-07,2.4908900000000004e-07,0
83,1.98147e-07,1.98147e-07,1.98147e-07,0
84,2.83032e-07,2.83032e-07,2.83032e-07,0
85,7.62384e-08,7.62384e-08,7.62384e-08,0
86,3.0743400000000005e-07,3.0743400000000005e-07,3.0743400000000005e-07,0
87,2.20441e-07,2.20441e-07,2.20441e-07,0
88,1.1794200000000001e-07,1.1794200000000001e-07,1.1794200000000001e-07,0
89,2.1896000000000002e-07,2.1896000000000002e-07,2.1896000000000002e-07,0
90,1.48165e-07,1.48165e-07,1.48165e-07,0
91,3.11078e-07,3.11078e-07,3.11078e-07,0
92,4.29333e-07,4.29333e-07,4.29333e-07,0
93,3.30566e-07,3.30566e-07,3.30566e-07,0
94,4.1788400000000004e-07,4.1788400000000004e-07,4.1788400000000004e-07,0
95,3.3412400000000003e-07,3.3412400000000003e-07,3.3412400000000003e-07,0
96,3.2944700000000005e-07,3.2944700000000005e-07,3.2944700000000005e-07,0
97,1.9061800000000002e-07,1.9061800000000002e-07,1.9061800000000002e-07,0
98,2.14649e-07,2.14649e-07,2.14649e-07,0
99,5.74134e-08,5.74134e-08,5.74134e-08,0
100,1.62201e-07,1.62201e-07,1.62201e-07,0
101,1.4185200000000002e-07,1.4185200000000002e-07,1.4185200000000002e-07,0
102,1.832218348226732e-07,1.832218348226732e-07,1.832218348226732e-07,0
103,2.3154100000000002e-07,2.3154100000000002e-07,2.3154100000000002e-07,0
104,2.40496e-07,2.40496e-07,2.40496e-07,0
105,1.32641e-07,1.32641e-07,1.32641e-07,0
106,1.35628e-07,1.35628e-07,1.35628e-07,0
107,3.4129e-07,3.4129e-07,3.4129e-07,0
108,2.2543100000000003e-07,2.2543100000000003e-07,2.2543100000000003e-07,0
109,9.57537e-08,9.57537e-08,9.57537e-08,0
110,1.1894400000000001e-07,1.1894400000000001e-07,1.1894400000000001e-07,0
111,1.0429102962962965e-07,1.0429102962962965e-07,1.0429102962962965e-07,0
112,7.707837037037037e-08,7.707837037037037e-08,7.707837037037037e-08,0
113,6.24254e-08,6.24254e-08,6.24254e-08,0
114,9.78643e-08,9.78643e-08,9.78643e-08,0
115,1.1714401350959465e-07,1.1714401350959465e-07,1.1714401350959465e-07,0
116,1.25877e-07,1.25877e-07,1.25877e-07,0
117,7.94921e-08,7.94921e-08,7.94921e-08,0
118,7.743338747046332e-08,7.743338747046332e-08,7.743338747046332e-08,0
119,7.55921e-08,7.55921e-08,7.55921e-08,0
120,6.16746e-08,6.16746e-08,6.16746e-08,0
121,1.18846e-07,1.18846e-07,1.18846e-07,0
122,1.33483e-07,1.33483e-07,1.33483e-07,0
123,1.8291500000000002e-07,1.8291500000000002e-07,1.8291500000000002e-07,0
124,9.53171e-08,9.53171e-08,9.53171e-08,0
125,7.180112172559374e-08,7.180112172559374e-08,7.180112172559374e-08,0
126,5.736963864057465e-08,5.736963864057465e-08,5.736963864057465e-08,0
127,5.24616e-08,5.24616e-08,5.24616e-08,0
128,1.42898e-07,1.42898e-07,1.42898e-07,0
129,1.725553641418665e-07,1.725553641418665e-07,1.725553641418665e-07,0
130,1.9866800000000002e-07,1.9866800000000002e-07,1.9866800000000002e-07,0
131,2.52914e-07,2.52914e-07,2.52914e-07,0
132,1.98312e-07,1.98312e-07,1.98312e-07,0
133,1.76209e-07,1.76209e-07,1.76209e-07,0
134,1.5341200000000002e-07,1.5341200000000002e-07,1.5341200000000002e-07,0
135,2.78366e-07,2.78366e-07,2.78366e-07,0
136,2.3275200000000002e-07,2.3275200000000002e-07,2.3275200000000002e-07,0
137,2.40837e-07,2.40837e-07,2.40837e-07,0
138,2.142769050802139e-07,2.142769050802139e-07,2.142769050802139e-07,0
139,1.8721500000000003e-07,1.8721500000000003e-07,1.8721500000000003e-07,0
140,1.8664800000000002e-07,1.8664800000000002e-07,1.8664800000000002e-07,0
141,5.0802800000000004e-08,5.0802800000000004e-08,5.0802800000000004e-08,0
142,1.73351e-07,1.73351e-07,1.73351e-07,0
143,2.91236e-07,2.91236e-07,2.91236e-07,0
144,4.84858e-07,4.84858e-07,4.84858e-07,0
145,6.722990000000001e-07,6.722990000000001e-07,6.722990000000001e-07,0
146,9.76906e-07,9.76906e-07,9.76906e-07,0
147,5.29272e-07,5.29272e-07,5.29272e-07,0
148,5.83105e-07,5.83105e-07,5.83105e-07,0
149,4.3214700000000004e-07,4.3214700000000004e-07,4.3214700000000004e-07,0
150,4.984540000000001e-07,4.984540000000001e-07,4.984540000000001e-07,0
151,3.9714100000000005e-07,3.9714100000000005e-07,3.9714100000000005e-07,0
152,6.3465e-07,6.3465e-07,6.3465e-07,0
153,4.4539400000000005e-07,4.4539400000000005e-07,4.4539400000000005e-07,0
154,5.492230000000001e-07,5.492230000000001e-07,5.492230000000001e-07,0
155,4.4338600000000005e-07,4.4338600000000005e-07,4.4338600000000005e-07,0
156,2.3912400000000004e-07,2.3912400000000004e-07,2.3912400000000004e-07,0
157,3.0583800000000004e-07,3.0583800000000004e-07,3.0583800000000004e-07,0
158,2.73429e-07,2.73429e-07,2.73429e-07,0
159,3.9920100000000006e-07,3.9920100000000006e-07,3.9920100000000006e-07,0
160,4.84402e-07,4.84402e-07,4.84402e-07,0
161,1.49504e-07,1.49504e-07,1.49504e-07,0
162,2.9047200000000004e-07,2.9047200000000004e-07,2.9047200000000004e-07,0
163,2.8799800000000004e-07,2.8799800000000004e-07,2.8799800000000004e-07,0
164,3.58474e-07,3.58474e-07,3.58474e-07,0
165,2.3439800000000003e-07,2.3439800000000003e-07,2.3439800000000003e-07,0
166,3.71201e-07,3.71201e-07,3.71201e-07,0
167,3.3136600000000003e-07,3.3136600000000003e-07,3.3136600000000003e-07,0
168,5.67287e-07,5.67287e-07,5.67287e-07,0
169,7.462349999999999e-07,7.462349999999999e-07,7.462349999999999e-07,0
170,5.02563e-07,5.02563e-07,5.02563e-07,0
171,3.00678e-07,3.00678e-07,3.00678e-07,0
172,3.64446e-07,3.64446e-07,3.64446e-07,0
173,6.1248e-07,6.1248e-07,6.1248e-07,0
174,5.114100000000002e-07,5.114100000000002e-07,5.114100000000002e-07,0
175,3.3481100000000005e-07,3.3481100000000005e-07,3.3481100000000005e-07,0
176,6.640170000000001e-07,6.640170000000001e-07,6.640170000000001e-07,0
177,4.869740000000001e-07,4.869740000000001e-07,4.869740000000001e-07,0
178,3.2055000000000005e-07,3.2055000000000005e-07,3.2055000000000005e-07,0
179,3.72912e-07,3.72912e-07,3.72912e-07,0
180,3.35295e-07,3.35295e-07,3.35295e-07,0
181,4.30566e-07,4.30566e-07,4.30566e-07,0
182,4.0355800000000005e-07,4.0355800000000005e-07,4.0355800000000005e-07,0
183,3.52011e-07,3.52011e-07,3.52011e-07,0
184,2.09283e-07,2.09283e-07,2.09283e-07,0
185,5.801970000000001e-07,5.801970000000001e-07,5.801970000000001e-07,0
186,6.703590000000001e-07,6.703590000000001e-07,6.703590000000001e-07,0
187,2.9218e-07,2.9218e-07,2.9218e-07,0
188,4.943040000000001e-07,4.943040000000001e-07,4.943040000000001e-07,0
189,5.77827e-07,5.77827e-07,5.77827e-07,0
190,5.700970000000001e-07,5.700970000000001e-07,5.700970000000001e-07,0
191,7.20519e-07,7.20519e-07,7.20519e-07,0
192,7.224700000000001e-07,7.224700000000001e-07,7.224700000000001e-07,0
193,3.3728500000000005e-07,3.3728500000000005e-07,3.3728500000000005e-07,0
194,2.54023e-07,2.54023e-07,2.54023e-07,0
195,5.82185e-07,5.82185e-07,5.82185e-07,0
196,5.89008e-07,5.89008e-07,5.89008e-07,0
197,4.6462600000000005e-07,4.6462600000000005e-07,4.6462600000000005e-07,0
198,4.5470700000000005e-07,4.5470700000000005e-07,4.5470700000000005e-07,0
199,2.9448600000000003e-07,2.9448600000000003e-07,2.9448600000000003e-07,0
200,7.207279999999999e-07,7.207279999999999e-07,7.207279999999999e-07,0
201,2.5057100000000003e-07,2.5057100000000003e-07,2.5057100000000003e-07,0
202,2.38419e-07,2.38419e-07,2.38419e-07,0
203,3.7772400000000003e-07,3.7772400000000003e-07,3.7772400000000003e-07,0
204,3.6397900000000003e-07,3.6397900000000003e-07,3.6397900000000003e-07,0
205,3.04905e-07,3.04905e-07,3.04905e-07,0
206,6.39997e-07,6.39997e-07,6.39997e-07,0
207,4.863400000000002e-07,4.863400000000002e-07,4.863400000000002e-07,0
208,3.21993e-07,3.21993e-07,3.21993e-07,0
209,1.75648e-07,1.75648e-07,1.75648e-07,0
210,3.44748e-07,3.44748e-07,3.44748e-07,0
211,9.70361e-07,9.70361e-07,9.70361e-07,0
212,2.4310900000000004e-07,2.4310900000000004e-07,2.4310900000000004e-07,0
213,2.5879900000000004e-07,2.5879900000000004e-07,2.5879900000000004e-07,0
214,1.33236e-07,1.33236e-07,1.33236e-07,0
215,8.08143e-08,8.08143e-08,8.08143e-08,0
216,1.2349178786041186e-07,1.2349178786041186e-07,1.2349178786041186e-07,0
217,1.69765e-07,1.69765e-07,1.69765e-07,0
218,1.7383256336384506e-07,1.7383256336384506e-07,1.7383256336384506e-07,0
219,1.77589e-07,1.77589e-07,1.77589e-07,0
220,1.9197600000000002e-07,1.9197600000000002e-07,1.9197600000000002e-07,0
221,1.5659095608349598e-07,1.5659095608349598e-07,1.5659095608349598e-07,0
222,1.1000300000000001e-07,1.1000300000000001e-07,1.1000300000000001e-07,0
223,9.356040000000001e-08,9.356040000000001e-08,9.356040000000001e-08,0
224,1.3085697366993702e-07,1.3085697366993702e-07,1.3085697366993702e-07,0
225,2.2734300000000003e-07,2.2734300000000003e-07,2.2734300000000003e-07,0
226,5.354420000000001e-07,5.354420000000001e-07,5.354420000000001e-07,0
227,3.4143550000000005e-07,3.4143550000000005e-07,3.4143550000000005e-07,0
228,1.47429e-07,1.47429e-07,1.47429e-07,0
229,4.77817e-07,4.77817e-07,4.77817e-07,0
230,8.082049999999999e-07,8.082049999999999e-07,8.082049999999999e-07,0
231,7.325039999999999e-07,7.325039999999999e-07,7.325039999999999e-07,0
232,1.0882600000000001e-07,1.0882600000000001e-07,1.0882600000000001e-07,0
233,1.19057e-07,1.19057e-07,1.19057e-07,0
234,1.0667765000000001e-07,1.0667765000000001e-07,1.0667765000000001e-07,0
235,9.42983e-08,9.42983e-08,9.42983e-08,0
236,1.1715503703703705e-07,1.1715503703703705e-07,1.1715503703703705e-07,0
237,1.5960326296296299e-07,1.5960326296296299e-07,1.5960326296296299e-07,0
238,1.8246e-07,1.8246e-07,1.8246e-07,0
239,8.71978e-08,8.71978e-08,8.71978e-08,0
240,5.47137e-08,5.47137e-08,5.47137e-08,0
241,6.98444e-08,6.98444e-08,6.98444e-08,0
242,1.202404312286536e-07,1.202404312286536e-07,1.202404312286536e-07,0
243,1.912982822809935e-07,1.912982822809935e-07,1.912982822809935e-07,0
244,2.27354e-07,2.27354e-07,2.27354e-07,0
245,1.574986e-07,1.574986e-07,1.574986e-07,0
246,8.764319999999998e-08,8.764319999999998e-08,8.764319999999998e-08,0
247,1.50966e-07,1.50966e-07,1.50966e-07,0
248,4.83007e-08,4.83007e-08,4.83007e-08,0
249,1.5431700000000002e-07,1.5431700000000002e-07,1.5431700000000002e-07,0
250,1.4042e-07,1.4042e-07,1.4042e-07,0
251,2.20886e-07,2.20886e-07,2.20886e-07,0
252,1.0111200000000001e-07,1.0111200000000001e-07,1.0111200000000001e-07,0
253,2.65246e-07,2.65246e-07,2.65246e-07,0
254,1.44581e-07,1.44581e-07,1.44581e-07,0
255,2.5001700000000003e-07,2.5001700000000003e-07,2.5001700000000003e-07,0
256,2.6884300000000005e-07,2.6884300000000005e-07,2.6884300000000005e-07,0
257,2.44029e-07,2.44029e-07,2.44029e-07,0
258,3.4693700000000003e-07,3.4693700000000003e-07,3.4693700000000003e-07,0
259,1.95113e-07,1.95113e-07,1.95113e-07,0
260,2.2514300000000002e-07,2.2514300000000002e-07,2.2514300000000002e-07,0
261,4.8075e-07,4.8075e-07,4.8075e-07,0
262,3.0188e-07,3.0188e-07,3.0188e-07,0
263,4.98778e-07,4.98778e-07,4.98778e-07,0
264,1.8890900000000001e-07,1.8890900000000001e-07,1.8890900000000001e-07,0
265,2.58317e-07,2.58317e-07,2.58317e-07,0
266,3.22077e-07,3.22077e-07,3.22077e-07,0
267,3.29582e-07,3.29582e-07,3.29582e-07,0
268,5.70648e-07,5.70648e-07,5.70648e-07,0
269,3.35226e-07,3.35226e-07,3.35226e-07,0
270,5.06526e-07,5.06526e-07,5.06526e-07,0
271,4.91023e-07,4.91023e-07,4.91023e-07,0
272,3.4828700000000003e-07,3.4828700000000003e-07,3.4828700000000003e-07,0
273,4.21809e-07,4.21809e-07,4.21809e-07,0
274,2.9157300000000004e-07,2.9157300000000004e-07,2.9157300000000004e-07,0
275,3.03198e-07,3.03198e-07,3.03198e-07,0
276,6.92408e-07,6.92408e-07,6.92408e-07,0
277,3.81467e-07,3.81467e-07,3.81467e-07,0
278,7.366050000000001e-07,7.366050000000001e-07,7.366050000000001e-07,0
279,4.71416e-07,4.71416e-07,4.71416e-07,0
280,2.06227e-07,2.06227e-07,2.06227e-07,0
281,3.09362e-07,3.09362e-07,3.09362e-07,0
282,4.008400132992488e-07,4.008400132992488e-07,4.008400132992488e-07,0
283,4.49664e-07,4.49664e-07,4.49664e-07,0
284,7.17195e-08,7.17195e-08,7.17195e-08,0
285,1.0773000000000001e-07,1.0773000000000001e-07,1.0773000000000001e-07,0
286,1.80013e-07,1.80013e-07,1.80013e-07,0
287,1.88292e-07,1.88292e-07,1.88292e-07,0
288,1.4986200000000002e-07,1.4986200000000002e-07,1.4986200000000002e-07,0
289,2.23736e-07,2.23736e-07,2.23736e-07,0
290,4.6844200000000003e-07,4.6844200000000003e-07,4.6844200000000003e-07,0
291,1.2837e-07,1.2837e-07,1.2837e-07,0
292,5.19772e-08,5.19772e-08,5.19772e-08,0
293,2.1419800000000002e-07,2.1419800000000002e-07,2.1419800000000002e-07,0
294,2.03654e-07,2.03654e-07,2.03654e-07,0
295,1.681130406222814e-07,1.681130406222814e-07,1.681130406222814e-07,0
296,1.0957500833091677e-07,1.0957500833091677e-07,1.0957500833091677e-07,0
297,5.481622187409378e-08,5.481622187409378e-08,5.481622187409378e-08,0
298,3.0613e-08,3.0613e-08,3.0613e-08,0
299,1.9984600000000003e-07,1.9984600000000003e-07,1.9984600000000003e-07,0
300,7.767589999999998e-08,7.767589999999998e-08,7.767589999999998e-08,0
301,6.8889e-08,6.8889e-08,6.8889e-08,0
302,1.62739e-07,1.62739e-07,1.62739e-07,0
303,1.8410200000000002e-07,1.8410200000000002e-07,1.8410200000000002e-07,0
304,8.626689999999998e-08,8.626689999999998e-08,8.626689999999998e-08,0
305,9.91645e-08,9.91645e-08,9.91645e-08,0
306,1.04503e-07,1.04503e-07,1.04503e-07,0
307,6.06002e-08,6.06002e-08,6.06002e-08,0
308,6.181224555016387e-08,6.181224555016387e-08,6.181224555016387e-08,0
309,6.53876e-08,6.53876e-08,6.53876e-08,0
310,8.684159999999998e-08,8.684159999999998e-08,8.684159999999998e-08,0
311,1.40775e-07,1.40775e-07,1.40775e-07,0
312,1.31197e-07,1.31197e-07,1.31197e-07,0
313,1.0349575980802257e-07,1.0349575980802257e-07,1.0349575980802257e-07,0
314,6.588122990401128e-08,6.588122990401128e-08,6.588122990401128e-08,0
315,4.69813e-08,4.69813e-08,4.69813e-08,0
316,8.06104e-08,8.06104e-08,8.06104e-08,0
317,7.58568e-08,7.58568e-08,7.58568e-08,0
318,2.3380700000000002e-07,2.3380700000000002e-07,2.3380700000000002e-07,0
