time,original,missing,interpolated,mask
0,1.35159e-07,1.35159e-07,1.35159e-07,0
1,1.1918800000000001e-07,1.1918800000000001e-07,1.1918800000000001e-07,0
2,6.019090000000001e-08,6.019090000000001e-08,6.019090000000001e-08,0
3,1.5494600000000002e-07,1.5494600000000002e-07,1.5494600000000002e-07,0
4,1.76597e-07,1.76597e-07,1.76597e-07,0
5,8.53758e-08,8.53758e-08,8.53758e-08,0
6,1.21701e-07,1.21701e-07,1.21701e-07,0
7,1.33136e-07,1.33136e-07,1.33136e-07,0
8,1.7652000000000002e-07,1.7652000000000002e-07,1.7652000000000002e-07,0
9,1.9064900000000003e-07,1.9064900000000003e-07,1.9064900000000003e-07,0
10,2.4740448685877137e-07,2.4740448685877137e-07,2.4740448685877137e-07,0
11,2.93731e-07,2.93731e-07,2.93731e-07,0
12,1.8181600000000002e-07,1.8181600000000002e-07,1.8181600000000002e-07,0
13,2.2012100000000002e-07,2.2012100000000002e-07,2.2012100000000002e-07,0
14,1.15953e-07,1.15953e-07,1.15953e-07,0
15,3.15332e-08,3.15332e-08,3.15332e-08,0
16,9.41326e-08,9.41326e-08,9.41326e-08,0
17,7.825556296296297e-08,7.825556296296297e-08,7.825556296296297e-08,0
18,4.876963703703703e-08,4.876963703703703e-08,4.876963703703703e-08,0
19,3.28926e-08,3.28926e-08,3.28926e-08,0
20,1.9533000000000002e-07,1.9533000000000002e-07,1.9533000000000002e-07,0
21,1.551419111111111e-07,1.551419111111111e-07,1.551419111111111e-07,0
22,8.050688888888889e-08,8.050688888888889e-08,8.050688888888889e-08,0
23,4.03188e-08,4.03188e-08,4.03188e-08,0
24,1.0627900000000001e-07,1.0627900000000001e-07,1.0627900000000001e-07,0
25,1.36385e-07,1.36385e-07,1.36385e-07,0
26,1.059321e-07,1.059321e-07,1.059321e-07,0
27,7.547919999999998e-08,7.547919999999998e-08,7.547919999999998e-08,0
28,1.5597500000000002e-07,1.5597500000000002e-07,1.5597500000000002e-07,0
29,3.80219e-07,3.80219e-07,3.80219e-07,0
30,1.8676800000000002e-07,1.8676800000000002e-07,1.8676800000000002e-07,0
31,1.8959200000000002e-07,1.8959200000000002e-07,1.8959200000000002e-07,0
32,1.9241600000000002e-07,1.9241600000000002e-07,1.9241600000000002e-07,0
33,1.5522800000000002e-07,1.5522800000000002e-07,1.5522800000000002e-07,0
34,1.7892600000000002e-07,1.7892600000000002e-07,1.7892600000000002e-07,0
35,2.2979900000000003e-07,2.2979900000000003e-07,2.2979900000000003e-07,0
36,2.1777554433353242e-07,2.1777554433353242e-07,2.1777554433353242e-07,0
37,2.0227300000000003e-07,2.0227300000000003e-07,2.0227300000000003e-07,0
38,1.97287e-07,1.97287e-07,1.97287e-07,0
39,1.9536100000000002e-07,1.9536100000000002e-07,1.9536100000000002e-07,0
40,1.62827e-07,1.62827e-07,1.62827e-07,0
41,1.63277e-07,1.63277e-07,1.63277e-07,0
42,1.91328e-07,1.91328e-07,1.91328e-07,0
43,1.3339065e-07,1.3339065e-07,1.3339065e-07,0
44,7.545329999999998e-08,7.545329999999998e-08,7.545329999999998e-08,0
45,1.72477e-07,1.72477e-07,1.72477e-07,0
46,5.5759500000000004e-08,5.5759500000000004e-08,5.5759500000000004e-08,0
47,8.952979999999998e-08,8.952979999999998e-08,8.952979999999998e-08,0
48,7.09728e-08,7.09728e-08,7.09728e-08,0
49,6.50208e-08,6.50208e-08,6.50208e-08,0
50,1.6812000000000003e-07,1.6812000000000003e-07,1.6812000000000003e-07,0
51,5.97618e-08,5.97618e-08,5.97618e-08,0
52,6.131550685871057e-08,6.131550685871057e-08,6.131550685871057e-08,0
53,6.573759561042524e-08,6.573759561042524e-08,6.573759561042524e-08,0
54,7.266951851851852e-08,7.266951851851852e-08,7.266951851851852e-08,0
55,8.17527278463649e-08,8.17527278463649e-08,8.17527278463649e-08,0
56,9.262867585733885e-08,9.262867585733885e-08,9.262867585733885e-08,0
57,1.049388148148148e-07,1.049388148148148e-07,1.049388148148148e-07,0
58,1.1832459698216737e-07,1.1832459698216737e-07,1.1832459698216737e-07,0
59,1.3242747462277094e-07,1.3242747462277094e-07,1.3242747462277094e-07,0
60,1.4688890000000002e-07,1.4688890000000002e-07,1.4688890000000002e-07,0
61,1.613503253772291e-07,1.613503253772291e-07,1.613503253772291e-07,0
62,1.7545320301783266e-07,1.7545320301783266e-07,1.7545320301783266e-07,0
63,1.888389851851852e-07,1.888389851851852e-07,1.888389851851852e-07,0
64,2.0114912414266123e-07,2.0114912414266123e-07,2.0114912414266123e-07,0
65,2.1202507215363514e-07,2.1202507215363514e-07,2.1202507215363514e-07,0
66,2.2110828148148154e-07,2.2110828148148154e-07,2.2110828148148154e-07,0
67,2.2804020438957483e-07,2.2804020438957483e-07,2.2804020438957483e-07,0
68,2.3246229314128945e-07,2.3246229314128945e-07,2.3246229314128945e-07,0
69,2.3401600000000002e-07,2.3401600000000002e-07,2.3401600000000002e-07,0
70,2.0884532812500003e-07,2.0884532812500003e-07,2.0884532812500003e-07,0
71,1.5346985000000002e-07,1.5346985000000002e-07,1.5346985000000002e-07,0
72,9.809437187500003e-08,9.809437187500003e-08,9.809437187500003e-08,0
73,7.292369999999998e-08,7.292369999999998e-08,7.292369999999998e-08,0
74,1.3703e-07,1.3703e-07,1.3703e-07,0
75,3.48859e-08,3.48859e-08,3.48859e-08,0
76,6.479190000000001e-08,6.479190000000001e-08,6.479190000000001e-08,0
77,9.469790000000001e-08,9.469790000000001e-08,9.469790000000001e-08,0
78,9.454755551160169e-08,9.454755551160169e-08,9.454755551160169e-08,0
79,9.411463069872416e-08,9.411463069872416e-08,9.411463069872416e-08,0
80,9.342628853984352e-08,9.342628853984352e-08,9.342628853984352e-08,0
81,9.250969201343587e-08,9.250969201343587e-08,9.250969201343587e-08,0
82,9.139200409797724e-08,9.139200409797724e-08,9.139200409797724e-08,0
83,9.010038777194376e-08,9.010038777194376e-08,9.010038777194376e-08,0
84,8.866200601381153e-08,8.866200601381153e-08,8.866200601381153e-08,0
85,8.71040218020566e-08,8.71040218020566e-08,8.71040218020566e-08,0
86,8.545359811515511e-08,8.545359811515511e-08,8.545359811515511e-08,0
87,8.37378979315831e-08,8.37378979315831e-08,8.37378979315831e-08,0
88,8.19840842298167e-08,8.19840842298167e-08,8.19840842298167e-08,0
89,8.021931998833198e-08,8.021931998833198e-08,8.021931998833198e-08,0
90,7.847076818560504e-08,7.847076818560504e-08,7.847076818560504e-08,0
91,7.676559180011194e-08,7.676559180011194e-08,7.676559180011194e-08,0
92,7.513095381032881e-08,7.513095381032881e-08,7.513095381032881e-08,0
93,7.359401719473171e-08,7.359401719473171e-08,7.359401719473171e-08,0
94,7.218194493179675e-08,7.218194493179675e-08,7.218194493179675e-08,0
95,7.09219e-08,7.09219e-08,7.09219e-08,0
96,6.952380576498277e-08,6.952380576498277e-08,6.952380576498277e-08,0
97,6.87132e-08,6.87132e-08,6.87132e-08,0
98,7.83164e-08,7.83164e-08,7.83164e-08,0
99,9.072513464748275e-08,9.072513464748275e-08,9.072513464748275e-08,0
100,1.0516822875071598e-07,1.0516822875071598e-07,1.0516822875071598e-07,0
101,1.20723e-07,1.20723e-07,1.20723e-07,0
102,1.4229576226310239e-07,1.4229576226310239e-07,1.4229576226310239e-07,0
103,1.55967e-07,1.55967e-07,1.55967e-07,0
104,1.5211559375000002e-07,1.5211559375000002e-07,1.5211559375000002e-07,0
105,1.4364250000000002e-07,1.4364250000000002e-07,1.4364250000000002e-07,0
106,1.3516940625000003e-07,1.3516940625000003e-07,1.3516940625000003e-07,0
107,1.31318e-07,1.31318e-07,1.31318e-07,0
108,1.3686104035472878e-07,1.3686104035472878e-07,1.3686104035472878e-07,0
109,1.52494e-07,1.52494e-07,1.52494e-07,0
110,2.2580400000000003e-07,2.2580400000000003e-07,2.2580400000000003e-07,0
111,3.4376700000000004e-07,3.4376700000000004e-07,3.4376700000000004e-07,0
112,1.90467e-07,1.90467e-07,1.90467e-07,0
113,7.33725e-08,7.33725e-08,7.33725e-08,0
114,1.1658574999999999e-07,1.1658574999999999e-07,1.1658574999999999e-07,0
115,1.59799e-07,1.59799e-07,1.59799e-07,0
116,8.951964999999998e-08,8.951964999999998e-08,8.951964999999998e-08,0
117,1.9240300000000002e-08,1.9240300000000002e-08,1.9240300000000002e-08,0
118,2.137415078472614e-08,2.137415078472614e-08,2.137415078472614e-08,0
119,2.717944375926972e-08,2.717944375926972e-08,2.717944375926972e-08,0
120,3.5761789854178426e-08,3.5761789854178426e-08,3.5761789854178426e-08,0
121,4.6226800000000003e-08,4.6226800000000003e-08,4.6226800000000003e-08,0
122,7.201115312036514e-08,7.201115312036514e-08,7.201115312036514e-08,0
123,9.224140000000001e-08,9.224140000000001e-08,9.224140000000001e-08,0
124,8.23002e-08,8.23002e-08,8.23002e-08,0
125,7.2359e-08,7.2359e-08,7.2359e-08,0
126,7.5743e-08,7.5743e-08,7.5743e-08,0
127,2.44763e-07,2.44763e-07,2.44763e-07,0
128,1.998948666666667e-07,1.998948666666667e-07,1.998948666666667e-07,0
129,1.1656833333333334e-07,1.1656833333333334e-07,1.1656833333333334e-07,0
130,7.17002e-08,7.17002e-08,7.17002e-08,0
131,7.604397060180718e-08,7.604397060180718e-08,7.604397060180718e-08,0
132,8.97184e-08,8.97184e-08,8.97184e-08,0
133,2.2031600000000003e-07,2.2031600000000003e-07,2.2031600000000003e-07,0
134,1.74266e-07,1.74266e-07,1.74266e-07,0
135,1.34676e-07,1.34676e-07,1.34676e-07,0
136,6.25326e-08,6.25326e-08,6.25326e-08,0
137,8.594056635703217e-08,8.594056635703217e-08,8.594056635703217e-08,0
138,1.10805e-07,1.10805e-07,1.10805e-07,0
139,1.1222874973679745e-07,1.1222874973679745e-07,1.1222874973679745e-07,0
140,1.1390500000000001e-07,1.1390500000000001e-07,1.1390500000000001e-07,0
141,2.0910100000000001e-07,2.0910100000000001e-07,2.0910100000000001e-07,0
142,4.24126e-07,4.24126e-07,4.24126e-07,0
143,1.5394500000000002e-07,1.5394500000000002e-07,1.5394500000000002e-07,0
144,5.213450000000001e-07,5.213450000000001e-07,5.213450000000001e-07,0
145,5.412450000000001e-07,5.412450000000001e-07,5.412450000000001e-07,0
