time,original,missing,interpolated,mask
0,9.80538e-08,9.80538e-08,9.80538e-08,0
1,2.5648600000000002e-08,2.5648600000000002e-08,2.5648600000000002e-08,0
2,7.03198e-08,7.03198e-08,7.03198e-08,0
3,7.912659999999999e-09,7.912659999999999e-09,7.912659999999999e-09,0
4,6.57681e-08,6.57681e-08,6.57681e-08,0
5,2.61117e-08,2.61117e-08,2.61117e-08,0
6,1.1603e-08,1.1603e-08,1.1603e-08,0
7,1.2763774661710447e-08,1.2763774661710447e-08,1.2763774661710447e-08,0
8,1.65734e-08,1.65734e-08,1.65734e-08,0
9,7.255089999999998e-08,7.255089999999998e-08,7.255089999999998e-08,0
10,7.385300406080326e-08,7.385300406080326e-08,7.385300406080326e-08,0
11,7.42287e-08,7.42287e-08,7.42287e-08,0
12,7.638899999999998e-09,7.638899999999998e-09,7.638899999999998e-09,0
13,5.5890099999999995e-09,5.5890099999999995e-09,5.5890099999999995e-09,0
14,1.3585132017428268e-08,1.3585132017428268e-08,1.3585132017428268e-08,0
15,2.9435800000000002e-08,2.9435800000000002e-08,2.9435800000000002e-08,0
16,5.04936e-08,5.04936e-08,5.04936e-08,0
17,4.92812e-08,4.92812e-08,4.92812e-08,0
18,1.27267e-08,1.27267e-08,1.27267e-08,0
19,2.26527e-08,2.26527e-08,2.26527e-08,0
20,9.80122e-08,9.80122e-08,9.80122e-08,0
21,5.96067e-08,5.96067e-08,5.96067e-08,0
22,5.41387e-08,5.41387e-08,5.41387e-08,0
23,1.36356e-08,1.36356e-08,1.36356e-08,0
24,3.72455e-08,3.72455e-08,3.72455e-08,0
25,2.4040300000000002e-08,2.4040300000000002e-08,2.4040300000000002e-08,0
26,2.96144e-08,2.96144e-08,2.96144e-08,0
27,2.60027e-08,2.60027e-08,2.60027e-08,0
28,5.56268e-08,5.56268e-08,5.56268e-08,0
29,1.2810300000000002e-07,1.2810300000000002e-07,1.2810300000000002e-07,0
30,5.68096e-08,5.68096e-08,5.68096e-08,0
31,1.55569e-08,1.55569e-08,1.55569e-08,0
32,6.40851e-08,6.40851e-08,6.40851e-08,0
33,9.0247e-08,9.0247e-08,9.0247e-08,0
34,8.13095e-08,8.13095e-08,8.13095e-08,0
35,4.18028e-08,4.18028e-08,4.18028e-08,0
36,1.0130600000000001e-07,1.0130600000000001e-07,1.0130600000000001e-07,0
37,1.0844200000000001e-07,1.0844200000000001e-07,1.0844200000000001e-07,0
